編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOPMLLKRHGGFAH97DB,坡道平面,1800000,43.38,地下二樓
RPPPMLLKRHGGFAH08DB,坡道平面,1700000,43.38,地下二樓
RPRNMLLKRHGGFBH18DB,坡道平面,1850000,37.76,地下二樓
RPQNMLLKRHGGFHH68DB,坡道平面,1700000,26.45,地下四樓
RPXOMLLKRHGGFAH78DB,坡道平面,1650000,43.38,地下三樓
RPSNMLLKRHGGFBH28DB,坡道平面,1850000,37.76,地下二樓
RPRNMLLKRHGGFHH78DB,坡道平面,1900000,26.45,地下二樓
RPSNMLLKRHGGFHH88DB,坡道平面,1700000,26.45,地下四樓
RPTNMLLKRHGGFBH38DB,坡道平面,1950000,37.76,地下一樓
RPTNMLLKRHGGFBH38DB,坡道平面,1950000,37.76,地下一樓
RPTNMLLKRHGGFBH38DB,坡道平面,1950000,37.76,地下一樓
RPVNMLLKRHGGFHH56DB,坡道平面,1700000,26.45,地下四樓
RPUNMLLKRHGGFHH09DB,坡道平面,1800000,26.45,地下三樓
RPWNMLLKRHGGFHH66DB,坡道平面,2000000,26.45,地下二樓
RPTNMLLKRHGGFHH98DB,坡道平面,1700000,26.45,地下四樓
RPSOMLLKRHGGFHH98DB,坡道平面,2050000,26.45,地下一樓
RPUOMLLKRHGGFHH56DB,坡道平面,1900000,26.45,地下二樓
RPROMLLKRHGGFHH88DB,坡道平面,1800000,26.45,地下三樓
RPTOMLLKRHGGFHH09DB,坡道平面,2000000,26.45,地下二樓
RPVOMLLKRHGGFHH66DB,坡道平面,1900000,26.45,地下二樓
RPWOMLLKRHGGFHH76DB,坡道平面,2000000,26.45,地下二樓
RPXOMLLKRHGGFHH86DB,坡道平面,2000000,26.45,地下二樓
RPSPMLLKRHGGFHH09DB,坡道平面,1900000,26.45,地下二樓
RPRPMLLKRHGGFHH98DB,坡道平面,1900000,26.45,地下二樓
RPOPMLLKRHGGFHH68DB,坡道平面,1900000,26.45,地下二樓
RPTPMLLKRHGGFHH56DB,坡道平面,1900000,26.45,地下二樓
RPQPMLLKRHGGFHH88DB,坡道平面,1900000,26.45,地下三樓
RPPPMLLKRHGGFHH78DB,坡道平面,1900000,26.45,地下三樓
RPUOMLLKRHGGFEH78CB,坡道平面,1700000,35.06,地下三樓
RPUOMLLKRHGGFEH78CB,坡道平面,1700000,35.06,地下三樓
RPUOMLLKRHGGFEH78CB,坡道平面,1700000,35.06,地下三樓
RPQNMLLKRHGGFBH97CB,坡道平面,1200000,27.35,地下一樓
RPPNMLLKRHGGFBH87CB,坡道平面,1050000,27.35,地下二樓
RPQNMLLKRHGGFHH58CB,坡道平面,1880000,25.08,地下三樓
RPPNMLLKRHGGFHH48CB,坡道平面,1870000,25.08,地下二樓
RPRNMLLKRHGGFHH68CB,坡道平面,1880000,25.08,地下三樓
RPUNMLLKRHGGFHH98CB,坡道平面,1500000,25.08,地下四樓
RPTNMLLKRHGGFHH88CB,坡道平面,1580000,25.08,地下三樓
RPSNMLLKRHGGFHH78CB,坡道平面,1690000,25.08,地下四樓
RPVNMLLKRHGGFHH09CB,坡道平面,1390000,25.08,地下四樓
RPWNMLLKRHGGFHH56CB,坡道平面,1690000,25.08,地下三樓
RPXNMLLKRHGGFHH66CB,坡道平面,1490000,25.08,地下四樓
RPPOMLLKRHGGFHH58CB,坡道平面,1030000,25.08,地下四樓
RPOOMLLKRHGGFHH48CB,坡道平面,1720000,25.08,地下三樓
RPTOMLLKRHGGFHH98CB,坡道平面,1550000,25.08,地下四樓
RPROMLLKRHGGFHH78CB,坡道平面,1600000,25.08,地下五樓含以下
RPQOMLLKRHGGFHH68CB,坡道平面,1590000,25.08,地下四樓
RPWOMLLKRHGGFHH66CB,坡道平面,1700000,25.08,地下四樓
RPUOMLLKRHGGFHH09CB,坡道平面,1680000,25.08,地下三樓
RPVOMLLKRHGGFHH56CB,坡道平面,1780000,25.08,地下三樓
RPXOMLLKRHGGFHH76CB,坡道平面,1490000,25.08,地下四樓
RPOPMLLKRHGGFHH58CB,坡道平面,1500000,25.08,地下四樓
RPTPMLLKRHGGFHH09CB,坡道平面,1780000,25.08,地下三樓
RPPPMLLKRHGGFHH68CB,坡道平面,1780000,25.08,地下三樓
RPSPMLLKRHGGFHH98CB,坡道平面,1780000,25.08,地下三樓
RPUPMLLKRHGGFHH56CB,坡道平面,1780000,25.08,地下三樓
RPRPMLLKRHGGFHH88CB,坡道平面,1780000,25.08,地下三樓
