編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQOMLLKRHGGFAH08CC,龍安段,.00,都市：其他:第二種住宅區,,,,02690000
RPWNMLLKRHGGFAH58CC,埔子段埔子小段,.00,都市：其他:商業區，住宅區,,,,20390117
RPOOMLLKRHGGFAH87CC,同安段,.00,都市：住,,,,13860000
RPUPMLLKRHGGFAH58CC,小檜溪段,.00,都市：住,,,,11110000
RPVNMLLKRHGGFBH58CC,中壢埔頂段,.00,都市：住,,,,11740000
RPVPMLLKRHGGFAH68CC,桃園段武陵小段,.00,都市：商,,,,00920000
RPXNMLLKRHGGFBH78CC,育仁段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,10960000
RPWNMLLKRHGGFBH68CC,草新段,.00,都市：商,,,,05590002
RPUOMLLKRHGGFBH58CC,石頭段,.00,都市：住,,,,03830000
RPUPMLLKRHGGFBH68CC,仁美段,.00,都市：其他:農業區，住宅區,,,,01610000
RPTPMLLKRHGGFBH58CC,青平段,.00,都市：住,,,,04030000
RPROMLLKRHGGFBH28CC,內厝段,34.37,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,05490000
RPXPMLLKRHGGFBH98CC,三座屋段舊社小段,.00,都市：住,,,,01350023
RPXPMLLKRHGGFBH98CC,三座屋段舊社小段,.00,都市：住,,,,01350040
RPXPMLLKRHGGFBH98CC,三座屋段舊社小段,.00,都市：住,,,,01700007
RPWQMLLKRHGGFBH98CC,石頭段,.00,都市：其他:道路用地，商業區,,,,00070036
RPSQMLLKRHGGFBH58CC,榮民段,.00,都市：住,,,,10300000
RPORMLLKRHGGFBH28CC,中壢埔頂段,.00,都市：住,,,,11640000
RPXQMLLKRHGGFBH09CC,後寮段,.00,都市：其他:道路用地，住宅區,,,,05700011
RPPNMLLKRHGGFGH48CC,忠貞段,.00,都市：住,,,,01780000
RPPNMLLKRHGGFGH48CC,忠貞段,.00,都市：住,,,,01780001
RPRNMLLKRHGGFFH58CC,大和段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,06730000
RPTNMLLKRHGGFGH88CC,廣仁段,.00,都市：住,,,,08320000
RPUOMLLKRHGGFDH78CC,國聯段,.00,都市：農,,,,02620000
RPSNMLLKRHGGFCH38CC,龍吟段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04160000
RPTPMLLKRHGGFAH58DC,中路段,130.89,都市：住,,,,27280000
RPRNMLMKRHGGFFH68CC,華興段,6.26,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,02290000
RPPNMLMKRHGGFFH48CC,華興段,4.63,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,06800000
RPSNMLMKRHGGFFH78CC,大仁段,4.88,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,01640000
RPQNMLMKRHGGFFH58CC,華興段,6.26,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,02290000
RPPNMLMKRHGGFBH08CC,成功段,5.20,都市：住,,,,12720000
RPTNMLMKRHGGFAH38CC,建國段,4.65,都市：住,,,,02480000
RPSNMLMKRHGGFAH28CC,埔子段埔子小段,6.14,都市：住,,,,20240082
RPUNMLMKRHGGFAH48CC,建國段,4.65,都市：住,,,,02480000
RPWOMLNKRHGGFAH88CC,中路段,.00,都市：住,,,,00030001
RPWOMLNKRHGGFAH88CC,中路段,.00,都市：住,,,,00030208
RPXOMLNKRHGGFAH98CC,埔子段北門埔子小段,5.14,都市：商,,,,00360000
RPVNMLMKRHGGFAH58CC,建國段,4.65,都市：住,,,,02480000
RPXOMLNKRHGGFAH98CC,埔子段北門埔子小段,4.77,都市：商,,,,00360022
