編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVPMLLKRHGGFAH68CC,坡道平面,0,32.05,地下三樓
RPTPMLLKRHGGFBH58CC,坡道平面,2500,24.12,地下三樓
RPROMLLKRHGGFBH28CC,坡道平面,1500,38.57,地下一樓
RPSQMLLKRHGGFBH58CC,坡道平面,2500,,地下一樓
RPXOMLNKRHGGFAH98CC,坡道平面,2000,29.55,一樓
RPSPMLNKRHGGFBH68CC,坡道平面,0,,地下一樓
RPXPMLNKRHGGFBH56CC,坡道平面,0,34.16,地下二樓
RPPQMLNKRHGGFBH48CC,坡道機械,0,,地下一樓
RPPOMLLKRHGGFBH08CC,坡道平面,0,,地下一樓
RPSNMLNKRHGGFHH09CC,坡道平面,3000,26.46,地下一樓
RPRPMLNKRHGGFCH68CC,坡道平面,2500,55.42,地下二樓
RPVNMLOKRHGGFHH86CC,其他,0,,
RPRNMLNKRHGGFHH98CC,坡道平面,0,25.63,地下二樓
RPOSMLOKRHGGFHH66CC,坡道機械,2000,17.74,地下一樓
RPUNMLOKRHGGFCH88CC,坡道平面,0,30.44,地下三樓
RPQOMLOKRHGGFCH58CC,坡道平面,2000,33.10,地下三樓
RPWSMLOKRHGGFAH86DC,坡道平面,0,,地下二樓
RPTOMLOKRHGGFEH09CC,坡道平面,0,,地下二樓
RPTOMLOKRHGGFDH98CC,坡道平面,2000,26.45,地下二樓
RPWOMLOKRHGGFBH09CC,坡道平面,0,35.15,地下二樓
RPWOMLOKRHGGFBH09CC,坡道平面,0,35.15,地下二樓
RPVNMLOKRHGGFFH66CC,坡道平面,2000,32.21,地下一樓
RPXOMLOKRHGGFAH09CC,坡道平面,2000,,地下二樓
RPVQMLPKRHGGFBH66CC,坡道平面,1700,,地下三樓
RPQNMLPKRHGGFFH88CC,坡道平面,1000,24.91,地下二樓
RPQOMLPKRHGGFFH98CC,坡道平面,2000,,地下二樓
RPXPMLOKRHGGFBH66CC,坡道機械,2000,13.34,地下三樓
RPSNMLPKRHGGFFH56DC,坡道平面,0,33.75,地下二樓
RPPPMLPKRHGGFEH09EC,坡道平面,0,,地下二樓
RPVOMLPKRHGGFCH56CC,坡道平面,0,,地下一樓
RPVNMLPKRHGGFHH96CC,坡道平面,500,,地下五樓含以下
RPQOMLPKRHGGFHH56CC,坡道平面,2500,,地下四樓
RPQPMLPKRHGGFDH88CC,坡道平面,1000,,地下二樓
RPTNMLPKRHGGFAH68CC,坡道平面,0,21.43,地下二樓
RPPRMLQKRHGGFEH56CC,坡道平面,2500,34.76,地下二樓
RPUNMLQKRHGGFAH88CC,坡道平面,0,31.10,地下三樓
RPXNMLQKRHGGFAH56CC,坡道平面,0,33.70,地下三樓
RPRPMLQKRHGGFAH78CC,坡道平面,2000,34.70,地下四樓
RPPOMLRKRHGGFAH58CC,坡道平面,0,,地下三樓
RPRPMLRKRHGGFAH88CC,坡道平面,0,25.59,地下四樓
RPXNMLRKRHGGFBH76CC,坡道平面,3000,23.56,地下二樓
RPTOMLRKRHGGFBH09CC,坡道平面,0,34.16,地下二樓
RPVNMLRKRHGGFFH96CC,坡道平面,1000,,地下三樓
RPXSMLNLRHGGFAH86CC,坡道平面,0,27.14,地下三樓
RPPOMLOLRHGGFBH48CC,坡道平面,1200,24.28,地下三樓
RPUPMLQKRHGGFDH76CC,坡道機械,0,13.22,地下二樓
RPUNMLOLRHGGFEH56CC,坡道平面,0,39.24,地下二樓
RPXNMLOLRHGGFFH96CC,坡道平面,0,,地下二樓
RPXNMLOLRHGGFFH96CC,坡道平面,0,,地下二樓
RPRNMLOLRHGGFGH09CC,坡道平面,2500,,地下一樓
RPWPMLOLRHGGFEH07DC,坡道平面,0,,地下一樓
RPWPMLOLRHGGFEH07DC,坡道平面,0,,地下一樓
RPROMLOLRHGGFGH66DC,坡道平面,0,30.60,地下三樓
RPVNMLOLRHGGFFH96EC,坡道平面,0,,地下四樓
RPUNMLOLRHGGFFH86EC,坡道平面,0,,地下四樓
RPQNMLPLRHGGFBH58CC,升降機械,0,17.11,地下三樓
RPPNMLPLRHGGFBH48CC,升降機械,0,17.11,地下三樓
RPPPMLRLRHGGFBH88CC,坡道平面,1500,24.12,地下三樓
RPSONLRLRHGGFBH56CC,坡道平面,2000,,地下三樓
RPUPNLRLRHGGFBH86CC,坡道平面,1000,,地下一樓
RPRRNLRLRHGGFBH76CC,坡道平面,2350,,地下二樓
RPSUMLRLRHGGFAH96CC,坡道平面,1300,,地下三樓
RPVWMLRLRHGGFAH47CC,坡道平面,0,33.01,地下二樓
RPPONLRLRHGGFAH78CC,坡道平面,1000,,地下一樓
RPSPMLRLRHGGFFH96CC,坡道平面,0,,地下二樓
RPWPMLRLRHGGFHH57CC,坡道平面,1000,,地下一樓
RPQSMLRLRHGGFHH27CC,升降平面,3000,,地下一樓
RPOPMLRLRHGGFCH88CC,坡道平面,4000,,地下二樓
RPWNMLSLRHGGFDH07CC,坡道平面,600,26.45,地下二樓
RPSPMLSLRHGGFDH86CC,坡道平面,2500,43.99,地下二樓
RPTNMLSLRHGGFFH96CC,坡道平面,2000,,地下一樓
RPRRMLSLRHGGFAH66CC,坡道平面,2500,,地下三樓
RPTRMLSLRHGGFAH86CC,坡道平面,2500,,地下一樓
RPUPMLSLRHGGFBH86CC,升降機械,0,17.11,地下三樓
RPURMLSLRHGGFBH07CC,坡道平面,0,24.47,地下三樓
RPWOMLTLRHGGFBH07CC,升降機械,0,17.11,地下三樓
RPXQMLTLRHGGFBH37CC,坡道平面,2000,,地下三樓
RPSRMLTLRHGGFBH96CC,坡道機械,0,17.11,地下三樓
RPXRMLTLRHGGFBH47CC,坡道平面,2400,,地下三樓
RPOSMLTLRHGGFBH66CC,坡道平面,2400,,地下二樓
RPPSMLTLRHGGFBH76CC,坡道平面,2000,,地下一樓
RPSNMLTLRHGGFAH09CC,坡道平面,4000,,地下一樓
RPXNMLTLRHGGFAH96CC,坡道平面,0,25.27,地下三樓
RPTOMLTLRHGGFAH66CC,坡道機械,3500,,地下二樓
RPVOMLTLRHGGFAH86CC,坡道平面,0,41.54,地下二樓
RPUPMLTLRHGGFAH86CC,坡道平面,2500,,地下一樓
RPTRMLTLRHGGFAH96CC,坡道平面,0,34.96,地下一樓
RPQNMLTLRHGGFGH86CC,坡道平面,2000,,地下一樓
RPXOMLTLRHGGFGH67CC,坡道平面,2600,,地下二樓
RPPPMLTLRHGGFGH96CC,坡道平面,2100,,地下二樓
RPXNMLTLRHGGFFH47CC,坡道平面,0,,地下二樓
RPPOMLTLRHGGFFH76CC,坡道平面,2000,,地下三樓
RPPPMLTLRHGGFFH86CC,坡道平面,0,27.94,地下一樓
RPVNMLTLRHGGFEH17CC,坡道平面,1500,,地下二樓
RPSOMLTLRHGGFEH96CC,坡道平面,3000,,地下一樓
RPUQMLTLRHGGFHH67CC,坡道平面,0,35.44,地下二樓
RPVNMLTLRHGGFFH37DC,坡道平面,0,38.87,地下一樓
RPSOMLTLRHGGFFH17DC,坡道平面,0,30.21,地下二樓
RPQOMLKMRHGGFCH38CC,坡道平面,500,,地下一樓
RPOOMLKMRHGGFDH28CC,坡道平面,1500,,地下一樓
RPVPMLKMRHGGFDH09CC,坡道平面,1000,,地下一樓
RPXPMLKMRHGGFDH66CC,坡道平面,1000,,地下二樓
RPVNMLKMRHGGFFH09CC,坡道平面,2000,,地下二樓
RPWNMLKMRHGGFGH66CC,坡道平面,1000,,地下二樓
RPQOMLKMRHGGFAH18CC,坡道平面,0,,地下一樓
RPQOMLKMRHGGFAH18CC,坡道平面,0,,地下一樓
RPQOMLKMRHGGFAH18CC,坡道平面,0,,地下一樓
RPQOMLKMRHGGFAH18CC,坡道平面,0,,地下一樓
RPXOMLKMRHGGFBH98CC,坡道平面,1500,,地下三樓
RPWPMLKMRHGGFBH98CC,坡道機械,500,,地下一樓
RPXPMLKMRHGGFBH09CC,坡道平面,0,19.25,地下一樓
RPVPMLKMRHGGFBH88CC,坡道平面,2500,,地下一樓
RPRQMLKMRHGGFBH58CC,坡道平面,1000,,地下一樓
RPVQMLKMRHGGFBH98CC,坡道平面,2000,,地下一樓
RPTQMLKMRHGGFBH78CC,坡道平面,2500,33.32,地下二樓
RPWQMLKMRHGGFBH09CC,坡道機械,1000,,地下一樓
RPRRMLKMRHGGFBH68CC,坡道平面,0,,地下一樓
RPTRMLKMRHGGFBH88CC,坡道平面,500,,地下一樓
RPUSMLKMRHGGFBH09CC,坡道平面,0,37.70,地下三樓
RPXUMLKMRHGGFBH96CC,坡道平面,0,37.70,地下二樓
RPOQMLLJIIGGFBH27CC,坡道機械,0,17.11,地下三樓
RPXSMLLJIIGGFBH38CC,坡道平面,3000,,地下二樓
RPTSMLLJIIGGFAH87CC,坡道平面,3000,,地下四樓
RPSPMLLJIIGGFEH87CC,坡道平面,0,43.36,地下一樓
RPRQMLLJIIGGFEH87CC,坡道平面,2500,,地下一樓
RPORMLOJIIGGFBH67CC,坡道機械,2000,,地下二樓
RPRPMLOJIIGGFBH77CC,一樓平面,0,,一樓
RPRRMLOJIIGGFAH87CC,坡道機械,0,,地下一樓
