鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉興湖段0569-0000，0570-0000地號,28.23,住,,,1100210,土地2建物1車位1,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,131.55,3,2,2,有,無,7650000,59711,坡道平面,23.53,1200000,,RPPNMLLKRHGGFDJ28CB,站前都心,D棟5號
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉興湖段0569-0000，0570-0000地號,21.34,住,,,1100410,土地2建物1車位1,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,105.27,2,2,1,有,無,6180000,60947,坡道平面,23.56,1200000,,RPQNMLLKRHGGFDJ38CB,站前都心,A棟8號
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉興湖段0569-0000，0570-0000地號,28.08,住,,,1100430,土地2建物1車位1,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,131.05,3,2,2,有,無,7600000,59540,坡道平面,23.56,1200000,,RPSNMLLKRHGGFDJ58CB,站前都心,C棟5號
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉興湖段0569-0000，0570-0000地號,28.08,住,,,1100506,土地2建物1車位1,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,131.05,3,2,2,有,無,7700000,60471,坡道平面,23.56,1200000,,RPTNMLLKRHGGFDJ68CB,站前都心,A棟5號
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉興湖段0569，0570地號,28.08,住,,,1091116,土地2建物1車位1,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,131.05,3,2,2,有,無,6579000,52833,坡道平面,23.56,900000,,RPUNMLLKRHGGFDJ78CB,站前都心,A棟4號
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉興湖段0569，0570地號,27.77,住,,,1091108,土地2建物1車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.97,3,2,2,有,無,7318000,59374,坡道平面,23.56,1000000,,RPVNMLLKRHGGFDJ88CB,站前都心,D棟7號
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉興湖段0569，0570地號,27.77,住,,,1091108,土地2建物1車位1,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.97,3,2,2,有,無,7800000,62024,一樓平面,23.56,1200000,,RPWNMLLKRHGGFDJ98CB,站前都心,B棟8號
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路261號對面,29.92,其他,,,1100831,土地2建物1車位1,三層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,,179.51,4,2,2,有,無,13630000,84774,坡道平面,32.06,1130000,,RPPNMLLKRHGGFCJ18CB,星都?A區,1C棟3F號
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路261號對面,27.74,其他,,,1100901,土地2建物1車位2,八層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,,201.12,4,2,2,有,無,13340000,81241,坡道平面,64.12,2210000,,RPVNMLLKRHGGFCJ78CB,星都?A區,2A棟8F號
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路261號對面,27.74,其他,,,1100831,土地2建物1車位2,九層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,,201.12,4,2,2,有,無,13680000,81533,坡道平面,64.12,2510000,,RPWNMLLKRHGGFCJ88CB,星都?A區,2A棟9F號
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路261號對面,27.74,其他,,,1100830,土地2建物1車位2,十層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,,201.12,4,2,2,有,無,13720000,81825,坡道平面,64.12,2510000,,RPXNMLLKRHGGFCJ98CB,星都?A區,2A棟10F號
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路261號對面,27.74,其他,,,1100831,土地2建物1車位2,十一層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,,201.12,4,2,2,有,無,13600000,80949,坡道平面,64.12,2510000,,RPOOMLLKRHGGFCJ18CB,星都?A區,2A棟11F號
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路261號對面,27.74,其他,,,1100830,土地2建物1車位2,十二層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,,201.12,4,2,2,有,無,13540000,81241,坡道平面,64.12,2410000,,RPPOMLLKRHGGFCJ28CB,星都?A區,2A棟12F號
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路261號對面,27.74,其他,,,1100830,土地2建物1車位1,十四層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,,176.31,4,2,2,有,無,12240000,80365,坡道平面,39.31,1230000,,RPQOMLLKRHGGFCJ38CB,星都?A區,2A棟14F號
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路261號對面,27.74,其他,,,1100901,土地2建物1車位1,三層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,,169.06,4,2,2,有,無,12130000,80292,坡道平面,32.06,1130000,,RPROMLLKRHGGFCJ48CB,星都?A區,2A棟3F號
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路261號對面,27.74,其他,,,1100905,土地2建物1車位1,四層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,,169.06,4,2,2,有,無,11970000,79124,坡道平面,32.06,1130000,,RPSOMLLKRHGGFCJ58CB,星都?A區,2A棟4F號
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路261號對面,27.74,其他,,,1100830,土地2建物1車位1,五層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,,169.06,4,2,2,有,無,12090000,80365,坡道平面,32.06,1080000,,RPTOMLLKRHGGFCJ68CB,星都?A區,2A棟5F號
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路261號對面,27.74,其他,,,1100831,土地2建物1車位2,六層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,,201.12,4,2,2,有,無,13360000,80657,坡道平面,64.12,2310000,,RPUOMLLKRHGGFCJ78CB,星都?A區,2A棟6F號
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路261號對面,27.74,其他,,,1100831,土地2建物1車位2,七層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,,201.12,4,2,2,有,無,13300000,80949,坡道平面,64.12,2210000,,RPVOMLLKRHGGFCJ88CB,星都?A區,2A棟7F號
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路261號對面,27.74,其他,,,1100830,土地2建物1車位2,十三層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,,201.12,4,2,2,有,無,13480000,81533,坡道平面,64.12,2310000,,RPWOMLLKRHGGFCJ98CB,星都?A區,2A棟13F號
