編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWNMLLKRHGGFCJ88CB,旭光段,15.60,都市：其他:科技商務服務專用區,100000,115,持分移轉,00750000
RPWNMLLKRHGGFCJ88CB,旭光段,12.15,都市：其他:科技商務服務專用區,100000,115,持分移轉,00750002
RPPNMLLKRHGGFDJ28CB,興湖段,14.32,都市：住,10000,373,持分移轉,05690000
RPPNMLLKRHGGFDJ28CB,興湖段,13.91,都市：住,10000,373,持分移轉,05700000
RPVNMLLKRHGGFDJ88CB,興湖段,14.09,都市：住,10000,367,持分移轉,05690000
RPVNMLLKRHGGFDJ88CB,興湖段,13.69,都市：住,10000,367,持分移轉,05700000
RPVNMLLKRHGGFCJ78CB,旭光段,15.60,都市：其他:科技商務服務專用區,100000,115,持分移轉,00750000
RPVNMLLKRHGGFCJ78CB,旭光段,12.15,都市：其他:科技商務服務專用區,100000,115,持分移轉,00750002
RPQNMLLKRHGGFDJ38CB,興湖段,10.82,都市：住,10000,282,持分移轉,05690000
RPQNMLLKRHGGFDJ38CB,興湖段,10.52,都市：住,10000,282,持分移轉,05700000
RPTNMLLKRHGGFDJ68CB,興湖段,14.24,都市：住,10000,371,持分移轉,05690000
RPTNMLLKRHGGFDJ68CB,興湖段,13.84,都市：住,10000,371,持分移轉,05700000
RPWNMLLKRHGGFDJ98CB,興湖段,14.09,都市：住,10000,367,持分移轉,05690000
RPWNMLLKRHGGFDJ98CB,興湖段,13.69,都市：住,10000,367,持分移轉,05700000
RPXNMLLKRHGGFCJ98CB,旭光段,15.60,都市：其他:科技商務服務專用區,100000,115,持分移轉,00750000
RPXNMLLKRHGGFCJ98CB,旭光段,12.15,都市：其他:科技商務服務專用區,100000,115,持分移轉,00750002
RPOOMLLKRHGGFCJ18CB,旭光段,15.60,都市：其他:科技商務服務專用區,100000,115,持分移轉,00750000
RPOOMLLKRHGGFCJ18CB,旭光段,12.15,都市：其他:科技商務服務專用區,100000,115,持分移轉,00750002
RPPOMLLKRHGGFCJ28CB,旭光段,15.60,都市：其他:科技商務服務專用區,100000,115,持分移轉,00750000
RPPOMLLKRHGGFCJ28CB,旭光段,12.15,都市：其他:科技商務服務專用區,100000,115,持分移轉,00750002
RPROMLLKRHGGFCJ48CB,旭光段,15.60,都市：其他:科技商務服務專用區,100000,115,持分移轉,00750000
