編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLLKRHGGFDJ48CC,坡道平面,2000,51.03,地下一樓
RPRNMLLKRHGGFCJ48CC,坡道平面,0,30.56,地下三樓
RPVQMLOKRHGGFBJ76CC,坡道平面,0,,地下一樓
RPVQMLOKRHGGFBJ76CC,坡道平面,0,,地下一樓
RPROMLMLRHGGFBJ68CC,坡道平面,0,,地下三樓
RPROMLPJIIGGFBJ97CC,坡道平面,0,32.73,地下二樓
RPQNMLPJIIGGFBJ77CC,坡道機械,0,20.66,地下三樓
RPXOMLPJIIGGFBJ58CC,坡道平面,0,29.81,地下五樓含以下
RPSQMLQJIIGGFBJ38CC,坡道機械,0,,地下四樓
RPVNMLRJIIGGFBJ48CC,坡道機械,0,,地下二樓
RPOOMLRJIIGGFBJ87CC,坡道平面,0,,地下二樓
RPXNMLRJIIGGFBJ68CC,坡道平面,0,,地下二樓
RPOOMLSJIIGGFBJ97CC,坡道機械,1500,16.55,地下四樓
RPTOMLPJIIGGFBJ28DC,坡道平面,0,,地下一樓
RPROMLNKIIGGFBJ87CC,坡道平面,0,,地下二樓
RPSOMLNKIIGGFBJ97CC,坡道平面,0,,地下二樓
RPSOMLNKIIGGFBJ97CC,坡道平面,0,,地下二樓
RPSOMLNKIIGGFBJ97CC,坡道平面,0,,地下二樓
RPSOMLNKIIGGFBJ97CC,坡道平面,0,,地下二樓
RPSOMLNKIIGGFBJ97CC,坡道平面,0,,地下二樓
RPPPMLSKIIGGFBJ28CC,坡道平面,0,25.88,地下四樓
RPSPMLTKIIGGFBJ68CC,坡道平面,0,38.55,地下二樓
RPSPMLTKIIGGFBJ68CC,坡道平面,0,38.55,地下二樓
RPTPMLLLIIGGFBJ08CC,坡道平面,0,29.02,地下一樓
RPPOMLLLIIGGFBJ57CC,坡道平面,0,,地下一樓
RPPOMLLLIIGGFBJ57CC,坡道平面,0,,一樓
RPSNMLMLIIGGFBJ87CC,坡道平面,0,,地下一樓
RPSNMLMLIIGGFBJ87CC,坡道平面,0,,地下一樓
RPVOMLPLIIGGFBJ58CC,坡道平面,0,28.82,地下二樓
RPVOMLPLIIGGFBJ58CC,坡道平面,0,28.82,地下二樓
RPUPMLRLIIGGFBJ78CC,坡道平面,0,36.64,地下二樓
RPWPMLQLIIGGFBJ88CC,坡道平面,0,30.35,地下四樓
RPVNMLSLIIGGFBJ78CC,坡道平面,0,,地下一樓
RPUNMLMJJIGGFBJ08DC,坡道機械,0,,地下三樓
RPTPMLOJJIGGFBJ28CC,坡道平面,0,28.80,地下二樓
RPPOMLNJJIGGFBJ67CC,坡道平面,0,28.58,地下二樓
RPXNMLPJJIGGFBJ58CC,坡道平面,0,,地下四樓
RPUNMLTJJIGGFBJ68CC,坡道平面,0,,地下三樓
RPROMLTJJIGGFBJ48CC,坡道平面,0,34.86,地下二樓
RPROMLTJJIGGFBJ48CC,坡道平面,0,34.86,地下二樓
RPROMLTJJIGGFBJ48CC,坡道平面,0,30.06,地下二樓
RPROMLTJJIGGFBJ48CC,坡道平面,0,30.06,地下二樓
RPTNMLTJJIGGFBJ58CC,坡道平面,0,,地下二樓
RPWOMLMKJIGGFCJ48CC,坡道平面,0,,地下一樓
RPTOMLMKJIGGFBJ08CC,坡道平面,0,,地下一樓
RPWPMLSLIIGGFBJ09CC,坡道平面,0,36.41,地下二樓
RPXOMLMKJIGGFBJ48CC,坡道平面,0,,地下二樓
RPXOMLPKJIGGFBJ78CC,坡道平面,0,,地下三樓
RPTNMLPKJIGGFBJ28CC,坡道平面,0,,地下二樓
RPQPMLRKJIGGFBJ38CC,坡道平面,0,,地下一樓
RPQPMLRKJIGGFBJ38CC,坡道平面,0,,地下一樓
RPQPMLRKJIGGFBJ38CC,坡道平面,0,,地下一樓
RPQPMLRKJIGGFBJ38CC,坡道平面,0,,地下一樓
RPQPMLRKJIGGFBJ38CC,坡道平面,0,,地下一樓
RPQPMLRKJIGGFBJ38CC,坡道平面,0,,地下一樓
RPQPMLRKJIGGFBJ38CC,坡道平面,0,,地下一樓
RPQPMLRKJIGGFBJ38CC,坡道平面,0,,地下一樓
RPQPMLRKJIGGFBJ38CC,坡道平面,0,,地下一樓
RPQPMLRKJIGGFBJ38CC,坡道平面,0,,地下一樓
RPQPMLRKJIGGFBJ38CC,坡道平面,0,,地下一樓
RPQPMLRKJIGGFBJ38CC,坡道平面,0,,地下一樓
RPXOMLRKJIGGFBJ98CC,坡道平面,0,18.84,地下二樓
RPXOMLRKJIGGFBJ98CC,坡道平面,0,18.84,地下二樓
RPSPMLRKJIGGFBJ58CC,坡道平面,0,37.20,地下三樓
RPXOMLTKJIGGFBJ56CC,坡道平面,0,13.30,地下二樓
RPXOMLTKJIGGFBJ56CC,坡道平面,0,13.30,地下二樓
