鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮海口里開元路759巷,32.33,住,,,1100905,土地2建物1車位1,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,144.28,3,2,2,有,無,6380000,49366,一樓平面,32.26,850000,,RPPNMLLKRHGGFDK38CB,承家2,C1棟5F號
苗栗市,房地(土地+建物),苗栗縣苗栗市文峰街,167.0,住,,,1100821,土地1建物1車位0,全,0,透天厝,住家用,鋼筋混凝土造,,303.31,6,2,7,有,無,26000000,85721,,0.0,0,,RPTNMLNKRHGGFBK78CB,明慧居三,C棟1號
苗栗市,房地(土地+建物),苗栗縣苗栗市文峰街,107.38,住,,,1100827,土地1建物1車位0,全,0,透天厝,住家用,鋼筋混凝土造,,300.31,6,2,7,有,無,21500000,71593,,0.0,0,,RPUNMLNKRHGGFBK88CB,明慧居三,C棟2號
苗栗市,房地(土地+建物),苗栗縣苗栗市文峰街,111.53,住,,,1100826,土地1建物1車位0,全,0,透天厝,住家用,鋼筋混凝土造,,300.31,6,2,7,有,無,21380000,71193,,0.0,0,,RPVNMLNKRHGGFBK98CB,明慧居三,C棟5號
苗栗市,房地(土地+建物),苗栗縣苗栗市文峰街,117.25,住,,,1100826,土地1建物1車位0,全,0,透天厝,住家用,鋼筋混凝土造,,300.31,6,2,7,有,無,21380000,71193,,0.0,0,,RPWNMLNKRHGGFBK09CB,明慧居三,C棟6號
頭份市,房地(土地+建物)+車位,苗栗縣頭份市公園段38地號,16.07,商,,,1100912,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,164.9,3,2,2,有,無,9380000,56857,坡道平面,21.03,1200000,,RPPNMLNKRHGGFFK88DB,上磊方庭寓所,B1棟02號
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文峰街,38.33,住,,,1100826,土地1建物1車位2,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,193.15,4,2,2,有,無,11200000,59148,升降平面,30.0,1550000,機車停車位1個,RPPNMLOKRHGGFBK48CB,明慧居三,B棟8號
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文峰街,38.33,住,,,1100826,土地1建物1車位2,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,193.15,4,2,2,有,無,11200000,59148,升降平面,30.0,1550000,1.機車停車位1個2.1個汽車停車位為法定空地分管約定專用,RPRNMLOKRHGGFBK68CB,明慧居三,B棟8號
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文峰街,37.89,住,,,1100826,土地1建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.42,4,2,2,有,無,10500000,65048,一樓平面,0.0,850000,1.機車停車位1個2.1個汽車停車位為法定空地分管約定專用,RPSNMLOKRHGGFBK78CB,明慧居三,A棟8號
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文峰街,38.33,住,,,1100821,土地1建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,193.15,4,2,2,有,無,10400000,58535,一樓平面,30.0,850000,機車停車位1個,RPTNMLOKRHGGFBK88CB,明慧居三,B棟7號
