編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLNKRHGGFBK98CB,文峰段,111.53,都市：住,1,1,全筆移轉,05980002
RPWNMLNKRHGGFBK09CB,文峰段,117.25,都市：住,1,1,全筆移轉,05980001
RPSNMLOKRHGGFBK78CB,文峰段,37.89,都市：住,10000,523,持分移轉,05980000
RPTNMLOKRHGGFBK88CB,文峰段,38.33,都市：住,10000,529,持分移轉,05980000
RPUNMLNKRHGGFBK88CB,文峰段,107.38,都市：住,1,1,全筆移轉,05980004
RPPNMLLKRHGGFDK38CB,海口段海口小段,13.79,都市：住,100000,1993,持分移轉,04090004
RPPNMLLKRHGGFDK38CB,海口段海口小段,18.53,都市：住,100000,1993,持分移轉,04090005
RPTNMLNKRHGGFBK78CB,文峰段,167.00,都市：住,1,1,全筆移轉,05980005
RPRNMLOKRHGGFBK68CB,文峰段,38.33,都市：住,10000,529,持分移轉,05980000
RPPNMLNKRHGGFFK88DB,公園段,16.07,都市：商,100000,694,持分移轉,00380000
RPPNMLOKRHGGFBK48CB,文峰段,38.33,都市：住,10000,529,持分移轉,05980000
RPQNMLQKRHGGFDK98CB,龍椅段,53.83,都市：住,10000,844,持分移轉,04500000
RPSNMLQKRHGGFDK56CB,新南段,22.65,都市：住,100000,434,持分移轉,00040000
RPUNMLOKRHGGFBK98CB,文峰段,38.33,都市：住,10000,529,持分移轉,05980000
RPRNMLQKRHGGFDK09CB,龍椅段,87.97,都市：住,1,1,全筆移轉,04500004
RPTNMLQKRHGGFDK66CB,新南段,25.62,都市：住,100000,491,持分移轉,00040000
RPPNMLPKRHGGFCK68CB,苑西段,26.55,都市：住,100000,1234,持分移轉,10360000
RPRNMLOKRHGGFCK78CB,苑西段,26.55,都市：住,100000,1234,持分移轉,10360000
RPUNMLQKRHGGFDK76CB,新南段,22.65,都市：住,100000,434,持分移轉,00040000
RPPNMLQKRHGGFDK98DB,大同段,74.80,都市：住,1,1,全筆移轉,12290064
RPPNMLQKRHGGFDK98DB,大同段,23.92,都市：住,8,1,持分移轉,12290070
RPQNMLRKRHGGFFK66CB,永貞段,32.07,都市：住,3559,100,持分移轉,02730000
RPVNMLQKRHGGFDK86CB,龍椅段,87.97,都市：住,1,1,全筆移轉,04500005
RPRNMLRKRHGGFDK56CB,淡文湖段,68.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,11220005
RPRNMLRKRHGGFDK56CB,淡文湖段,3.19,非都市：特定農業區 ; 非都市編定：甲種建築用地,181,1,持分移轉,11220004
RPRNMLRKRHGGFDK56CB,淡文湖段,4.80,非都市：特定農業區 ; 非都市編定：甲種建築用地,61,1,持分移轉,11220068
RPRNMLRKRHGGFDK56CB,淡文湖段,.69,非都市：特定農業區 ; 非都市編定：甲種建築用地,61,1,持分移轉,11220050
RPRNMLRKRHGGFDK56CB,淡文湖段,6.80,非都市：特定農業區 ; 非都市編定：甲種建築用地,61,1,持分移轉,11220069
RPRNMLRKRHGGFDK56CB,淡文湖段,.85,非都市：特定農業區 ; 非都市編定：甲種建築用地,61,1,持分移轉,11220022
RPPNMLSKRHGGFFK66CB,公園段,9.82,都市：商,100000,424,持分移轉,00430000
RPQNMLRKRHGGFDK09CB,淡文湖段,65.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,11220005
RPQNMLRKRHGGFDK09CB,淡文湖段,3.19,非都市：特定農業區 ; 非都市編定：甲種建築用地,181,1,持分移轉,11220004
RPQNMLRKRHGGFDK09CB,淡文湖段,4.80,非都市：特定農業區 ; 非都市編定：甲種建築用地,61,1,持分移轉,11220068
RPQNMLRKRHGGFDK09CB,淡文湖段,.69,非都市：特定農業區 ; 非都市編定：甲種建築用地,61,1,持分移轉,11220050
RPQNMLRKRHGGFDK09CB,淡文湖段,6.80,非都市：特定農業區 ; 非都市編定：甲種建築用地,61,1,持分移轉,11220069
RPQNMLRKRHGGFDK09CB,淡文湖段,.85,非都市：特定農業區 ; 非都市編定：甲種建築用地,61,1,持分移轉,11220022
RPRNMLSKRHGGFFK86CB,公園段,9.82,都市：商,100000,424,持分移轉,00430000
RPQNMLSKRHGGFFK76CB,公園段,9.82,都市：商,100000,424,持分移轉,00430000
RPSNMLSKRHGGFFK96CB,公園段,14.98,都市：商,100000,647,持分移轉,00430000
RPPNMLTKRHGGFFK76CB,公園段,14.98,都市：商,100000,647,持分移轉,00430000
RPTNMLSKRHGGFFK07CB,公園段,14.98,都市：商,100000,647,持分移轉,00430000
RPSNMLTKRHGGFFK07CB,公園段,17.53,都市：商,100000,757,持分移轉,00430000
RPRNMLTKRHGGFFK96CB,公園段,14.98,都市：商,100000,647,持分移轉,00430000
RPQNMLTKRHGGFFK86CB,公園段,9.82,都市：商,100000,424,持分移轉,00430000
RPPOMLTKRHGGFFK86CB,公園段,9.82,都市：商,100000,424,持分移轉,00430000
RPUNMLTKRHGGFFK27CB,公園段,14.98,都市：商,100000,647,持分移轉,00430000
RPTNMLTKRHGGFFK17CB,公園段,9.82,都市：商,100000,424,持分移轉,00430000
RPXNMLTKRHGGFFK57CB,公園段,9.82,都市：商,100000,424,持分移轉,00430000
RPSOMLTKRHGGFFK17CB,公園段,9.82,都市：商,100000,424,持分移轉,00430000
RPWNMLTKRHGGFFK47CB,公園段,9.82,都市：商,100000,424,持分移轉,00430000
RPOOMLTKRHGGFFK76CB,公園段,14.82,都市：商,100000,640,持分移轉,00430000
RPROMLTKRHGGFFK07CB,公園段,9.82,都市：商,100000,424,持分移轉,00430000
RPQOMLTKRHGGFFK96CB,公園段,9.82,都市：商,100000,424,持分移轉,00430000
RPTOMLTKRHGGFFK27CB,公園段,14.98,都市：商,100000,647,持分移轉,00430000
RPUOMLTKRHGGFFK37CB,公園段,14.98,都市：商,100000,647,持分移轉,00430000
RPXOMLTKRHGGFFK67CB,公園段,9.84,都市：商,100000,425,持分移轉,00430000
RPVOMLTKRHGGFFK47CB,公園段,14.98,都市：商,100000,647,持分移轉,00430000
RPOPMLTKRHGGFFK86CB,公園段,5.61,都市：商,100000,319,持分移轉,00120000
RPOPMLTKRHGGFFK86CB,公園段,1.02,都市：商,100000,319,持分移轉,00130000
RPOPMLTKRHGGFFK86CB,公園段,.64,都市：商,100000,319,持分移轉,00140000
RPOPMLTKRHGGFFK86CB,公園段,.81,都市：商,100000,319,持分移轉,00150000
RPRPMLTKRHGGFFK17CB,公園段,6.09,都市：商,100000,346,持分移轉,00120000
RPRPMLTKRHGGFFK17CB,公園段,1.11,都市：商,100000,346,持分移轉,00130000
RPRPMLTKRHGGFFK17CB,公園段,.70,都市：商,100000,346,持分移轉,00140000
RPRPMLTKRHGGFFK17CB,公園段,.88,都市：商,100000,346,持分移轉,00150000
RPWOMLTKRHGGFFK57CB,公園段,14.98,都市：商,100000,647,持分移轉,00430000
RPPPMLTKRHGGFFK96CB,公園段,5.54,都市：商,100000,315,持分移轉,00120000
RPPPMLTKRHGGFFK96CB,公園段,1.01,都市：商,100000,315,持分移轉,00130000
RPPPMLTKRHGGFFK96CB,公園段,.63,都市：商,100000,315,持分移轉,00140000
RPPPMLTKRHGGFFK96CB,公園段,.80,都市：商,100000,315,持分移轉,00150000
RPTPMLTKRHGGFFK37CB,公園段,6.09,都市：商,100000,346,持分移轉,00120000
RPTPMLTKRHGGFFK37CB,公園段,1.11,都市：商,100000,346,持分移轉,00130000
RPTPMLTKRHGGFFK37CB,公園段,.70,都市：商,100000,346,持分移轉,00140000
RPTPMLTKRHGGFFK37CB,公園段,.88,都市：商,100000,346,持分移轉,00150000
RPQPMLTKRHGGFFK07CB,公園段,5.93,都市：商,100000,337,持分移轉,00120000
RPQPMLTKRHGGFFK07CB,公園段,1.08,都市：商,100000,337,持分移轉,00130000
RPQPMLTKRHGGFFK07CB,公園段,.68,都市：商,100000,337,持分移轉,00140000
RPQPMLTKRHGGFFK07CB,公園段,.85,都市：商,100000,337,持分移轉,00150000
RPSPMLTKRHGGFFK27CB,公園段,6.09,都市：商,100000,346,持分移轉,00120000
RPSPMLTKRHGGFFK27CB,公園段,1.11,都市：商,100000,346,持分移轉,00130000
RPSPMLTKRHGGFFK27CB,公園段,.70,都市：商,100000,346,持分移轉,00140000
RPSPMLTKRHGGFFK27CB,公園段,.88,都市：商,100000,346,持分移轉,00150000
RPUPMLTKRHGGFFK47CB,公園段,6.23,都市：商,100000,354,持分移轉,00120000
RPUPMLTKRHGGFFK47CB,公園段,1.13,都市：商,100000,354,持分移轉,00130000
RPUPMLTKRHGGFFK47CB,公園段,.71,都市：商,100000,354,持分移轉,00140000
RPUPMLTKRHGGFFK47CB,公園段,.90,都市：商,100000,354,持分移轉,00150000
RPOQMLTKRHGGFFK96CB,公園段,7.04,都市：商,100000,400,持分移轉,00120000
RPOQMLTKRHGGFFK96CB,公園段,1.28,都市：商,100000,400,持分移轉,00130000
RPOQMLTKRHGGFFK96CB,公園段,.80,都市：商,100000,400,持分移轉,00140000
RPOQMLTKRHGGFFK96CB,公園段,1.01,都市：商,100000,400,持分移轉,00150000
RPVPMLTKRHGGFFK57CB,公園段,8.36,都市：商,100000,475,持分移轉,00120000
RPVPMLTKRHGGFFK57CB,公園段,1.52,都市：商,100000,475,持分移轉,00130000
RPVPMLTKRHGGFFK57CB,公園段,.95,都市：商,100000,475,持分移轉,00140000
RPVPMLTKRHGGFFK57CB,公園段,1.20,都市：商,100000,475,持分移轉,00150000
RPWPMLTKRHGGFFK67CB,公園段,9.80,都市：商,100000,557,持分移轉,00120000
RPWPMLTKRHGGFFK67CB,公園段,1.78,都市：商,100000,557,持分移轉,00130000
RPWPMLTKRHGGFFK67CB,公園段,1.12,都市：商,100000,557,持分移轉,00140000
RPWPMLTKRHGGFFK67CB,公園段,1.41,都市：商,100000,557,持分移轉,00150000
RPXPMLTKRHGGFFK77CB,公園段,5.74,都市：商,100000,326,持分移轉,00120000
RPXPMLTKRHGGFFK77CB,公園段,1.04,都市：商,100000,326,持分移轉,00130000
RPXPMLTKRHGGFFK77CB,公園段,.65,都市：商,100000,326,持分移轉,00140000
RPXPMLTKRHGGFFK77CB,公園段,.83,都市：商,100000,326,持分移轉,00150000
RPQQMLTKRHGGFFK17CB,公園段,7.04,都市：商,100000,400,持分移轉,00120000
RPQQMLTKRHGGFFK17CB,公園段,1.28,都市：商,100000,400,持分移轉,00130000
RPQQMLTKRHGGFFK17CB,公園段,.80,都市：商,100000,400,持分移轉,00140000
RPQQMLTKRHGGFFK17CB,公園段,1.01,都市：商,100000,400,持分移轉,00150000
RPRQMLTKRHGGFFK27CB,公園段,7.07,都市：商,100000,402,持分移轉,00120000
RPRQMLTKRHGGFFK27CB,公園段,1.29,都市：商,100000,402,持分移轉,00130000
RPRQMLTKRHGGFFK27CB,公園段,.81,都市：商,100000,402,持分移轉,00140000
RPRQMLTKRHGGFFK27CB,公園段,1.02,都市：商,100000,402,持分移轉,00150000
RPSQMLTKRHGGFFK37CB,公園段,5.74,都市：商,100000,326,持分移轉,00120000
RPSQMLTKRHGGFFK37CB,公園段,1.04,都市：商,100000,326,持分移轉,00130000
RPSQMLTKRHGGFFK37CB,公園段,.65,都市：商,100000,326,持分移轉,00140000
RPSQMLTKRHGGFFK37CB,公園段,.83,都市：商,100000,326,持分移轉,00150000
RPTQMLTKRHGGFFK47CB,公園段,9.80,都市：商,100000,557,持分移轉,00120000
RPTQMLTKRHGGFFK47CB,公園段,1.78,都市：商,100000,557,持分移轉,00130000
RPTQMLTKRHGGFFK47CB,公園段,1.12,都市：商,100000,557,持分移轉,00140000
RPPQMLTKRHGGFFK07CB,公園段,8.36,都市：商,100000,475,持分移轉,00120000
RPTQMLTKRHGGFFK47CB,公園段,1.41,都市：商,100000,557,持分移轉,00150000
RPPQMLTKRHGGFFK07CB,公園段,1.52,都市：商,100000,475,持分移轉,00130000
RPPQMLTKRHGGFFK07CB,公園段,.95,都市：商,100000,475,持分移轉,00140000
RPPQMLTKRHGGFFK07CB,公園段,1.20,都市：商,100000,475,持分移轉,00150000
RPUQMLTKRHGGFFK57CB,公園段,7.00,都市：商,100000,398,持分移轉,00120000
RPUQMLTKRHGGFFK57CB,公園段,1.27,都市：商,100000,398,持分移轉,00130000
RPUQMLTKRHGGFFK57CB,公園段,.80,都市：商,100000,398,持分移轉,00140000
RPUQMLTKRHGGFFK57CB,公園段,1.01,都市：商,100000,398,持分移轉,00150000
RPVQMLTKRHGGFFK67CB,公園段,6.51,都市：商,100000,370,持分移轉,00120000
RPVQMLTKRHGGFFK67CB,公園段,1.18,都市：商,100000,370,持分移轉,00130000
RPVQMLTKRHGGFFK67CB,公園段,.74,都市：商,100000,370,持分移轉,00140000
RPVQMLTKRHGGFFK67CB,公園段,.94,都市：商,100000,370,持分移轉,00150000
RPWQMLTKRHGGFFK77CB,公園段,9.80,都市：商,100000,557,持分移轉,00120000
RPWQMLTKRHGGFFK77CB,公園段,1.78,都市：商,100000,557,持分移轉,00130000
RPWQMLTKRHGGFFK77CB,公園段,1.12,都市：商,100000,557,持分移轉,00140000
RPWQMLTKRHGGFFK77CB,公園段,1.41,都市：商,100000,557,持分移轉,00150000
