鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
草屯鎮,房地(土地+建物),南投縣草屯鎮富頂路一段,85.87,住,,,1100725,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,155.37,4,3,3,有,無,9780000,62947,,0.0,0,,RPPNMLLKRHGGFBM38CB,富春新墅,B棟8號
草屯鎮,房地(土地+建物),南投縣草屯鎮富頂路一段,85.87,住,,,1100718,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,155.37,4,3,3,有,無,9550000,61466,,0.0,0,,RPQNMLLKRHGGFBM48CB,富春新墅,B棟15號
草屯鎮,房地(土地+建物),南投縣草屯鎮富頂路一段,81.82,住,,,1100805,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,147.11,3,3,3,有,無,9150000,62198,,0.0,0,,RPRNMLLKRHGGFBM58CB,富春新墅,B棟21號
草屯鎮,房地(土地+建物),南投縣草屯鎮富頂路一段,81.74,住,,,1100718,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,147.11,4,3,3,有,無,9200000,62538,,0.0,0,,RPSNMLLKRHGGFBM68CB,富春新墅,B棟23號
草屯鎮,房地(土地+建物),南投縣草屯鎮富頂路一段,81.38,住,,,1100709,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,147.11,4,3,3,有,無,9200000,62538,,0.0,0,,RPTNMLLKRHGGFBM78CB,富春新墅,B棟26號
草屯鎮,房地(土地+建物),南投縣草屯鎮富頂路一段,82.58,住,,,1100724,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,147.11,4,3,3,有,無,9200000,62538,,0.0,0,,RPUNMLLKRHGGFBM88CB,富春新墅,B棟27號
草屯鎮,房地(土地+建物),南投縣草屯鎮富頂路一段,85.55,住,,,1100710,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,155.38,4,3,3,有,無,9400000,60497,,0.0,0,,RPVNMLLKRHGGFBM98CB,富春新墅,B棟29號
草屯鎮,房地(土地+建物),南投縣草屯鎮富頂路一段,85.87,住,,,1100718,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,155.37,4,3,3,有,無,9400000,60501,,0.0,0,,RPWNMLLKRHGGFBM09CB,富春新墅,B棟31號
草屯鎮,房地(土地+建物),南投縣草屯鎮富頂路一段,87.12,住,,,1100725,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,155.37,4,3,3,有,無,9400000,60501,,0.0,0,,RPXNMLLKRHGGFBM56CB,富春新墅,B棟35號
草屯鎮,房地(土地+建物),南投縣草屯鎮富頂路一段,87.12,住,,,1100814,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,155.37,4,3,3,有,無,9550000,61466,,0.0,0,,RPOOMLLKRHGGFBM38CB,富春新墅,B棟17號
草屯鎮,房地(土地+建物),南投縣草屯鎮富頂路一段,85.87,住,,,1100824,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,155.37,4,3,3,有,無,9780000,62947,,0.0,0,,RPPOMLLKRHGGFBM48CB,富春新墅,B棟9號
