編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLOKRHGGFAM58CB,升降機械,700000,,地下一樓
RPPNMLNKRHGGFDM88DB,坡道平面,1000000,35.83,地下一樓
RPQNMLOKRHGGFBM78CB,坡道機械,450000,19.00,地下一樓
RPPNMLOKRHGGFBM68CB,一樓平面,750000,28.92,一樓
RPPNMLQKRHGGFAM78CB,升降機械,550000,,地下一樓
RPQNMLRKRHGGFBM09CB,坡道平面,1350000,28.58,地下二樓
RPPNMLSKRHGGFBM09CB,坡道平面,1250000,35.80,地下三樓
RPPNMLOLRHGGFCM98DB,一樓平面,1100000,29.59,一樓
RPPNMLRLRHGGFBM09CB,坡道平面,1050000,28.58,地下二樓
RPQNMLQLRHGGFCM66DB,一樓平面,1100000,29.59,一樓
RPQNMLRLRHGGFCM76DB,一樓平面,1100000,29.59,一樓
RPQNMLRLRHGGFBM56CB,坡道平面,1400000,28.58,地下一樓
RPQNMLRLRHGGFBM56CB,坡道平面,1350000,28.58,地下一樓
RPSNMLRLRHGGFBM76CB,坡道平面,1250000,28.58,地下二樓
RPRNMLRLRHGGFBM66CB,坡道平面,1400000,28.58,地下一樓
RPXNMLRLRHGGFBM27CB,坡道平面,1250000,35.80,地下二樓
RPTNMLRLRHGGFBM86CB,坡道平面,1150000,28.58,地下三樓
RPROMLRLRHGGFBM76CB,坡道平面,1150000,35.80,地下二樓
RPUNMLRLRHGGFBM96CB,坡道平面,1400000,28.58,地下一樓
RPUNMLRLRHGGFBM96CB,坡道平面,1400000,28.58,地下一樓
RPPOMLRLRHGGFBM56CB,坡道平面,1150000,35.80,地下二樓
RPUOMLRLRHGGFBM07CB,坡道平面,1250000,35.80,地下二樓
RPSOMLRLRHGGFBM86CB,坡道平面,1250000,35.80,地下二樓
RPOPMLRLRHGGFBM56CB,坡道平面,1150000,35.80,地下三樓
RPTPMLRLRHGGFBM07CB,坡道平面,950000,35.80,地下三樓
RPWOMLRLRHGGFBM27CB,坡道平面,1250000,35.80,地下二樓
RPSPMLRLRHGGFBM96CB,坡道平面,1050000,35.80,地下三樓
RPQPMLRLRHGGFBM76CB,坡道平面,1150000,35.80,地下三樓
RPQPMLRLRHGGFBM76CB,坡道平面,1150000,35.80,地下三樓
RPRPMLRLRHGGFBM86CB,坡道平面,1250000,35.80,地下二樓
RPUPMLRLRHGGFBM17CB,坡道平面,1150000,35.80,地下三樓
RPVPMLRLRHGGFBM27CB,坡道平面,1150000,35.80,地下三樓
RPWPMLRLRHGGFBM37CB,坡道平面,950000,35.80,地下三樓
RPPQMLRLRHGGFBM76CB,坡道平面,1150000,35.80,地下三樓
RPRQMLRLRHGGFBM96CB,坡道平面,1300000,35.80,地下二樓
RPQQMLRLRHGGFBM86CB,坡道平面,1250000,35.80,地下二樓
RPTQMLRLRHGGFBM17CB,坡道平面,1050000,35.80,地下三樓
RPXPMLRLRHGGFBM47CB,坡道平面,1150000,35.80,地下三樓
RPUQMLRLRHGGFBM27CB,坡道平面,1150000,35.80,地下三樓
RPUQMLRLRHGGFBM27CB,坡道平面,1150000,35.80,地下三樓
RPVQMLRLRHGGFBM37CB,坡道平面,1150000,35.80,地下三樓
RPXQMLRLRHGGFBM57CB,坡道平面,1350000,35.80,地下一樓
RPWQMLRLRHGGFBM47CB,坡道平面,1300000,35.80,地下二樓
RPORMLRLRHGGFBM76CB,坡道平面,950000,35.80,地下三樓
RPRRMLRLRHGGFBM07CB,坡道平面,1050000,35.80,地下三樓
RPQRMLRLRHGGFBM96CB,坡道平面,1350000,35.80,地下一樓
RPSRMLRLRHGGFBM17CB,坡道平面,1050000,35.80,地下三樓
RPTRMLRLRHGGFBM27CB,坡道平面,1200000,35.80,地下三樓
RPWRMLRLRHGGFBM57CB,坡道平面,1250000,35.80,地下二樓
RPVRMLRLRHGGFBM47CB,坡道平面,1250000,35.80,地下二樓
RPURMLRLRHGGFBM37CB,坡道平面,1050000,35.80,地下三樓
RPXRMLRLRHGGFBM67CB,坡道平面,1150000,35.80,地下二樓
RPPSMLRLRHGGFBM96CB,坡道平面,1150000,35.80,地下二樓
RPOSMLRLRHGGFBM86CB,坡道平面,1250000,35.80,地下三樓
RPQSMLRLRHGGFBM07CB,坡道平面,1250000,35.80,地下一樓
RPTSMLRLRHGGFBM37CB,坡道平面,1250000,35.80,地下一樓
RPRSMLRLRHGGFBM17CB,坡道平面,1250000,35.80,地下一樓
RPUSMLRLRHGGFBM47CB,坡道平面,1150000,35.80,地下二樓
RPSSMLRLRHGGFBM27CB,坡道平面,1350000,35.80,地下一樓
RPXSMLRLRHGGFBM77CB,坡道平面,1050000,35.80,地下三樓
RPVSMLRLRHGGFBM57CB,坡道平面,1050000,35.80,地下三樓
RPOTMLRLRHGGFBM96CB,坡道平面,1050000,35.80,地下三樓
RPWSMLRLRHGGFBM67CB,坡道平面,1050000,35.80,地下三樓
RPPTMLRLRHGGFBM07CB,坡道平面,1250000,35.80,地下二樓
RPQTMLRLRHGGFBM17CB,坡道平面,1050000,35.80,地下三樓
RPRTMLRLRHGGFBM27CB,坡道平面,1350000,35.80,地下一樓
RPSTMLRLRHGGFBM37CB,坡道平面,1050000,35.80,地下三樓
RPTTMLRLRHGGFBM47CB,坡道平面,1200000,35.80,地下二樓
RPVTMLRLRHGGFBM67CB,坡道平面,1050000,35.80,地下三樓
RPUTMLRLRHGGFBM57CB,坡道平面,1050000,35.80,地下三樓
RPXTMLRLRHGGFBM87CB,坡道平面,1050000,35.80,地下三樓
RPWTMLRLRHGGFBM77CB,坡道平面,1250000,35.80,地下一樓
RPOUMLRLRHGGFBM07CB,坡道平面,1150000,35.80,地下三樓
RPRUMLRLRHGGFBM37CB,坡道平面,1050000,35.80,地下三樓
RPPUMLRLRHGGFBM17CB,坡道平面,1150000,35.80,地下二樓
RPUUMLRLRHGGFBM67CB,坡道平面,1400000,35.80,地下一樓
RPVUMLRLRHGGFBM77CB,坡道平面,1150000,35.80,地下三樓
RPQUMLRLRHGGFBM27CB,坡道平面,1050000,35.80,地下二樓
RPOQMLRLRHGGFBM66CB,坡道平面,1300000,35.80,地下二樓
RPSUMLRLRHGGFBM47CB,坡道平面,1150000,35.80,地下三樓
RPPNMLSLRHGGFBM56CB,坡道機械,550000,11.82,地下一樓
RPTUMLRLRHGGFBM57CB,坡道平面,1150000,35.80,地下三樓
RPWUMLRLRHGGFBM87CB,坡道平面,1350000,35.80,地下一樓
RPXUMLRLRHGGFBM97CB,坡道平面,1150000,35.80,地下三樓
RPQNMLSLRHGGFBM66CB,坡道機械,550000,11.82,地下一樓
RPUNMLSLRHGGFBM07CB,坡道機械,550000,11.82,地下一樓
RPRNMLSLRHGGFBM76CB,坡道機械,550000,11.82,地下一樓
