鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
北斗鎮,房地(土地+建物),彰化縣北斗鎮舜耕路,101.0,,鄉村區,乙種建築用地,1100813,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,198.9,4,3,5,有,無,10500000,52790,,0.0,0,,RPPNMLLKRHGGFFN88CB,觀美墅NO.10,B棟5號
北斗鎮,房地(土地+建物),彰化縣北斗鎮舜耕路,103.0,,鄉村區,乙種建築用地,1100818,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,198.75,4,3,5,有,無,10500000,52830,,0.0,0,,RPRNMLLKRHGGFFN09CB,觀美墅NO.10,A棟5號
二林鎮,房地(土地+建物),彰化縣二林鎮吉昌二街,134.84,住,,,1100903,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,144.95,3,2,4,有,無,8000000,55191,,0.0,0,,RPPNMLLKRHGGFGN98CB,勝龍旺中科5,D棟5號
二林鎮,房地(土地+建物),彰化縣二林鎮吉昌二街,144.87,住,,,1100903,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,144.95,3,2,4,有,無,8320000,57399,,0.0,0,,RPQNMLLKRHGGFGN09CB,勝龍旺中科5,D棟9號
二林鎮,房地(土地+建物),彰化縣二林鎮吉昌二街,87.36,住,,,1100901,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,139.33,3,2,4,有,無,8000000,57418,,0.0,0,,RPRNMLLKRHGGFGN56CB,勝龍旺中科5,B棟15號
二林鎮,房地(土地+建物),彰化縣二林鎮吉昌二街,100.95,住,,,1100901,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,139.33,3,2,4,有,無,8400000,60289,,0.0,0,,RPSNMLLKRHGGFGN66CB,勝龍旺中科5,B棟2號
和美鎮,房地(土地+建物),彰化縣和美鎮和泰路,37.37,住,,,1100731,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,115.71,3,2,2,有,無,8470000,73200,,0.0,0,原申報書序號B1NB11008240001撤銷重新申報更正原因:交易日期輸入錯誤,RPQNMLLKRHGGFBN58CB,卡里善一期,A棟2C號
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮和群段1213、1213-27地號,34.08,,鄉村區,乙種建築用地,1100812,土地2建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.01,3,2,2,有,無,9110000,64137,坡道平面,31.9,1150000,,RPRNMLLKRHGGFBN68CB,惠來?悅花園,B1棟3號
二林鎮,房地(土地+建物),彰化縣二林鎮吉昌二街,89.54,住,,,1100912,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,139.33,3,2,4,有,無,8000000,57418,,0.0,0,,RPPNMLNKRHGGFGN56CB,勝龍旺中科5,B棟8號
北斗鎮,房地(土地+建物),彰化縣北斗鎮宮後街,31.84,住,,,1100810,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,77.45,2,2,2,有,無,4790000,61846,,0.0,0,,RPQNMLNKRHGGFFN56CB,全家福6期,2棟G號
北斗鎮,房地(土地+建物)+車位,彰化縣北斗鎮中山路,23.24,住,,,1100831,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,60.55,2,2,1,有,無,4130000,64829,升降機械,6.87,650000,,RPROMLNKRHGGFFN76CB,富築苑NO.2期,5D號
田中鎮,房地(土地+建物),彰化縣田中鎮中州路二段,127.83,,一般農業區,甲種建築用地,1100912,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,188.14,4,3,5,有,無,8500000,45179,,0.0,0,交易總價含下列非屬預售屋價格之費用:含傢俱設備費；,RPPNMLNKRHGGFEN09DB,富裕,A棟3號
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮和群段1213、1213-27地號,34.08,,鄉村區,乙種建築用地,1100821,土地2建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.01,3,2,2,有,無,9500000,66876,坡道平面,31.9,1200000,,RPPNMLNKRHGGFBN68CB,惠來?悅花園,B1棟7號
和美鎮,房地(土地+建物)+車位,彰化縣和美鎮和群段1213、1213-27地號,33.81,,鄉村區,乙種建築用地,1100831,土地2建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,154.01,3,2,2,有,無,9250000,66743,坡道平面,31.9,1100000,,RPQNMLNKRHGGFBN78CB,惠來?悅花園,B5棟5號
彰化市,房地(土地+建物)+車位,彰化縣彰化市平順一街,92.35,住,,,1100816,土地4建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,223.7,4,3,3,有,無,16300000,72865,,0.0,0,,RPPNMLNKRHGGFAN58CB,至善人文二,D棟22號
大村鄉,房地(土地+建物)+車位,彰化縣大村鄉鎮安二巷,21.78,,鄉村區,乙種建築用地,1100911,土地1建物1車位1,二層,5,其他,住家用,鋼筋混凝土造,,80.39,2,1,1,有,無,5550000,69038,一樓平面,13.75,0,,RPPNMLNKRHGGFDN88CB,寓見德川,C棟3號
員林市,房地(土地+建物)+車位,彰化縣員林市龍富二街,17.83,住,,,1100913,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.16,2,2,1,有,無,6720000,72145,坡道平面,31.34,1250000,坐落土地:彰化縣員林市和平段1188、1189、1190、1191、1192地號等5筆土地，經合併後為1188地號1筆土地。,RPQNMLNKRHGGFDN98CB,昌祐信義大廈,H棟8F號
員林市,房地(土地+建物)+車位,彰化縣員林市龍富二街,17.83,住,,,1100912,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.16,2,2,1,有,無,6800000,72540,坡道平面,31.34,1300000,,RPRNMLNKRHGGFDN09CB,昌祐信義大廈,H棟9F號
員林市,房地(土地+建物)+車位,彰化縣員林市龍富二街,25.3,住,,,1100913,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.32,3,2,2,有,無,9360000,74637,坡道平面,31.34,1450000,坐落土地:彰化縣員林市和平段1188、1189、1190、1191、1192地號等5筆土地，經合併後為1188地號1筆土地。,RPSNMLNKRHGGFDN56CB,昌祐信義大廈,A棟10F號
溪湖鎮,房地(土地+建物),彰化縣溪湖鎮中東段875-11地號,74.11,,鄉村區,乙種建築用地,1100824,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,168.5,4,2,3,有,無,7200000,42730,,0.0,0,,RPPNMLOKRHGGFHN76CB,一品居,A棟2號
