編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLLKRHGGFBN68CB,坡道平面,1150000,31.90,
RPROMLNKRHGGFFN76CB,升降機械,650000,6.87,一樓
RPPNMLNKRHGGFBN68CB,坡道平面,1200000,31.90,
RPQNMLNKRHGGFDN98CB,坡道平面,1250000,31.34,
RPQNMLNKRHGGFBN78CB,坡道平面,1100000,31.90,
RPPNMLNKRHGGFDN88CB,一樓平面,0,13.75,
RPSNMLNKRHGGFDN56CB,坡道平面,1450000,31.34,
RPRNMLNKRHGGFDN09CB,坡道平面,1300000,31.34,
RPPNMLOKRHGGFGN66CB,升降機械,700000,12.01,
RPPNMLOKRHGGFDN98CB,坡道機械,900000,20.83,
RPPNMLPKRHGGFFN66CB,一樓平面,800000,,一樓
RPTNMLPKRHGGFFN07CB,一樓平面,800000,19.90,一樓
RPQNMLPKRHGGFFN76CB,一樓平面,800000,19.90,一樓
RPQNMLOKRHGGFCN98CB,其他,800000,34.02,
RPSNMLPKRHGGFFN96CB,一樓平面,800000,19.90,一樓
RPUNMLPKRHGGFFN17CB,一樓平面,800000,19.90,一樓
RPPNMLPKRHGGFCN98CB,其他,800000,34.02,
RPRNMLPKRHGGFCN56CB,其他,800000,34.02,
RPVNMLPKRHGGFFN27CB,一樓平面,800000,19.90,一樓
RPWNMLPKRHGGFFN37CB,一樓平面,800000,19.90,一樓
RPTNMLPKRHGGFCN76CB,坡道平面,1100000,15.36,
RPQNMLPKRHGGFCN09CB,其他,800000,34.02,
RPUNMLPKRHGGFCN86CB,其他,800000,34.02,
RPSNMLPKRHGGFCN66CB,坡道平面,1100000,15.36,
RPVNMLPKRHGGFCN96CB,坡道平面,1100000,15.36,
RPOOMLPKRHGGFCN98CB,坡道平面,1100000,15.36,
RPXNMLPKRHGGFBN07CB,坡道平面,1200000,31.90,
RPSNMLPKRHGGFBN56CB,坡道平面,1150000,31.90,
RPSNMLPKRHGGFBN56CB,坡道平面,1150000,31.90,
RPPOMLPKRHGGFCN09CB,坡道平面,1100000,15.36,
RPQOMLPKRHGGFCN56CB,其他,800000,34.02,
RPPNMLPKRHGGFBN88CB,坡道平面,1150000,31.90,
RPPNMLPKRHGGFBN88CB,坡道平面,1150000,31.90,
RPWNMLPKRHGGFBN96CB,坡道平面,1150000,31.90,
RPWNMLPKRHGGFBN96CB,坡道平面,1150000,31.90,
RPPNMLQKRHGGFHN96CB,升降機械,550000,7.50,
RPOOMLPKRHGGFBN88CB,坡道平面,1150000,31.90,
RPOOMLPKRHGGFBN88CB,坡道平面,1100000,31.90,
RPPNMLQKRHGGFFN76CB,一樓平面,800000,,一樓
RPQNMLQKRHGGFFN86CB,一樓平面,800000,,一樓
RPTNMLQKRHGGFFN17CB,一樓平面,800000,,一樓
RPWNMLQKRHGGFFN47CB,一樓平面,800000,,一樓
RPRNMLQKRHGGFFN96CB,一樓平面,800000,,一樓
RPRNMLQKRHGGFFN96CB,一樓平面,800000,,一樓
RPVNMLQKRHGGFFN37CB,一樓平面,800000,,一樓
RPSNMLQKRHGGFFN07CB,一樓平面,800000,,一樓
RPUNMLQKRHGGFFN27CB,一樓平面,800000,,一樓
RPXNMLQKRHGGFFN57CB,一樓平面,800000,,一樓
RPPOMLQKRHGGFFN86CB,一樓平面,800000,,一樓
RPOOMLQKRHGGFFN76CB,一樓平面,800000,,一樓
RPWOMLQKRHGGFFN57CB,一樓平面,800000,,一樓
RPROMLQKRHGGFFN07CB,一樓平面,800000,,一樓
RPQOMLQKRHGGFFN96CB,一樓平面,800000,,一樓
RPTOMLQKRHGGFFN27CB,一樓平面,800000,,一樓
RPUOMLQKRHGGFFN37CB,一樓平面,800000,,一樓
RPPPMLQKRHGGFFN96CB,一樓平面,800000,,一樓
RPVOMLQKRHGGFFN47CB,一樓平面,800000,,一樓
RPOPMLQKRHGGFFN86CB,一樓平面,800000,,一樓
RPXOMLQKRHGGFFN67CB,一樓平面,800000,,一樓
RPQPMLQKRHGGFFN07CB,一樓平面,800000,,一樓
RPTPMLQKRHGGFFN37CB,一樓平面,800000,,一樓
RPRPMLQKRHGGFFN17CB,一樓平面,800000,,一樓
RPWPMLQKRHGGFFN67CB,一樓平面,800000,,一樓
RPVPMLQKRHGGFFN57CB,一樓平面,800000,,一樓
RPOQMLQKRHGGFFN96CB,一樓平面,800000,,一樓
RPSPMLQKRHGGFFN27CB,一樓平面,800000,,一樓
RPPQMLQKRHGGFFN07CB,一樓平面,800000,,一樓
RPQQMLQKRHGGFFN17CB,一樓平面,800000,,一樓
RPXPMLQKRHGGFFN77CB,一樓平面,800000,,一樓
RPUPMLQKRHGGFFN47CB,一樓平面,800000,,一樓
