鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
新竹市,房地(土地+建物)+車位,新竹市新竹市鐵道路二段,24.02,住,,,1090930,土地17建物1車位2,一層,21,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,213.82,1,1,1,有,無,27000000,160878,坡道平面,65.26,3100000,,RPRNMLLKRHGGFAO68CB,武陵居,A棟C1號
新竹市,房地(土地+建物)+車位,新竹市新竹市北區中清路一段,32.34,住,,,1100906,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.35,3,2,2,有,無,8380000,60850,一樓平面,28.67,1280000,,RPPNMLMKRHGGFAO58CB,海街日記,A3棟8F號
新竹市,房地(土地+建物)+車位,新竹市新竹市北區中清路一段,32.34,住,,,1100911,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.28,3,2,2,有,無,7950000,61707,坡道機械,15.6,750000,,RPQNMLMKRHGGFAO68CB,海街日記,A3棟9F號
新竹市,房地(土地+建物)+車位,新竹市新竹市北區中清路一段,31.61,住,,,1100910,土地1建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.25,3,2,2,有,無,8850000,66374,坡道平面,31.2,1280000,,RPRNMLMKRHGGFAO78CB,海街日記,A1棟12F號
新竹市,房地(土地+建物)+車位,新竹市新竹市北區中清路一段,38.47,住,,,1100907,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.98,4,2,2,有,無,10160000,63986,坡道平面,31.2,1280000,,RPSNMLMKRHGGFAO88CB,海街日記,B5棟10F號
新竹市,房地(土地+建物)+車位,新竹市新竹市北區中清路一段,38.47,住,,,1100912,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.98,4,2,2,有,無,9480000,58366,一樓平面,31.2,1380000,,RPTNMLMKRHGGFAO98CB,海街日記,B5棟4F號
新竹市,房地(土地+建物)+車位,新竹市新竹市金雅東街與公道五路四段交叉口,23.42,,鄉村區,乙種建築用地,1100816,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.9,2,2,1,有,無,8140000,73835,坡道平面,29.99,1280000,,RPPNMLNKRHGGFAO68CB,悅佳蔚來,A2棟14號
新竹市,房地(土地+建物)+車位,新竹市新竹市金雅東街與公道五路四段交叉口,22.68,,鄉村區,乙種建築用地,1100816,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.84,2,2,1,有,無,8270000,80258,坡道平面,28.88,1050000,,RPQNMLNKRHGGFAO78CB,悅佳蔚來,A5棟8號
新竹市,房地(土地+建物)+車位,新竹市新竹市鐵道路二段,21.12,住,,,1080915,土地17建物1車位1,十二層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,180.52,3,2,2,有,無,13580000,83035,坡道平面,32.63,1300000,,RPRNMLNKRHGGFAO88CB,武陵居,A2棟12號
