編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLMKRHGGFAO58CB,一樓平面,1280000,28.67,一樓
RPQNMLMKRHGGFAO68CB,坡道機械,750000,15.60,地下一樓
RPRNMLMKRHGGFAO78CB,坡道平面,1280000,31.20,地下一樓
RPTNMLMKRHGGFAO98CB,一樓平面,1380000,31.20,一樓
RPQNMLNKRHGGFAO78CB,坡道平面,1050000,28.88,地下二樓
RPPNMLNKRHGGFAO68CB,坡道平面,1280000,29.99,地下一樓
RPTNMLNKRHGGFAO09CB,坡道平面,1650000,26.74,地下二樓
RPWNMLNKRHGGFAO76CB,坡道平面,1550000,26.74,地下三樓
RPXNMLNKRHGGFAO86CB,坡道平面,1550000,24.76,地下二樓
RPXNMLNKRHGGFAO86CB,坡道平面,1500000,24.76,地下二樓
RPOOMLNKRHGGFAO68CB,坡道平面,1250000,19.58,地下二樓
RPSOMLNKRHGGFAO09CB,一樓平面,1400000,5.39,一樓
RPTOMLNKRHGGFAO56CB,一樓平面,1400000,5.39,一樓
RPUOMLNKRHGGFAO66CB,坡道平面,1600000,24.76,地下二樓
RPUOMLNKRHGGFAO66CB,坡道平面,1600000,24.76,地下二樓
RPVOMLNKRHGGFAO76CB,一樓平面,1400000,5.39,一樓
RPWOMLNKRHGGFAO86CB,坡道平面,1450000,24.76,地下三樓
RPWOMLNKRHGGFAO86CB,坡道平面,1450000,24.76,地下三樓
RPXOMLNKRHGGFAO96CB,坡道平面,1450000,24.76,地下三樓
RPXOMLNKRHGGFAO96CB,坡道平面,1450000,24.76,地下三樓
RPUNMLOKRHGGFAO66CB,升降機械,1350000,18.76,地下三樓
RPPNMLPKRHGGFAO98DB,坡道平面,1100000,33.06,地下二樓
RPSNMLMKRHGGFAO88CB,坡道平面,1280000,31.20,地下一樓
RPQNMLPKRHGGFAO09DB,坡道平面,1200000,33.06,地下二樓
