鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新竹市,建物,新竹市新竹市南大路５３７巷１５弄１號３樓,0.0,其他,,,1100805,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701223,83.96,3,2,2,有,有,有,10000,119,,0.0,0,,RPTPMLLKRHGGFAO56CC
新竹市,建物,新竹市新竹市光復路一段４７６巷７６號７樓,0.0,住,,,1100815,土地0建物1車位1,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840925,123.42,4,2,2,有,有,有,22000,178,坡道機械,0.0,0,租金含管理費1500元,RPUPMLLKRHGGFAO66CC
新竹市,建物,新竹市新竹市五福路一段５５０巷４０號,0.0,,山坡地保育區,丙種建築用地,1100903,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0840126,183.56,6,2,3,有,無,有,16000,87,,0.0,0,,RPSOMLPKRHGGFAO76CC
新竹市,建物,新竹市新竹市自由路１０９號４樓之１,0.0,商,,,1100903,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,0801231,83.07000000000001,2,1,1,有,有,有,11510,139,,0.0,0,,RPOPMLPKRHGGFAO09CC
新竹市,建物,新竹市新竹市東山街８７號３樓,0.0,其他,,,1100907,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831028,97.94000000000001,3,2,2,有,有,有,16200,165,,0.0,0,,RPOQMLPKRHGGFAO56CC
新竹市,建物,新竹市新竹市榮濱路８６號１２樓之２,0.0,其他,,,1100910,土地0建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1040520,148.43,3,2,2,有,有,有,16000,108,,0.0,0,,RPRQMLPKRHGGFAO86CC
新竹市,建物,新竹市新竹市勝利路１２６號５樓之１３,0.0,商,,,1100913,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800307,33.519999999999996,1,0,1,有,有,有,8100,242,,0.0,0,,RPVQMLPKRHGGFAO27CC
新竹市,建物,新竹市新竹市武陵路２５０巷１１號４樓,0.0,住,,,1100909,土地0建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850628,123.53,3,2,2,有,有,有,15000,121,,0.0,0,,RPORMLPKRHGGFAO66CC
新竹市,建物,新竹市新竹市至善街３５巷１４號二樓,0.0,,山坡地保育區,丙種建築用地,1100909,土地0建物1車位0,二層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0861111,42.8,1,0,1,有,有,有,5500,129,,0.0,0,,RPQRMLPKRHGGFAO86CC
