編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLNKRHGGFAP88CC,15,12.78,住家用,鋼筋混凝土造,96年2月8日,三層,
RPRNMLRKRHGGFAP86CC,15,12.08,住家用,鋼筋混凝土造,96年2月8日,三層,
RPVNMLRLRHGGFAP47DC,40,137.40,住商用,加強磚造,71年2月20日,二層,
RPOOMLRLRHGGFAP76CC,15,15.17,住家用,鋼筋混凝土造,95年12月1日,三層,
RPUNMLQKRHGGFAP07CC,12,273.25,廠房,鋼骨造,99年1月10日,一層,
RPSNMLRKRHGGFAP96CC,15,16.51,住家用,鋼筋混凝土造,95年12月1日,三層,
RPQNMLOKIIGGFAP28CC,15,14.03,住家用,鋼筋混凝土造,95年11月10日,三層,
RPSNMLOKIIGGFAP48CC,21,16.28,住商用,鋼筋混凝土造,89年8月8日,三層,
RPOOMLNKIIGGFAP08CC,27,33.30,住家用,鋼筋混凝土造,83年11月10日,十二層,
RPQOMLPKIIGGFAP48CC,17,316.11,店舖、停車空間、住宅,鋼筋混凝土造,93年6月30日,五層,
RPQNMLOJJIGGFAP28CC,27,80.75,住家用,鋼筋混凝土造,83年9月18日,十四層,
RPQNMLOJJIGGFAP28CC,27,32.15,共同部份,鋼筋混凝土造,83年9月18日,十四層,
RPQNMLNKRHGGFAP98CC,21,16.26,住商用,鋼筋混凝土造,89年8月8日,三層,
RPPNMLSLRHGGFDP17CC,23,538.43,辦公室、住宅,鋼鐵有壁,87年12月14日,一層,
RPQNMLMLRHGGFAP98CC,15,14.89,住家用,鋼筋混凝土造,96年2月8日,三層,
RPRNMLNKRHGGFAP09CC,56,100.62,住家用,木造,54年3月23日,一層,
RPXNMLTLRHGGFAP77CC,23,74.64,住商用,鋼鐵架有壁造,87年8月3日,二層,
RPRNMLMLIIGGFAP28CC,44,94.50,住商用,加強磚造,67年4月2日,二層,
RPOOMLTLRHGGFAP96CC,23,74.64,住商用,鋼鐵架有壁造,87年8月3日,二層,
RPRNMLOKIIGGFAP38CC,15,17.48,住家用,鋼筋混凝土造,96年2月8日,三層,
RPQNMLMLIIGGFAP18CC,21,16.22,住商用,鋼筋混凝土造,89年8月8日,三層,
RPXNMLOJJIGGFAP98CC,30,122.75,住家用,鋼筋混凝土造,81年4月5日,五層,
RPXNMLOJJIGGFAP98CC,30,11.36,共同部份,鋼筋混凝土造,81年4月5日,五層,
RPXNMLOJJIGGFAP98CC,30,37.70,共同部份,鋼筋混凝土造,81年4月5日,五層,
RPVOMLQKJIGGFAP56CC,26,23.42,住家用,鋼筋混凝土造,84年9月3日,九層,
RPVOMLQKJIGGFAP56CC,26,5.41,共同部份,鋼筋混凝土造,84年9月3日,九層,
RPVOMLQKJIGGFAP56CC,26,4.78,共同部份,鋼筋混凝土造,84年9月3日,九層,
RPQNMLQKJIGGFAP68DC,26,74.21,住家用,鋼筋混凝土造,85年1月30日,七層,
RPQNMLQKJIGGFAP68DC,26,27.49,共同部份,鋼筋混凝土造,85年1月30日,七層,
RPRNMLOJJIGGFBP48CC,44,94.01,住商用,鋼筋混凝土加強磚造,66年6月10日,二層,
RPVNMLSJJIGGFAP56CC,11,231.48,店鋪、住宅、樓梯間,鋼筋混凝土造,99年7月31日,三層,
RPVNMLPKJIGGFAP98CC,27,33.30,住家用,鋼筋混凝土造,83年11月10日,十二層,
RPVNMLPKJIGGFAP98CC,27,8.72,共同部份,鋼筋混凝土造,83年11月10日,十二層,
RPVNMLPKJIGGFAP98CC,27,2.64,共同部份,鋼筋混凝土造,83年11月10日,十二層,
RPUNMLSKJIGGFAP56CC,27,13.22,住商用,鋼筋混凝土造,84年4月6日,五層,
