鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
中埔鄉,房地(土地+建物),嘉義縣中埔鄉義仁村樹頭埔,121.12,,特定農業區,甲種建築用地,1100814,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,,148.07,4,2,3,有,無,8800000,59431,,0.0,0,,RPPNMLLKRHGGFDQ09DB,春不老,G棟17號
中埔鄉,房地(土地+建物),嘉義縣中埔鄉義仁村樹頭埔1-65號,132.43,,特定農業區,甲種建築用地,1100815,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,,160.77,3,2,3,有,無,10400000,64689,,0.0,0,,RPQNMLLKRHGGFDQ56DB,春不老,F棟7號
民雄鄉,房地(土地+建物),嘉義縣民雄鄉柴頭仔,76.0,,特定農業區,甲種建築用地,1100907,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,135.11,3,2,3,有,無,6880000,50921,,0.0,0,,RPPNMLLKRHGGFCQ88CB,早稻田,G棟0號
民雄鄉,房地(土地+建物),嘉義縣民雄鄉鄉道嘉107線,116.38,,鄉村區,乙種建築用地,1100820,土地6建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,189.31,5,2,4,有,無,12300000,64973,,0.0,0,,RPPNMLMKRHGGFCQ98CB,千葉里,A棟13號
中埔鄉,房地(土地+建物),嘉義縣中埔鄉義仁村樹頭埔,130.99,,特定農業區,甲種建築用地,1100818,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,,159.57,3,2,3,有,無,13500000,84602,,0.0,0,交易總價含下列非屬預售屋價格之費用:含裝潢費；,RPPNMLPKRHGGFDQ86DB,春不老,I棟8號
中埔鄉,房地(土地+建物),嘉義縣中埔鄉義仁村樹頭埔,111.51,,特定農業區,甲種建築用地,1100829,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,,161.13,3,2,3,有,無,9500000,58959,,0.0,0,,RPQNMLPKRHGGFDQ96DB,春不老,M棟3號
大林鎮,房地(土地+建物),嘉義縣大林鎮林頭,124.19,,鄉村區,乙種建築用地,1100830,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,157.18,4,2,4,有,無,6780000,43135,,0.0,0,,RPPNMLPKRHGGFCQ76DB,新社團,B棟15號
大林鎮,房地(土地+建物),嘉義縣大林鎮林頭,120.47,,鄉村區,乙種建築用地,1100909,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,151.1,4,2,3,有,無,6300000,41694,,0.0,0,,RPQNMLPKRHGGFCQ86DB,新社團,A棟28號
太保市,房地(土地+建物),嘉義縣太保市祥和三路東段107號,110.8,住,,,1090716,土地1建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,,263.07,4,3,6,有,無,21500000,81727,,0.0,0,,RPPNMLPKRHGGFDQ76CB,嘉邑.富邑,A棟1號
