編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLSKRHGGFCQ96CB,一樓平面,1000000,15.00,一樓
RPQNMLKLRHGGFCQ98CB,升降機械,450000,5.16,一樓
RPRNMLKLRHGGFCQ09CB,升降機械,400000,5.16,一樓
RPTNMLKLRHGGFCQ66CB,升降機械,400000,5.16,一樓
RPPNMLLLRHGGFCQ98CB,一樓平面,500000,20.00,一樓
RPPNMLNLRHGGFCQ56CB,升降機械,450000,5.16,一樓
RPSNMLNLRHGGFCQ86CB,一樓平面,1100000,16.50,一樓
RPUNMLNLRHGGFCQ07CB,升降機械,350000,5.16,一樓
RPQNMLRKRHGGFCQ96CB,一樓平面,1000000,15.00,一樓
RPQNMLOLRHGGFCQ76CB,升降機械,500000,5.80,一樓
RPSNMLKLRHGGFCQ56CB,升降機械,350000,5.16,一樓
RPPNMLNLRHGGFBQ56DB,升降機械,0,,一樓
RPRNMLNLRHGGFCQ76CB,升降機械,350000,5.16,一樓
RPPNMLSLRHGGFCQ07CB,一樓平面,500000,20.00,一樓
RPPNMLKMRHGGFCQ98CB,一樓平面,500000,20.00,一樓
RPPNMLOLRHGGFCQ66CB,升降機械,500000,5.80,一樓
RPPNMLQLRHGGFBQ86DB,升降機械,0,,一樓
RPPNMLKMRHGGFBQ88CB,坡道平面,0,,一樓
RPRNMLOLRHGGFCQ86CB,升降機械,500000,5.80,一樓
RPQNMLPLRHGGFCQ86CB,升降機械,400000,5.16,一樓
RPRNMLOJIIGGFCQ58DB,一樓平面,1100000,21.00,一樓
RPSNMLOJIIGGFCQ68DB,升降機械,450000,5.63,一樓
RPQNMLQJIIGGFBQ58DB,一樓平面,750000,25.00,一樓
RPUNMLQJIIGGFBQ98DB,一樓平面,700000,25.00,一樓
RPTNMLQJIIGGFBQ88DB,一樓平面,750000,25.00,一樓
RPVNMLQJIIGGFBQ09DB,一樓平面,750000,25.00,一樓
RPPNMLPJIIGGFCQ38CB,升降機械,400000,4.59,一樓
RPQNMLKMRHGGFCQ09CB,一樓平面,500000,20.00,一樓
RPQNMLKMRHGGFBQ98CB,坡道平面,0,,一樓
RPPNMLRJIIGGFBQ58DB,一樓平面,750000,25.00,一樓
RPSNMLTKIIGGFCQ56CB,升降機械,400000,4.59,一樓
RPQNMLMKIIGGFCQ28CB,升降機械,400000,4.59,一樓
RPPNMLLLIIGGFCQ18CB,一樓平面,900000,16.28,一樓
RPSNMLLLIIGGFCQ48CB,其他,600000,9.92,一樓
RPPNMLLLIIGGFCQ28DB,升降機械,450000,5.63,一樓
RPPNMLLLIIGGFCQ28DB,升降機械,450000,5.63,一樓
RPPNMLLJJIGGFBQ97CB,一樓平面,0,,一樓
RPQNMLLJJIGGFBQ08CB,一樓平面,0,,一樓
RPTNMLPLIIGGFCQ98CB,一樓平面,900000,16.28,一樓
RPRNMLTKIIGGFCQ09CB,升降機械,400000,4.59,一樓
RPRNMLNJJIGGFCQ48CB,升降機械,400000,4.59,一樓
RPPOMLNJJIGGFCQ38CB,升降機械,400000,4.59,一樓
RPPNMLNJJIGGFBQ28DB,一樓平面,750000,25.00,一樓
RPROMLNJJIGGFCQ58CB,一樓平面,900000,16.28,一樓
RPQOMLNJJIGGFCQ48CB,其他,550000,9.91,一樓
RPRNMLOJJIGGFCQ58CB,一樓平面,500000,20.00,一樓
RPSNMLPJJIGGFCQ78CB,其他,600000,9.91,一樓
RPOOMLNJJIGGFCQ28CB,升降機械,400000,4.59,一樓
RPQNMLOJJIGGFCQ48CB,一樓平面,500000,20.00,一樓
RPQNMLLKJIGGFDQ38CB,坡道平面,1300000,16.82,地下一樓
RPSNMLLKJIGGFDQ58CB,坡道平面,1200000,16.82,地下二樓
RPTNMLLKJIGGFDQ68CB,坡道平面,1300000,16.82,地下一樓
RPUNMLLKJIGGFDQ78CB,坡道平面,1200000,16.82,地下二樓
RPVNMLLKJIGGFDQ88CB,坡道平面,1200000,16.82,地下二樓
RPPNMLSJJIGGFCQ78CB,一樓平面,1100000,16.50,一樓
RPXNMLLKJIGGFDQ09CB,坡道平面,1150000,14.26,地下一樓
RPOOMLLKJIGGFDQ28CB,坡道平面,1200000,16.82,地下二樓
RPPOMLLKJIGGFDQ38CB,坡道平面,1250000,16.82,地下一樓
RPQOMLLKJIGGFDQ48CB,坡道平面,1300000,16.82,地下一樓
RPROMLLKJIGGFDQ58CB,坡道平面,1250000,16.82,地下一樓
RPWNMLLKJIGGFDQ98CB,坡道平面,1200000,16.82,地下二樓
RPSOMLLKJIGGFDQ68CB,坡道平面,1250000,16.82,地下一樓
RPTOMLLKJIGGFDQ78CB,坡道平面,1250000,16.82,地下一樓
RPVOMLLKJIGGFDQ98CB,坡道平面,1200000,16.82,地下二樓
RPUOMLLKJIGGFDQ88CB,坡道平面,1250000,16.82,地下一樓
RPWOMLLKJIGGFDQ09CB,坡道平面,1300000,16.82,地下一樓
RPSNMLMKJIGGFDQ68CB,坡道平面,1200000,16.82,地下二樓
RPXOMLLKJIGGFDQ56CB,坡道平面,1300000,16.82,地下一樓
RPOPMLLKJIGGFDQ38CB,坡道平面,1250000,16.82,地下一樓
RPUNMLMKJIGGFDQ88CB,坡道平面,1200000,16.82,地下二樓
RPTNMLMKJIGGFDQ78CB,坡道平面,1250000,16.82,地下一樓
RPPPMLLKJIGGFDQ48CB,坡道平面,1200000,16.82,地下二樓
RPVNMLMKJIGGFDQ98CB,坡道平面,1250000,16.82,地下一樓
RPXNMLMKJIGGFDQ56CB,坡道平面,1250000,16.82,地下一樓
RPOOMLMKJIGGFDQ38CB,坡道平面,1250000,16.82,地下一樓
RPROMLMKJIGGFDQ68CB,坡道平面,1250000,16.82,地下一樓
RPQOMLMKJIGGFDQ58CB,坡道平面,1200000,16.82,地下二樓
RPSOMLMKJIGGFDQ78CB,坡道平面,1250000,16.82,地下一樓
RPTOMLMKJIGGFDQ88CB,坡道平面,1200000,16.82,地下二樓
RPUOMLMKJIGGFDQ98CB,坡道平面,1200000,16.82,地下二樓
RPXOMLMKJIGGFDQ66CB,坡道平面,1250000,16.82,地下一樓
RPOPMLMKJIGGFDQ48CB,坡道平面,1250000,16.82,地下一樓
RPPPMLMKJIGGFDQ58CB,坡道平面,1200000,16.82,地下二樓
RPSPMLMKJIGGFDQ88CB,坡道平面,1250000,16.82,地下一樓
RPTPMLMKJIGGFDQ98CB,坡道平面,1250000,16.82,地下一樓
RPUPMLMKJIGGFDQ09CB,坡道平面,1250000,16.82,地下一樓
RPVPMLMKJIGGFDQ56CB,坡道平面,1300000,16.82,地下一樓
RPWPMLMKJIGGFDQ66CB,坡道平面,1200000,16.82,地下二樓
RPXPMLMKJIGGFDQ76CB,坡道平面,1300000,16.82,地下一樓
RPPQMLMKJIGGFDQ68CB,坡道平面,1200000,16.82,地下二樓
RPOQMLMKJIGGFDQ58CB,坡道平面,1100000,14.26,地下二樓
RPQQMLMKJIGGFDQ78CB,坡道平面,1200000,16.82,地下二樓
RPSQMLMKJIGGFDQ98CB,坡道平面,1250000,16.82,地下一樓
RPUQMLMKJIGGFDQ56CB,坡道平面,1200000,16.82,地下二樓
RPWQMLMKJIGGFDQ76CB,坡道平面,1200000,16.82,地下二樓
RPWQMLMKJIGGFDQ76CB,坡道平面,1200000,16.82,地下二樓
RPPOMLMKJIGGFDQ48CB,坡道平面,1200000,17.92,地下二樓
RPVNMLPKJIGGFDQ66CB,坡道平面,1250000,16.82,地下一樓
RPWNMLMKJIGGFDQ09CB,坡道平面,1200000,16.82,地下二樓
RPWNMLPKJIGGFDQ76CB,坡道平面,1250000,16.82,地下一樓
RPXNMLPKJIGGFDQ86CB,坡道平面,1200000,16.82,地下二樓
RPOOMLPKJIGGFDQ68CB,坡道平面,1250000,16.82,地下一樓
RPVOMLMKJIGGFDQ09CB,坡道平面,1200000,16.82,地下二樓
RPPOMLPKJIGGFDQ78CB,坡道平面,1250000,16.82,地下一樓
RPQOMLPKJIGGFDQ88CB,坡道平面,1150000,14.26,地下一樓
RPROMLPKJIGGFDQ98CB,坡道平面,1250000,16.82,地下一樓
RPQPMLMKJIGGFDQ68CB,坡道平面,1250000,16.82,地下一樓
RPTOMLPKJIGGFDQ56CB,坡道平面,1250000,16.82,地下一樓
RPVOMLPKJIGGFDQ76CB,坡道平面,1250000,16.82,地下一樓
RPSOMLPKJIGGFDQ09CB,坡道平面,1250000,16.82,地下一樓
RPWOMLPKJIGGFDQ86CB,坡道平面,1200000,16.82,地下二樓
RPXOMLPKJIGGFDQ96CB,坡道平面,1250000,16.82,地下一樓
RPRQMLMKJIGGFDQ88CB,坡道平面,1250000,16.82,地下一樓
RPTQMLMKJIGGFDQ09CB,坡道平面,1200000,16.82,地下二樓
RPQNMLQKJIGGFBQ78DB,一樓平面,750000,25.00,一樓
