編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLNKRHGGFDQ66CC,2,180.62,住宅、梯間,鋼筋混凝土造,108年7月5日,三層,
RPUNMLSKJIGGFDQ96CC,4,91.94,集合住宅,鋼筋混凝土造,106年4月21日,十六層,
RPUNMLSKJIGGFDQ96CC,4,9.20,集合住宅,鋼筋混凝土造,106年4月21日,十六層,
RPUNMLSKJIGGFDQ96CC,4,16.41,本共有之項目有公共服務空間、管委會使用空間、防災中心、大廳、迴廊、頂蓋型開放空間、車道、機車停車空間、台電配電室﹝一﹞﹝二﹞﹝三﹞、排風機房、守衛室、垃圾儲藏室、垃圾車暫停區、緊急發電機室、泳池機房、泳池水箱、公共水箱、雨水蓄留機房、儲藏室、消防泵浦、汙水機房、採光井﹝上方投影﹞、電信室、地下一層車位﹝２３１、２３２﹞等２６項　,鋼筋混凝土造,106年4月21日,十六層,
RPUNMLSKJIGGFDQ96CC,4,29.18,本共有之項目有梯廳、梯廳兼排煙室、排煙室、Ｃ棟水箱、水錶室、電錶室、垃圾暫存、樓梯間、電梯機房、水箱、消防水箱等１１項,鋼筋混凝土造,106年4月21日,十六層,
RPUNMLSKJIGGFDQ96CC,4,29.86,本共有之項目有車道、防空避難室兼停車空間、停車空間等３項,鋼筋混凝土造,106年4月21日,十六層,
RPUNMLSKJIGGFDQ96CC,4,1.70,集合住宅,鋼筋混凝土造,106年4月21日,十六層,
RPPNMLMJIIGGFDQ28CC,22,87.78,集合住宅,鋼筋混凝土造,88年5月31日,五層,
RPTNMLLJIIGGFDQ58CC,4,105.86,集合住宅,鋼筋混凝土造,106年4月21日,十六層,
