編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLSKQHGGFAT96DA,31,189.13,住家用,鋼筋混凝土造,79年8月2日,四層,一層 二層 三層 四層
RPVNMLPJQHGGFAT17DA,40,85.63,住家用,加強磚造,70年5月26日,二層,一層 二層
RPSNMLRJRHGGFAT17DA,29,188.56,住商用,鋼筋混凝土造,81年11月12日,三層,一層 二層 三層 屋頂突出物 騎樓
RPVNMLKMQHGGFCT17DA,,201.72,住宅、樓梯間,鋼筋混凝土構造,110年5月7日,三層,一層 二層 三層 陽台 見其他登記事項
RPPNMLKKRHGGFAT88DA,,183.45,住家用,鋼筋混凝土造,110年7月9日,二層,
RPSNMLSJRHGGFBT37DA,27,174.67,住商用,鋼筋混凝土造,83年2月14日,四層,一層 二層 三層 四層 陽台 屋頂突出物 走廊
RPTNMLRJRHGGFAT27DA,25,69.94,住家用,鋼筋混凝土造,86年1月13日,十三層,二層 陽台
RPTNMLRJRHGGFAT27DA,25,24.23,公共設施，防空避難室，機械室兼停車空間，水箱，電梯間,鋼筋混凝土造,86年1月13日,十三層,
RPSOMLTJRHGGFCT67DA,29,131.63,住商用,鋼筋混凝土造,81年10月19日,三層,一層 二層 三層 騎樓
RPUNMLMKPHGGFDT07DA,25,21.07,停車空間　防空避難室,鋼筋混凝土造,85年9月18日,,
RPUNMLMKPHGGFDT07DA,25,10.53,梯間　騎樓,鋼筋混凝土造,85年9月18日,,
RPUNMLMKPHGGFDT07DA,25,82.33,集合住宅,鋼筋混凝土造,85年9月18日,十三層,五層 陽台
RPPOMLNLPHGGFAT56DA,,52.67,見其他登記事項,鋼筋混凝土造,110年6月15日,五層,
RPPOMLNLPHGGFAT56DA,,14.64,見其他登記事項,鋼筋混凝土造,110年6月15日,五層,
RPXNMLSJRHGGFAT87EA,,99.20,住商用,鋼筋混凝土加強磚造,,二層,一層 二層 騎樓
RPUNMLQJRHGGFET67DA,,42.80,集合住宅（Ｈ２）及停車空間,鋼筋混凝土構造,110年7月16日,五層,
RPUNMLQJRHGGFET67DA,,105.53,集合住宅（Ｈ２）,鋼筋混凝土構造,110年7月16日,五層,二層 陽台
RPSNMLQJRHGGFET47DA,,42.33,集合住宅（Ｈ２）及停車空間,鋼筋混凝土構造,110年7月16日,五層,
RPSNMLQJRHGGFET47DA,,104.40,集合住宅（Ｈ２）,鋼筋混凝土構造,110年7月16日,五層,三層 陽台
RPTNMLQJRHGGFET57DA,,43.21,集合住宅（Ｈ２）及停車空間,鋼筋混凝土構造,110年7月16日,五層,
RPTNMLQJRHGGFET57DA,,102.97,集合住宅（Ｈ２）,鋼筋混凝土構造,110年7月16日,五層,二層 陽台
RPRNMLTJRHGGFDT57DA,,169.99,住家用,鋼筋混凝土構造,110年6月16日,三層,一層 二層 三層 陽台 屋頂突出物
RPTNMLTJRHGGFDT77DA,,171.27,住家用,鋼筋混凝土構造,110年6月16日,三層,一層 二層 三層 陽台 屋頂突出物
RPSNMLTJRHGGFDT67DA,,169.99,住家用,剛進混凝土構造,110年6月16日,三層,一層 二層 三層 陽台 屋頂突出物
RPVNMLTJRHGGFDT97DA,,206.88,住家用,鋼筋混凝土構造,110年6月16日,三層,一層 二層 三層 陽台 屋頂突出物
RPUNMLTJRHGGFDT87DA,,201.77,住家用,鋼筋混凝土構造,110年6月16日,三層,一層 二層 三層 陽台 屋頂突出物
RPUNMLKMQHGGFDT17DA,1,99.17,集合住宅,鋼筋混凝土構造,109年11月30日,五層,二層 陽台
RPUNMLKMQHGGFDT17DA,1,56.12,本共有部分之項目有停車空間、梯廳、梯間、管委會使用空間、機房、水箱等６項,鋼筋混凝土構造,109年11月30日,五層,
RPTOMLSJRHGGFDT77DA,25,11.28,停車空間　防空避難室,鋼筋混凝土造,85年9月18日,,
RPTOMLSJRHGGFDT77DA,25,1.65,梯間　騎樓,鋼筋混凝土造,85年9月18日,,
RPTOMLSJRHGGFDT77DA,25,67.31,集合住宅,鋼筋混凝土造,85年9月18日,十三層,一層
RPTOMLTJRHGGFCT77DA,,171.52,門廊、集合住宅,鋼筋混凝土構造,110年3月24日,三層,一層 二層 三層 陽台 見其他登記事項
RPTNMLKKRHGGFCT86DA,,167.76,住宅、樓梯間,鋼筋混凝土構造,110年6月21日,三層,一層 二層 三層 陽台 見其他登記事項
