編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLNKRHGGFAU86CB,仁恥段,30.74,都市：住,100000,5090,持分移轉,03950000
RPPNMLOKRHGGFAU76CB,仁恥段,27.78,都市：住,100000,4599,持分移轉,03950000
RPQNMLNKRHGGFAU76CB,仁恥段,30.74,都市：住,100000,5090,持分移轉,03950000
RPRNMLOKRHGGFAU96CB,仁恥段,23.39,都市：住,100000,3872,持分移轉,03950000
RPQNMLOKRHGGFAU86CB,仁恥段,23.39,都市：住,100000,3872,持分移轉,03950000
RPSNMLOKRHGGFAU07CB,仁恥段,27.78,都市：住,100000,4599,持分移轉,03950000
RPUNMLOKRHGGFAU27CB,仁恥段,23.39,都市：住,100000,3872,持分移轉,03950000
RPSNMLNKRHGGFAU96CB,仁恥段,30.74,都市：住,100000,5090,持分移轉,03950000
RPPNMLQKRHGGFAU96CB,仁廉段,2.67,都市：住,100000,2756,持分移轉,04300000
RPQNMLPKRHGGFAU96CB,福興段,90.32,都市：住,100000,12372,持分移轉,11320002
RPPNMLQKRHGGFAU96CB,仁廉段,1.38,都市：住,100000,2756,持分移轉,04300001
RPPNMLQKRHGGFAU96CB,仁廉段,.41,都市：住,100000,2756,持分移轉,04300002
RPPNMLQKRHGGFAU96CB,仁廉段,24.34,都市：住,100000,2756,持分移轉,04480000
RPUNMLQKRHGGFAU47CB,裕民段,10.65,都市：商,10000,230,持分移轉,05490000
RPVNMLQKRHGGFAU57CB,裕民段,10.65,都市：商,10000,230,持分移轉,05490000
RPTNMLQKRHGGFAU37CB,仁廉段,2.39,都市：住,100000,2468,持分移轉,04300000
RPTNMLQKRHGGFAU37CB,仁廉段,1.23,都市：住,100000,2468,持分移轉,04300001
RPTNMLQKRHGGFAU37CB,仁廉段,.37,都市：住,100000,2468,持分移轉,04300002
RPTNMLQKRHGGFAU37CB,仁廉段,21.79,都市：住,100000,2468,持分移轉,04480000
RPPOMLQKRHGGFAU07CB,仁恥段,30.74,都市：住,100000,5090,持分移轉,03950000
RPQOMLQKRHGGFAU17CB,仁恥段,30.74,都市：住,100000,5090,持分移轉,03950000
RPPNMLQKRHGGFAU07DB,宜寧段,28.74,都市：商,10000,258,持分移轉,04440000
RPSNMLQKRHGGFAU37DB,宜寧段,32.64,都市：商,10000,293,持分移轉,04440000
RPPNMLQKRHGGFAU07DB,宜寧段,1.83,都市：商,10000,258,持分移轉,04450000
RPSNMLQKRHGGFAU37DB,宜寧段,2.08,都市：商,10000,293,持分移轉,04450000
RPRNMLQKRHGGFAU27DB,宜寧段,29.30,都市：商,10000,263,持分移轉,04440000
RPRNMLQKRHGGFAU27DB,宜寧段,1.87,都市：商,10000,263,持分移轉,04450000
RPTNMLQKRHGGFAU47DB,宜寧段,32.64,都市：商,10000,293,持分移轉,04440000
RPTNMLQKRHGGFAU47DB,宜寧段,2.08,都市：商,10000,293,持分移轉,04450000
RPQNMLRKRHGGFAU17CB,德安段,34.06,都市：住,100000,5176,持分移轉,18650000
RPRNMLRKRHGGFAU27CB,裕民段,10.65,都市：商,10000,230,持分移轉,05490000
RPTNMLRKRHGGFAU47CB,德安段,25.88,都市：住,100000,3933,持分移轉,18650000
RPXNMLRKRHGGFAU87CB,莊敬段,30.39,都市：住,204,10,持分移轉,07540000
RPPOMLRKRHGGFAU17CB,莊敬段,30.39,都市：住,204,10,持分移轉,07540000
RPQOMLRKRHGGFAU27CB,莊敬段,30.39,都市：住,204,10,持分移轉,07540000
RPOOMLRKRHGGFAU07CB,莊敬段,30.39,都市：住,204,10,持分移轉,07540000
RPROMLRKRHGGFAU37CB,莊敬段,39.51,都市：住,204,13,持分移轉,07540000
RPSOMLRKRHGGFAU47CB,莊敬段,39.51,都市：住,204,13,持分移轉,07540000
RPTOMLRKRHGGFAU57CB,莊敬段,30.39,都市：住,204,10,持分移轉,07540000
RPVOMLRKRHGGFAU77CB,莊敬段,30.39,都市：住,204,10,持分移轉,07540000
RPUOMLRKRHGGFAU67CB,莊敬段,30.39,都市：住,204,10,持分移轉,07540000
RPPNMLMLRHGGFAU66CB,裕民段,22.10,都市：住,100000,2235,持分移轉,04390000
RPQNMLMLRHGGFAU86DB,四維段,89.16,都市：農,10000,487,持分移轉,02960000
RPWOMLRKRHGGFAU87CB,莊敬段,30.39,都市：住,204,10,持分移轉,07540000
RPXOMLRKRHGGFAU97CB,莊敬段,30.39,都市：住,204,10,持分移轉,07540000
RPVNMLMLRHGGFAU37DB,福興段,60.61,都市：農,100000,21044,持分移轉,00850000
RPVNMLMLRHGGFAU37DB,福興段,60.61,都市：農,100000,21044,持分移轉,00860000
RPSNMLMLRHGGFAU07DB,四維段,86.97,都市：農,10000,475,持分移轉,02960000
RPPNMLNLRHGGFAU76CB,樹人段,5.28,都市：商,10000,290,持分移轉,07000000
