編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLNKRHGGFAU86CB,升降機械,0,12.77,一樓
RPPNMLOKRHGGFAU76CB,升降機械,0,12.77,一樓
RPQNMLNKRHGGFAU76CB,升降機械,0,12.77,一樓
RPRNMLOKRHGGFAU96CB,升降機械,0,12.77,一樓
RPQNMLOKRHGGFAU86CB,升降機械,0,12.77,一樓
RPSNMLOKRHGGFAU07CB,升降機械,0,12.77,一樓
RPUNMLOKRHGGFAU27CB,升降機械,0,12.77,一樓
RPSNMLNKRHGGFAU96CB,升降機械,0,12.77,一樓
RPPOMLQKRHGGFAU07CB,升降機械,0,12.77,一樓
RPQOMLQKRHGGFAU17CB,升降機械,0,12.77,一樓
RPPNMLQKRHGGFAU07DB,坡道平面,1500000,29.90,地下一樓
RPSNMLQKRHGGFAU37DB,一樓平面,1500000,29.90,一樓
RPRNMLQKRHGGFAU27DB,坡道平面,1500000,29.90,地下一樓
RPTNMLQKRHGGFAU47DB,一樓平面,1500000,29.90,一樓
RPTNMLRKRHGGFAU47CB,一樓平面,880000,16.50,一樓
RPXNMLRKRHGGFAU87CB,坡道平面,1800000,23.54,地下一樓
RPPOMLRKRHGGFAU17CB,坡道平面,1400000,23.54,地下一樓
RPQOMLRKRHGGFAU27CB,坡道平面,1400000,22.44,地下一樓
RPUOMLRKRHGGFAU67CB,坡道平面,1600000,23.54,地下一樓
RPWOMLRKRHGGFAU87CB,坡道平面,1600000,23.54,地下一樓
RPPOMLNLRHGGFAU86CB,坡道平面,1000000,31.17,地下一樓
RPROMLNLRHGGFAU07CB,坡道平面,1000000,31.17,地下一樓
RPQNMLPLRHGGFAU07CB,坡道平面,1400000,23.54,地下一樓
RPRNMLPLRHGGFAU17CB,坡道平面,1800000,30.79,地下一樓
RPRNMLRLRHGGFAU37CB,一樓平面,1300000,26.44,一樓
RPXNMLQKRHGGFAU77CB,升降機械,0,12.77,一樓
RPTNMLRLRHGGFAU57CB,坡道平面,1200000,26.44,地下一樓
RPUNMLRLRHGGFAU67CB,一樓平面,1000000,13.74,一樓
RPVNMLRLRHGGFAU77CB,一樓平面,1300000,26.44,一樓
RPOOMLRLRHGGFAU17CB,一樓平面,1300000,26.44,一樓
RPWNMLRLRHGGFAU87CB,一樓平面,1300000,26.44,一樓
RPXNMLRLRHGGFAU97CB,坡道平面,1200000,26.44,地下一樓
RPPOMLRLRHGGFAU27CB,一樓平面,1200000,26.44,一樓
RPROMLRLRHGGFAU47CB,坡道平面,1200000,26.44,地下一樓
RPUPMLRLRHGGFAU87CB,坡道平面,1100000,31.17,地下一樓
RPSPMLRLRHGGFAU67CB,一樓平面,1000000,13.74,一樓
RPWPMLRLRHGGFAU08CB,坡道平面,1000000,31.17,地下一樓
RPTQMLRLRHGGFAU87CB,坡道平面,700000,13.75,地下一樓
RPQQMLRLRHGGFAU57CB,坡道平面,1200000,31.17,地下一樓
RPXQMLRLRHGGFAU28CB,一樓平面,700000,13.75,一樓
RPQRMLRLRHGGFAU67CB,坡道平面,800000,13.75,地下一樓
RPUQMLRLRHGGFAU97CB,坡道平面,1000000,31.17,地下一樓
RPTRMLRLRHGGFAU97CB,一樓平面,700000,13.75,一樓
RPSRMLRLRHGGFAU87CB,坡道平面,700000,13.75,地下一樓
RPURMLRLRHGGFAU08CB,坡道平面,700000,13.75,地下一樓
RPOSMLRLRHGGFAU57CB,一樓平面,800000,13.75,一樓
RPQNMLQKRHGGFAU17DB,坡道平面,1500000,29.90,地下一樓
RPSNMLSLRHGGFAU57CB,一樓平面,1000000,17.15,一樓
RPPNMLSLRHGGFAU27CB,坡道平面,1200000,26.44,地下一樓
RPXNMLSLRHGGFAU08CB,一樓平面,600000,16.50,一樓
RPUOMLSLRHGGFAU87CB,一樓平面,1200000,31.50,一樓
RPVOMLSLRHGGFAU97CB,坡道平面,1200000,31.17,地下一樓
RPWOMLSLRHGGFAU08CB,坡道平面,1000000,31.17,地下一樓
RPXOMLSLRHGGFAU18CB,坡道平面,1000000,31.17,地下一樓
RPRPMLSLRHGGFAU67CB,坡道平面,1000000,31.17,地下一樓
RPQPMLSLRHGGFAU57CB,坡道平面,1200000,41.49,地下二樓
RPOOMLTLRHGGFAU37CB,坡道平面,1000000,31.17,地下一樓
RPPOMLTLRHGGFAU47CB,坡道平面,1000000,31.17,地下一樓
RPROMLTLRHGGFAU67CB,坡道平面,1000000,31.17,地下一樓
RPSOMLTLRHGGFAU77CB,一樓平面,1200000,31.50,一樓
RPUOMLTLRHGGFAU97CB,坡道平面,1200000,31.17,地下一樓
RPQOMLTLRHGGFAU57CB,坡道平面,1000000,31.17,地下一樓
RPWOMLTLRHGGFAU18CB,坡道平面,1200000,31.17,地下一樓
RPPPMLTLRHGGFAU57CB,坡道平面,1200000,31.50,地下一樓
RPRPMLTLRHGGFAU77CB,坡道平面,1000000,31.17,地下一樓
RPRNMLKMRHGGFAU76CB,坡道平面,1000000,31.17,地下一樓
RPUNMLKMRHGGFAU07CB,一樓平面,1000000,31.17,一樓
RPSNMLKMRHGGFAU86CB,一樓平面,1000000,31.17,一樓
RPWNMLKMRHGGFAU27CB,坡道機械,800000,5.15,地下一樓
RPQNMLLJIIGGFAU28CB,一樓平面,600000,16.50,一樓
RPTNMLOJIIGGFAU88CB,坡道平面,1200000,26.47,地下一樓
RPRNMLPJIIGGFAU78CB,坡道平面,1200000,26.44,地下一樓
RPOOMLQJIIGGFAU68CB,坡道平面,1300000,26.44,一樓
RPPNMLRJIIGGFAU78CB,坡道平面,1200000,26.44,地下一樓
RPRNMLRJIIGGFAU98CB,坡道平面,1200000,26.44,地下一樓
RPRNMLSJIIGGFAU09CB,坡道平面,1100000,23.58,地下一樓
RPPNMLSJIIGGFAU88CB,一樓平面,900000,13.71,一樓
RPSNMLSJIIGGFAU56CB,坡道平面,900000,22.48,地下二樓
RPPNMLNKIIGGFAU48CB,坡道機械,800000,5.15,地下一樓
RPTNMLOKIIGGFAU09DB,坡道平面,1500000,29.90,地下一樓
RPPNMLOKIIGGFAU58CB,坡道平面,700000,13.75,地下一樓
RPUNMLOKIIGGFAU56DB,升降平面,1000000,29.90,地下二樓
RPSNMLOKIIGGFAU98DB,升降平面,1000000,29.90,地下二樓
RPSNMLSKIIGGFAU66CB,坡道平面,1300000,26.44,一樓
RPWNMLSKIIGGFAU07CB,坡道平面,1200000,26.44,地下一樓
RPQNMLTKIIGGFAU56CB,坡道平面,1000000,23.58,地下二樓
RPSNMLQLIIGGFAU56CB,一樓平面,620000,13.75,一樓
RPQNMLLMIIGGFAU58CB,一樓平面,1550000,11.96,一樓
RPRNMLTLIIGGFAU76CB,坡道機械,800000,5.15,地下一樓
RPPNMLLMIIGGFAU48CB,坡道平面,1400000,25.71,地下一樓
RPSNMLLMIIGGFAU78CB,坡道平面,1300000,25.71,地下一樓
RPTNMLLMIIGGFAU88CB,坡道平面,1500000,25.71,地下一樓
RPVNMLLMIIGGFAU09CB,坡道平面,1500000,25.71,地下一樓
RPUNMLLMIIGGFAU98CB,坡道平面,1400000,25.71,地下一樓
RPOOMLLMIIGGFAU48CB,坡道平面,1800000,11.96,一樓
RPQNMLLJJIGGFAU38CB,其他,800000,33.82,地下一樓
RPUNMLLJJIGGFAU78CB,坡道平面,1550000,11.96,一樓
RPSNMLLJJIGGFAU58CB,坡道平面,1680000,23.54,地下一樓
RPVNMLNJJIGGFAU09CB,其他,0,12.77,一樓
RPWNMLNJJIGGFAU56CB,坡道平面,1200000,41.49,地下二樓
RPQNMLNJJIGGFAU58CB,坡道平面,1300000,21.30,一樓
RPRNMLNJJIGGFAU68CB,坡道平面,1200000,21.30,一樓
RPUNMLNJJIGGFAU98CB,坡道平面,1200000,41.49,地下二樓
RPQNMLOJJIGGFAU68CB,坡道平面,1200000,41.49,地下二樓
RPRNMLPJJIGGFAU88CB,坡道平面,1200000,41.49,地下二樓
RPPNMLPJJIGGFAU68CB,坡道平面,1200000,41.49,地下二樓
RPQNMLPJJIGGFAU78CB,坡道平面,1200000,41.49,地下二樓
RPRNMLSJJIGGFAU56CB,坡道平面,1200000,41.49,地下二樓
RPWNMLSJJIGGFAU07CB,坡道平面,1200000,41.49,地下二樓
RPPNMLKKJIGGFAU28CB,坡道平面,1000000,13.75,一樓
RPOOMLSJJIGGFAU98CB,一樓平面,1300000,21.30,一樓
RPQNMLLKJIGGFAU48CB,坡道平面,1200000,41.49,地下二樓
RPQNMLTJJIGGFAU66DB,一樓平面,1000000,17.16,一樓
RPRNMLLKJIGGFAU58CB,坡道平面,1000000,23.58,地下二樓
RPUNMLMKJIGGFAU98CB,坡道平面,1200000,41.49,地下二樓
RPVNMLMKJIGGFAU09CB,坡道平面,1200000,41.49,地下二樓
RPOOMLMKJIGGFAU48CB,一樓平面,1300000,14.88,一樓
RPRNMLKLIIGGFAU48CB,一樓平面,600000,13.75,一樓
