鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
吉安鄉,房地(土地+建物),花蓮縣吉安鄉華工六路９２巷９７弄１號,147.62,,工業區,丁種建築用地,1100907,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0931021,202.85,5,2,4,有,無,有,26000,128,,0.0,0,,RPQOMLLKRHGGFAU76CC
花蓮市,房地(土地+建物),花蓮縣花蓮市明心街３９號３樓之１,26.3,住,,,1100901,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0861127,91.88,2,1,1,有,無,有,10000,109,,0.0,0,,RPUNMLOKRHGGFAU37CC
花蓮市,建物,花蓮縣花蓮市中央路三段６１３號,0.0,住,,,1100909,土地0建物0車位0,一層,3,套房(1房1廳1衛),住商用,鋼筋混凝土造,0780621,33.0,1,1,1,有,有,有,7000,212,,0.0,0,,RPXNMLOKRHGGFAU67CC
新城鄉,建物,花蓮縣新城鄉民族路７５號,0.0,商,,,1100904,土地0建物0車位0,三層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,1070514,17.83,1,0,1,有,無,有,7500,421,,0.0,0,※3樓後房間含陽台。,RPPOMLPKRHGGFAU07CC
新城鄉,建物,花蓮縣新城鄉民族路７５號,0.0,商,,,1100822,土地0建物0車位0,五層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,1070514,15.36,1,0,1,有,無,有,8200,534,,0.0,0,,RPROMLPKRHGGFAU27CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中原路５６１巷７號四樓,21.5,商,,,1100817,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780624,89.67,2,1,1,有,無,有,11000,123,,0.0,0,,RPTOMLPKRHGGFAU47CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國富十街１３０號,90.0,住,,,1100821,土地1建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,0850130,89.77000000000001,0,0,1,有,有,無,13500,150,,0.0,0,,RPUOMLPKRHGGFAU57CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中美三街７２號三樓之一,25.6,住,,,1100821,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830518,128.55,3,2,2,有,有,有,16000,124,,0.0,0,含管理費,RPWOMLPKRHGGFAU77CC
花蓮市,房地(土地+建物),花蓮縣花蓮市裕祥路１０號,28.0,其他,,,1100914,土地1建物1車位0,全,4,透天厝,倉庫,鋼筋混凝土造,0870327,64.11,0,0,0,無,無,有,7500,117,,0.0,0,,RPPNMLRKRHGGFAU17CC
新城鄉,建物,花蓮縣新城鄉民族路７３號,0.0,商,,,1100923,土地0建物0車位0,三層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,1070514,27.14,1,0,1,有,無,有,7500,276,,0.0,0,,RPUQMLNLRHGGFAU67CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛二街３２號,19.07,住,,,1100907,土地1建物1車位0,見其他登記事項,6,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0781104,89.10000000000001,2,2,2,有,無,無,26000,292,,0.0,0,,RPTNMLOLRHGGFAU37CC
花蓮市,房地(土地+建物),花蓮縣花蓮市商校街９４號３樓,74.25,住,,,1100923,土地1建物1車位0,見其他登記事項,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790331,140.47,3,2,2,有,無,有,13500,96,,0.0,0,,RPRNMLRLRHGGFAU47CC
花蓮市,建物,花蓮縣花蓮市富吉路２號,0.0,商,,,1100924,土地0建物0車位0,二層,4,套房(1房1廳1衛),住商用,鋼筋混凝土造,0750827,16.52,1,1,1,有,無,有,5500,333,,0.0,0,,RPUNMLRLRHGGFAU77CC
花蓮市,建物,花蓮縣花蓮市富吉路２號,0.0,商,,,1100924,土地0建物0車位0,二層,4,套房(1房1廳1衛),住商用,鋼筋混凝土造,0750827,16.52,1,1,1,有,無,有,6000,363,,0.0,0,,RPVNMLRLRHGGFAU87CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉北安街１８５之５號,76.0,農,,,1100924,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,1090207,137.2,4,2,4,有,無,有,19000,138,,0.0,0,,RPSOMLRLRHGGFAU67CC
花蓮市,建物,花蓮縣花蓮市南京街３０２號,0.0,商,,,1100925,土地0建物0車位0,四層,4,套房(1房1廳1衛),住商用,鋼筋混凝土造,0741108,19.83,1,1,1,有,無,有,6000,303,,0.0,0,,RPRNMLTLRHGGFAU67CC
新城鄉,建物,花蓮縣新城鄉民族路８９號,0.0,商,,,1100921,土地0建物0車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,1060731,34.15,1,0,1,有,無,有,9500,278,,0.0,0,,RPRNMLLJIIGGFAU48CC
