編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQOMLLKRHGGFAU76CC,光華段二小段,147.62,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00690004
RPROMLPKRHGGFAU27CC,嘉南段,.00,都市：商,,,,03910014
RPROMLPKRHGGFAU27CC,嘉南段,.00,都市：商,,,,03910018
RPUNMLOKRHGGFAU37CC,林森段,26.30,都市：住,,,,02040004
RPTOMLPKRHGGFAU47CC,德安段,21.50,都市：商,,,,09710000
RPPOMLPKRHGGFAU07CC,嘉南段,.00,都市：商,,,,03910014
RPPOMLPKRHGGFAU07CC,嘉南段,.00,都市：商,,,,03910018
RPUOMLPKRHGGFAU57CC,莊敬段,90.00,都市：住,,,,00890000
RPWOMLPKRHGGFAU77CC,民德段,25.60,都市：住,,,,00440002
RPUQMLNLRHGGFAU67CC,嘉南段,.00,都市：商,,,,03910019
RPTNMLOLRHGGFAU37CC,富國段,19.07,都市：住,,,,01380000
RPVNMLRLRHGGFAU87CC,裕民段,.00,都市：商,,,,04990000
RPVNMLRLRHGGFAU87CC,裕民段,.00,都市：商,,,,04990001
RPSOMLRLRHGGFAU67CC,慶豐段,76.00,都市：農,,,,06990005
RPRNMLRLRHGGFAU47CC,國光段,74.25,都市：住,,,,00290003
RPUNMLRLRHGGFAU77CC,裕民段,.00,都市：商,,,,04990000
RPUNMLRLRHGGFAU77CC,裕民段,.00,都市：商,,,,04990001
RPPNMLRKRHGGFAU17CC,裕民段,28.00,都市：其他:倉儲區,,,,00240015
RPRNMLLJIIGGFAU48CC,嘉南段,.00,都市：商,,,,03910002
RPTPMLOJIIGGFAU56CC,太昌段,85.25,都市：住,,,,20340001
RPVPMLOJIIGGFAU76CC,莊敬段,86.00,都市：住,,,,01130000
RPRNMLQJIIGGFAU98CC,德安段,6.02,都市：住,,,,20210000
RPQOMLPJIIGGFAU88CC,嘉南段,.00,都市：商,,,,03910022
RPUOMLRJIIGGFAU86CC,樹人段,120.00,都市：商,,,,06580015
RPRNMLPJIIGGFAU98DC,林森段,67.00,都市：住,,,,31290000
RPXNMLOKRHGGFAU67CC,功學段,.00,都市：住,,,,03600000
RPTNMLSJIIGGFAU76CC,北濱段,17.20,都市：商,,,,10000000
RPTNMLSJIIGGFAU76CC,北濱段,.40,都市：商,,,,10000001
RPUNMLSJIIGGFAU86CC,莊敬段,16.53,都市：住,,,,04890006
RPXOMLSJIIGGFAU27CC,北濱段,6.79,都市：住,,,,13550000
RPWOMLSJIIGGFAU17CC,宜安段,24.03,都市：住,,,,00470000
RPQNMLOKIIGGFAU78CC,明義段,96.00,都市：商,,,,04960000
RPVPMLSKIIGGFAU37DC,富國段,155.00,都市：住,,,,01620001
RPOOMLQLIIGGFAU98CC,富國段,12.13,都市：商,,,,01140000
RPSNMLOKIIGGFAU98CC,德安段,13.73,都市：住,,,,19020000
RPXOMLOKIIGGFAU96CC,康樂段,54.18,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,02870000
RPOPMLRLIIGGFAU56CC,嘉南段,.00,都市：商,,,,03910006
RPROMLRLIIGGFAU76CC,莊敬段,16.56,都市：住,,,,02580000
RPUPMLPLIIGGFAU96CC,嘉北段,.00,都市：住,,,,11090000
RPPPMLSLIIGGFAU86DC,宜寧段,88.00,都市：住,,,,01570000
RPPPMLRLIIGGFAU66CC,克來寶段,517.65,都市：住,,,,01860000
RPPPMLRLIIGGFAU66CC,克來寶段,140.73,都市：住,,,,01870000
RPSPMLRLIIGGFAU96CC,慈濟段,380.31,都市：農,,,,02950000
RPXOMLSLIIGGFAU57DC,富國段,14.69,都市：商,,,,02250000
RPRPMLTLIIGGFAU07CC,莊敬段,14.07,都市：住,,,,01310000
RPUOMLSJJIGGFAU07CC,民心段,165.29,都市：工,,,,00640000
RPSNMLTLIIGGFAU96CC,林森段,19.64,都市：住,,,,01610000
RPWNMLMJJIGGFAU56CC,光華段二小段,96.57,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00800007
