編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLLJIIGGFAX68DB,升降機械,600000,12.38,地下一樓
RPPNMLLJIIGGFAX58DB,升降機械,500000,12.38,地下一樓
RPQNMLRLIIGGFAX86DB,升降機械,580000,12.38,地下二樓
RPQNMLNJJIGGFAX98DB,升降機械,600000,12.38,地下二樓
RPRNMLNJJIGGFAX09DB,升降機械,500000,12.38,地下二樓
RPRNMLLKJIGGFAX98DB,升降機械,600000,12.38,地下二樓
RPQNMLPKJIGGFAX66DB,升降機械,600000,12.38,地下二樓
RPUNMLPKJIGGFAX07DB,升降機械,600000,12.38,地下二樓
RPXNMLPKJIGGFAX37DB,升降機械,650000,12.38,地下二樓
RPWNMLPKJIGGFAX27DB,升降機械,600000,12.38,地下二樓
RPSNMLPKJIGGFAX86DB,升降機械,700000,12.38,地下二樓
RPSNMLQKJIGGFAX96DB,升降機械,650000,12.38,地下二樓
