編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLLKRHGGFAZ96DA,芹壁段,4.22,非都市： ; 非都市編定：,1,1,全筆移轉,00190020
RPPNMLLKRHGGFAZ96DA,芹壁段,143.94,非都市： ; 非都市編定：,1,1,全筆移轉,00190021
RPPNMLLLIIGGFAZ88DA,清水段,28.86,非都市： ; 非都市編定：,1,1,全筆移轉,07880000
RPQNMLTJJIGGFAZ07DA,東引西段,14.06,非都市： ; 非都市編定：,2,1,持分移轉,06090000
RPQNMLTJJIGGFAZ07DA,東引西段,.15,非都市： ; 非都市編定：,1,1,全筆移轉,06100000
RPQNMLTJJIGGFAZ07DA,東引西段,29.84,非都市： ; 非都市編定：,1,1,全筆移轉,06100001
RPPNMLNKRHGGFAZ17DA,津沙段,139.48,非都市： ; 非都市編定：,1,1,全筆移轉,03550000
RPPNMLTLIIGGFAZ07DA,?里段,30.46,非都市： ; 非都市編定：,1,1,全筆移轉,01570001
RPPNMLNJJIGGFAZ98DA,橋仔段,51.91,非都市： ; 非都市編定：,1,1,全筆移轉,04010001
RPQNMLNJJIGGFAZ09DA,津沙段,20.94,非都市： ; 非都市編定：,1,1,全筆移轉,03530000
RPRNMLLKRHGGFAZ17DA,芹壁段,17.96,非都市： ; 非都市編定：,1,1,全筆移轉,00190019
RPRNMLLKRHGGFAZ17DA,芹壁段,46.78,非都市： ; 非都市編定：,1,1,全筆移轉,00270002
RPRNMLLKRHGGFAZ17DA,芹壁段,125.81,非都市： ; 非都市編定：,1,1,全筆移轉,00280003
RPRNMLLKRHGGFAZ17DA,芹壁段,780.67,非都市： ; 非都市編定：,1,1,全筆移轉,00330000
RPRNMLLKRHGGFAZ17DA,芹壁段,68.06,非都市： ; 非都市編定：,1,1,全筆移轉,00360000
RPPNMLRLIIGGFAZ86DA,介壽段,372.18,非都市： ; 非都市編定：,1,1,全筆移轉,11810003
RPPNMLRLIIGGFAZ86DA,介壽段,167.94,非都市： ; 非都市編定：,1,1,全筆移轉,11810004
