編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWOMLNLJIGGFAA47DA,升降機械,1500000,22.87,地下一樓
RPUNMLKKJIGGFAA76DA,坡道平面,0,34.17,地下二樓
RPUNMLKKJIGGFAA76DA,坡道平面,0,34.17,地下二樓
RPSNMLTLJIGGFAA57DA,坡道機械,0,13.57,地下一樓
RPOQMLSJKIGGFAA27DA,坡道平面,0,25.30,地下一樓
RPQOMLTJKIGGFAA37DA,坡道平面,0,,地下一樓
RPXNMLTJKIGGFAA97DA,塔式車位,2000000,27.48,
RPTNMLKKKIGGFAA76DA,塔式車位,1250000,21.88,
RPTOMLTKJIGGFBA77DA,坡道平面,2300000,32.90,地下三樓
RPUPMLTJKIGGFBA97DA,塔式車位,2600000,,
SPSOMLRLRHGGFCA48DA,坡道平面,3000000,27.54,地下四樓
SPSOMLRLRHGGFCA48DA,坡道平面,3000000,27.54,地下四樓
SPSOMLRLRHGGFCA48DA,坡道平面,3000000,27.54,地下四樓
SPSOMLRLRHGGFCA48DA,坡道平面,2800000,27.54,地下五樓含以下
SPSOMLRLRHGGFCA48DA,坡道平面,2800000,27.54,地下五樓含以下
RPTNMLKKKIGGFBA86DA,坡道平面,0,,地下一樓
RPUTMLKMJIGGFCA77DA,坡道平面,0,30.45,地下一樓
RPVQMLKMJIGGFCA57DA,坡道平面,2750000,,地下三樓
RPVQMLKMJIGGFCA57DA,坡道平面,2750000,,地下三樓
RPXOMLSJKIGGFCA18DA,坡道平面,0,,地下一樓
RPUOMLTJKIGGFCA97DA,坡道平面,0,48.75,地下三樓
RPPQMLKKKIGGFCA86DA,坡道平面,2500000,34.01,地下二樓
RPWNMLRLIIGGFDA97DA,坡道平面,5000000,52.09,地下二樓
RPWNMLRLIIGGFDA97DA,坡道平面,5000000,52.09,地下二樓
RPWNMLRLIIGGFDA97DA,坡道平面,5000000,52.09,地下二樓
RPWNMLTLJIGGFDA28DA,坡道機械,0,25.30,地下一樓
RPQNMLLJKIGGFDA76DA,坡道平面,0,,地下二樓
RPWPMLMJKIGGFDA67DA,坡道平面,2450000,,地下一樓
RPQRMLTLJIGGFDA08DA,坡道平面,2600000,32.78,地下四樓
RPUTMLNJKIGGFDA97DA,坡道平面,0,,地下五樓含以下
RPUOMLQKJIGGFEA87DA,坡道平面,2600000,40.49,地下二樓
RPPPMLSKJIGGFEA67DA,坡道平面,0,25.72,地下二樓
RPVNMLKMJIGGFEA47DA,升降平面,0,34.12,地下一樓
RPSOMLKMJIGGFEA27DA,坡道平面,2500000,43.67,地下二樓
RPSPMLMJKIGGFEA37DA,坡道平面,0,,地下一樓
RPSPMLMJKIGGFEA37DA,坡道平面,0,,地下一樓
RPOOMLSJKIGGFEA47DA,升降機械,0,,地下一樓
RPUPMLSJKIGGFFA28DA,一樓平面,2500000,,一樓
RPOOMLKMJIGGFAA56EA,一樓平面,1750000,,一樓
RPTNMLTJKIGGFFA08DA,塔式車位,2920000,,
RPPOMLKKJIGGFAA09EA,升降機械,1500000,11.14,地下一樓
RPSRMLKMJIGGFCA47EA,塔式車位,2000000,17.88,
RPTRMLKMJIGGFCA57EA,坡道平面,0,,無固定樓層
RPTPMLTJKIGGFCA08EA,坡道機械,2100000,8.30,地下四樓
RPUPMLTJKIGGFCA18EA,坡道平面,3800000,26.49,地下二樓
RPQPMLTLJIGGFDA97EA,坡道平面,3250000,34.93,地下三樓
RPPQMLTJKIGGFCA77EA,坡道平面,0,44.79,地下二樓
RPOQMLSJKIGGFDA67EA,升降機械,0,18.00,無固定樓層
RPSNMLTJKIGGFDA87EA,坡道平面,0,,地下二樓
RPRNMLTJKIGGFDA77EA,坡道平面,2560000,,地下一樓
RPTOMLSJKIGGFFA18EA,其他,2500000,16.46,地下二樓
RPPOMLTJKIGGFFA87EA,坡道平面,0,30.78,地下一樓
RPTNMLKKKIGGFFA37EA,塔式車位,2000000,24.63,
RPROMLSJJIGGFFA87EA,塔式車位,2000000,2.49,
RPWPMLKKKIGGFCA57EA,塔式車位,1950000,,
RPSQMLRJKIGGFCA87EA,坡道機械,1700000,,地下一樓
RPUNMLNKKIGGFCA47EA,坡道平面,0,43.81,地下一樓
RPVRMLKMJIGGFCA77EA,坡道平面,2600000,,地下五樓含以下
RPWOMLTJKIGGFBA18EA,坡道平面,0,,地下四樓
RPXOMLTJKIGGFBA28EA,坡道平面,2500000,32.11,地下二樓
RPPNMLKKKIGGFAA09EA,升降機械,0,,地下二樓
RPQOMLKKJIGGFAA56EA,坡道平面,0,36.28,地下三樓
RPQOMLKKJIGGFAA56EA,坡道平面,0,36.28,地下三樓
RPQOMLKKJIGGFAA56EA,坡道平面,0,36.28,地下三樓
