編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLLKKIGGFEA17CC,三玉段三小段,.00,都市：住,,,,03090000
RPUNMLNKKIGGFEA67CC,光華段一小段,.00,都市：商,,,,05090000
RPPNMLLKKIGGFCA76CC,長春段二小段,.00,都市：商,,,,00270000
RPPNMLLKKIGGFEA96CC,振興段三小段,.00,都市：商,,,,05920000
RPQNMLLKKIGGFDA96CC,信義段三小段,.00,都市：其他:信義計劃特定專用區,,,,00360001
RPPNMLLKKIGGFDA86CC,敦化段一小段,.00,都市：住,,,,00230000
RPXOMLNKKIGGFBA77CC,迪化段二小段,.00,都市：商,,,,03380000
RPTNMLNKKIGGFBA27CC,福星段四小段,.00,都市：商,,,,02460000
RPTNMLNKKIGGFBA27CC,福星段四小段,.00,都市：商,,,,02470000
RPTNMLNKKIGGFFA67CC,懷生段二小段,30.88,都市：住,,,,00460000
RPVOMLNKKIGGFDA77CC,西松段一小段,.00,都市：商,,,,06270000
RPXNMLNKKIGGFFA08CC,瑞安段二小段,.00,都市：住,,,,02680000
RPOPMLNKKIGGFDA17CC,寶清段七小段,6.34,都市：商,,,,07170000
RPPPMLNKKIGGFDA27CC,三興段一小段,339.34,都市：商,,,,10000000
RPPOMLNKKIGGFCA07CC,康寧段二小段,.00,都市：住,,,,03230000
RPUOMLOKKIGGFCA67CC,吉林段四小段,.00,都市：商,,,,06710000
RPUOMLNKKIGGFCA57CC,正義段三小段,.00,都市：商,,,,07340000
RPTPMLNKKIGGFCA57CC,中山段二小段,.00,都市：商,,,,00510000
RPUPMLOKKIGGFCA77CC,榮星段二小段,.00,都市：商,,,,06490000
RPPRMLOKKIGGFCA47CC,榮星段三小段,53.25,都市：住,,,,02270000
RPVPMLOKKIGGFCA87CC,長安段二小段,.00,都市：商,,,,02830000
RPVOMLOKKIGGFCA77CC,長春段三小段,.00,都市：住,,,,03400000
RPVOMLOKKIGGFDA87CC,民生段,.00,都市：商,,,,00440000
RPRPMLOKKIGGFDA57CC,雅祥段三小段,.00,都市：住,,,,04090000
RPWNMLOKKIGGFFA08CC,仁愛段五小段,.00,都市：住,,,,03000000
RPROMLOKKIGGFFA67CC,復興段一小段,.00,都市：商,,,,06060000
RPTOMLOKKIGGFFA87CC,學府段四小段,.00,都市：商,,,,00040000
RPTPMLOKKIGGFFA97CC,復興段三小段,.00,都市：其他:敦化南北路特定專用區,,,,00020000
RPOOMLOKKIGGFBA96CC,市府段二小段,.00,都市：商,,,,06770000
