編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWPMLSJKIGGFCB38EA,一樓平面,0,,一樓
RPWTMLSJKIGGFBB68EA,坡道機械,0,,地下一樓
RPTNMLTKIIGGFJB48DA,坡道平面,1300000,31.08,地下三樓
RPQNMLTLJIGGFJB38DA,坡道平面,0,24.75,地下一樓
RPXQMLLJJIGGFFB97DA,坡道平面,1050000,27.73,地下二樓
RPWQMLLJJIGGFFB87DA,坡道平面,1200000,27.73,地下二樓
RPORMLLJJIGGFFB17DA,坡道平面,1100000,27.73,地下二樓
RPQRMLLJJIGGFFB37DA,坡道平面,1300000,27.73,地下一樓
RPVQMLLJJIGGFFB77DA,坡道平面,1100000,27.73,地下二樓
RPPRMLLJJIGGFFB27DA,坡道平面,1100000,27.73,地下二樓
RPSRMLLJJIGGFFB57DA,坡道平面,1050000,27.73,地下二樓
RPTRMLLJJIGGFFB67DA,坡道平面,1050000,27.73,地下二樓
RPWRMLLJJIGGFFB97DA,坡道平面,1050000,27.73,地下二樓
RPXRMLLJJIGGFFB08DA,坡道機械,700000,13.87,地下二樓
RPVNMLMJJIGGFFB57DA,坡道平面,1200000,27.73,地下二樓
RPROMLMJJIGGFFB27DA,坡道平面,1100000,27.73,地下二樓
RPWPMLMJJIGGFFB87DA,坡道平面,1200000,27.73,地下一樓
RPQQMLMJJIGGFFB37DA,坡道機械,700000,13.87,地下二樓
RPXPMLMJJIGGFFB97DA,坡道平面,1200000,27.73,地下一樓
RPRQMLMJJIGGFFB47DA,坡道平面,1100000,27.73,地下二樓
RPVPMLMJJIGGFFB77DA,坡道機械,700000,13.87,地下二樓
RPXQMLMJJIGGFFB08DA,坡道平面,1050000,27.73,地下二樓
RPVQMLMJJIGGFFB87DA,坡道平面,1100000,27.73,地下二樓
RPORMLMJJIGGFFB27DA,坡道平面,1050000,27.73,地下二樓
RPTTMLMJJIGGFFB97DA,坡道機械,800000,13.87,地下二樓
RPUTMLMJJIGGFFB08DA,坡道平面,1200000,27.73,地下一樓
RPQRMLMJJIGGFFB47DA,坡道平面,1100000,27.73,地下二樓
RPWTMLMJJIGGFFB28DA,坡道機械,900000,13.78,地下二樓
RPQSMLMJJIGGFFB57DA,坡道平面,1000000,27.73,地下二樓
RPUOMLMLJIGGFFB77DA,坡道平面,0,27.74,地下四樓
RPRPMLSKJIGGFFB08DA,坡道平面,0,32.26,地下二樓
RPUPMLTLJIGGFFB58DA,坡道平面,1050000,27.73,地下二樓
RPWPMLSKJIGGFFB58DA,坡道平面,0,34.35,地下二樓
RPRNMLRKJIGGFFB77DA,坡道平面,0,31.69,地下一樓
SPUPMLTLJIGGFFB68DA,坡道平面,1050000,27.73,地下二樓
RPWNMLKMJIGGFFB77DA,坡道平面,1200000,27.73,地下一樓
RPPQMLLJKIGGFFB27DA,坡道機械,750000,14.89,地下一樓
RPQNMLOKJIGGFHB57DA,坡道平面,0,,地下三樓
RPTOMLPKJIGGFIB18DA,坡道平面,0,36.04,地下二樓
RPUOMLPKJIGGFIB28DA,坡道平面,0,36.04,地下三樓
RPXOMLTLJIGGFIB09DA,坡道平面,0,,地下一樓
RPUNMLRKJIGGFIB38DA,坡道平面,0,27.91,地下二樓
RPOSMLRJKIGGFIB28DA,坡道平面,1400000,31.04,地下二樓
RPRNMLOJKIGGFIB77DA,坡道平面,0,35.84,地下一樓
RPQTMLTLJIGGFCB28DA,坡道機械,0,,地下一樓
RPQTMLTLJIGGFCB28DA,坡道機械,0,,地下一樓
RPWNMLKMJIGGFCB47DA,坡道平面,0,,地下一樓
RPWNMLKMJIGGFCB47DA,坡道平面,0,,地下二樓
RPQNMLKMJIGGFCB86DA,坡道平面,2000000,24.89,地下四樓
RPPPMLPLJIGGFCB37DA,坡道平面,0,,地下二樓
RPSRMLLJKIGGFCB37DA,坡道平面,0,33.46,地下二樓
RPTTMLMJKIGGFCB77DA,坡道平面,0,,地下一樓
RPTTMLMJKIGGFCB77DA,坡道平面,0,,地下一樓
RPTTMLMJKIGGFCB77DA,坡道平面,0,,地下一樓
RPPOMLLJKIGGFCB76DA,坡道機械,0,6.94,地下五樓含以下
RPPOMLLJKIGGFCB76DA,坡道平面,0,15.11,地下四樓
