鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
北屯區,房地(土地+建物)+車位,臺中市北屯區熱河路二段,26.1,住,,,1101120,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.86,3,2,2,有,無,16550000,117989,坡道平面,29.73,1550000,,RPPNMLLKKIGGFBB66CB,惠國熱河泉,4B棟0號
北屯區,房地(土地+建物)+車位,臺中市北屯區熱河路二段,25.28,住,,,1101120,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.41,3,2,2,有,無,16680000,124144,坡道平面,29.73,1450000,,RPQNMLLKKIGGFBB76CB,惠國熱河泉,9D棟0號
北屯區,房地(土地+建物)+車位,臺中市北屯區熱河路二段,26.1,住,,,1101120,土地1建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.86,3,2,2,有,無,17600000,126249,坡道平面,29.73,1550000,,RPRNMLLKKIGGFBB86CB,惠國熱河泉,11B棟0號
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩三街,22.53,商,,,1101112,土地1建物1車位3,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,351.74,4,2,3,有,無,39580000,128266,坡道平面,92.28,6300000,,RPPNMLLKKIGGFCB76CB,勝美敦美,A1棟10F號
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩三街,13.63,商,,,1101129,土地1建物1車位1,二十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,178.04,3,2,2,有,無,23360000,143672,坡道平面,30.76,2200000,,RPQNMLLKKIGGFCB86CB,勝美敦美,C5棟24F號
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩三街,13.63,商,,,1101205,土地1建物1車位1,十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,178.04,3,2,2,有,無,21350000,130703,坡道平面,30.76,2100000,,RPRNMLLKKIGGFCB96CB,勝美敦美,C5棟13F號
南屯區,房地(土地+建物)+車位,臺中市南屯區春安路,10.66,住,,,1080518,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.02,2,2,1,有,無,6680000,66589,坡道平面,34.72,1000000,,RPSNMLLKKIGGFCB07CB,菁科城,A棟7號
西屯區,房地(土地+建物)+車位,臺中市西屯區市政路,17.32,商,,,1101112,土地1建物1車位2,十七層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,213.11,2,2,2,有,無,36510000,207293,坡道平面,56.52,4050000,,RPTNMLLKKIGGFCB17CB,聯聚方瑞大廈,17F號
東區,房地(土地+建物)+車位,臺中市東區東勢子段地11號,31.61,住,,,1101203,土地1建物1車位2,十四層,15,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,212.59,4,2,2,有,無,17080000,96764,坡道平面,59.33,2250000,,RPPNMLLKKIGGFAB56CB,勝美新東區,A3棟14號
