編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXOMLQLJIGGFDC38DA,武嶺段,17.13,都市：其他:住宅區(住三),10000,91,持分移轉,07720000
RPXPMLTJJIGGFDC58DA,福祿段,26.22,都市：其他:住宅區,10000,56,持分移轉,04990002
RPOOMLLJKIGGFDC86DA,長安段,38.02,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,02460000
RPTOMLKKJIGGFDC27DA,忠義段五小段,12.97,都市：其他:住宅區,500,47,持分移轉,00200011
RPTOMLKKJIGGFDC27DA,忠義段五小段,12.10,都市：其他:住宅區,500,48,持分移轉,00200012
RPTOMLKKJIGGFDC27DA,忠義段五小段,.47,都市：其他:道路用地,500,47,持分移轉,00200031
RPTOMLKKJIGGFDC27DA,忠義段五小段,.10,都市：其他:道路用地,500,48,持分移轉,00200032
RPTOMLKKJIGGFDC27DA,忠義段五小段,.09,都市：其他:道路用地,500,47,持分移轉,00200050
RPTOMLKKJIGGFDC27DA,忠義段五小段,.38,都市：其他:道路用地,500,48,持分移轉,00200051
RPTOMLKKJIGGFDC27DA,忠義段五小段,.48,都市：其他:道路用地,500,48,持分移轉,00200052
RPTOMLKKJIGGFDC27DA,忠義段五小段,.09,都市：其他:住宅區,500,47,持分移轉,00200068
RPVOMLPKJIGGFDC97DA,東信段一小段,34.50,都市：其他:住宅區,7032,414,持分移轉,00460029
RPOOMLQLIIGGFDC37DA,代天府段,.97,都市：其他:住宅區(住三),336000,116,持分移轉,05990000
RPOOMLQLIIGGFDC37DA,代天府段,32.70,都市：其他:特別住宅區(特住二),10000,29,持分移轉,06430000
RPTOMLTJJIGGFDC08DA,福祿段,33.64,都市：其他:住宅區,10000,17,持分移轉,05090000
RPTOMLTJJIGGFDC08DA,福祿段,.07,都市：其他:道路用地,10000,17,持分移轉,05090001
RPTOMLTJJIGGFDC08DA,福祿段,.01,都市：其他:兒童遊樂場用地,10000,17,持分移轉,05090002
RPTOMLTJJIGGFDC08DA,福祿段,.01,都市：其他:道路用地,10000,17,持分移轉,05090003
RPTOMLTJJIGGFDC08DA,福祿段,.06,都市：其他:保護區,10000,17,持分移轉,05090004
RPTOMLTJJIGGFDC08DA,福祿段,.01,都市：其他:保護區,10000,17,持分移轉,05090005
RPWOMLNLQHGGFDC58DA,新城段,2.28,都市：其他:道路用地,10000,23,持分移轉,09410000
RPWOMLNLQHGGFDC58DA,新城段,.01,都市：其他:道路用地,10000,23,持分移轉,09610000
RPWOMLNLQHGGFDC58DA,新城段,4.60,都市：其他:住宅區(住二),10000,23,持分移轉,09640000
RPWOMLNLQHGGFDC58DA,新城段,.03,都市：其他:道路用地,10000,23,持分移轉,09640001
RPWOMLNLQHGGFDC58DA,新城段,16.00,都市：其他:住宅區(住二),10000,23,持分移轉,09700000
RPWOMLNLQHGGFDC58DA,新城段,.96,都市：其他:道路用地,10000,23,持分移轉,09700001
RPWOMLNLQHGGFDC58DA,新城段,.09,都市：其他:道路用地,10000,23,持分移轉,09740000
RPPQMLQKJIGGFDC67DA,代天府段,22.40,都市：其他:住宅區(住三),100000,55,持分移轉,08370000
RPPQMLQKJIGGFDC67DA,代天府段,.14,都市：其他:道路用地,100000,55,持分移轉,08370001
RPTPMLMKJIGGFDC57DA,成功段,22.29,都市：其他:商業區,10000,169,持分移轉,09790000
RPPQMLQKJIGGFDC67DA,代天府段,.18,都市：其他:住宅區(住三),100000,55,持分移轉,08370002
