編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLLKKIGGFDC07CB,工建段,24.63,都市：住,100000,1002,持分移轉,04880000
RPTNMLLKKIGGFDC37CB,工建段,37.99,都市：住,100000,1546,持分移轉,04880000
RPXNMLLKKIGGFDC77CB,工建段,37.99,都市：住,100000,1546,持分移轉,04880000
RPROMLLKKIGGFDC27CB,工建段,37.99,都市：住,100000,1546,持分移轉,04880000
RPOOMLLKKIGGFDC96CB,工建段,37.99,都市：住,100000,1546,持分移轉,04880000
RPVOMLLKKIGGFDC67CB,工建段,24.63,都市：住,100000,1002,持分移轉,04880000
RPUNMLLKKIGGFDC47CB,工建段,37.99,都市：住,100000,1546,持分移轉,04880000
RPUOMLLKKIGGFDC57CB,工建段,23.40,都市：住,100000,952,持分移轉,04880000
RPXOMLLKKIGGFDC87CB,工建段,23.40,都市：住,100000,952,持分移轉,04880000
RPWOMLLKKIGGFDC77CB,工建段,25.80,都市：住,100000,1050,持分移轉,04880000
RPQPMLLKKIGGFDC27CB,工建段,25.80,都市：住,100000,1050,持分移轉,04880000
RPOPMLLKKIGGFDC07CB,工建段,25.80,都市：住,100000,1050,持分移轉,04880000
RPPPMLLKKIGGFDC17CB,工建段,23.00,都市：住,100000,936,持分移轉,04880000
RPRPMLLKKIGGFDC37CB,工建段,23.40,都市：住,100000,952,持分移轉,04880000
RPTPMLLKKIGGFDC57CB,工建段,23.00,都市：住,100000,936,持分移轉,04880000
RPUPMLLKKIGGFDC67CB,工建段,23.00,都市：住,100000,936,持分移轉,04880000
RPSPMLLKKIGGFDC47CB,工建段,25.04,都市：住,100000,1019,持分移轉,04880000
RPVPMLLKKIGGFDC77CB,工建段,25.80,都市：住,100000,1050,持分移轉,04880000
RPXPMLLKKIGGFDC97CB,工建段,23.00,都市：住,100000,936,持分移轉,04880000
RPWPMLLKKIGGFDC87CB,工建段,24.67,都市：住,100000,1004,持分移轉,04880000
RPPQMLLKKIGGFDC27CB,工建段,37.99,都市：住,100000,1546,持分移轉,04880000
RPQQMLLKKIGGFDC37CB,工建段,23.00,都市：住,100000,936,持分移轉,04880000
RPOQMLLKKIGGFDC17CB,工建段,23.40,都市：住,100000,952,持分移轉,04880000
RPRQMLLKKIGGFDC47CB,工建段,25.80,都市：住,100000,1050,持分移轉,04880000
RPSQMLLKKIGGFDC57CB,工建段,23.00,都市：住,100000,936,持分移轉,04880000
RPTQMLLKKIGGFDC67CB,工建段,37.99,都市：住,100000,1546,持分移轉,04880000
RPUQMLLKKIGGFDC77CB,工建段,23.00,都市：住,100000,936,持分移轉,04880000
RPWQMLLKKIGGFDC97CB,工建段,23.40,都市：住,100000,952,持分移轉,04880000
RPXQMLLKKIGGFDC08CB,工建段,23.40,都市：住,100000,952,持分移轉,04880000
RPVQMLLKKIGGFDC87CB,工建段,25.04,都市：住,100000,1019,持分移轉,04880000
RPORMLLKKIGGFDC27CB,工建段,23.00,都市：住,100000,936,持分移轉,04880000
