編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLLKKIGGFDC07CB,坡道機械,1050000,30.75,地下二樓
RPQNMLLKKIGGFDC07CB,其他,0,3.86,地下一樓
RPTNMLLKKIGGFDC37CB,坡道平面,1300000,30.75,地下二樓
RPTNMLLKKIGGFDC37CB,其他,0,3.86,地下一樓
RPXNMLLKKIGGFDC77CB,坡道平面,1400000,30.75,地下二樓
RPXNMLLKKIGGFDC77CB,其他,0,3.86,地下一樓
RPXNMLLKKIGGFDC77CB,其他,0,3.86,地下一樓
RPROMLLKKIGGFDC27CB,坡道平面,1350000,30.75,地下一樓
RPROMLLKKIGGFDC27CB,其他,0,3.86,地下一樓
RPOOMLLKKIGGFDC96CB,坡道平面,1400000,30.75,地下二樓
RPOOMLLKKIGGFDC96CB,其他,0,3.86,地下一樓
RPOOMLLKKIGGFDC96CB,其他,0,3.86,地下一樓
RPVOMLLKKIGGFDC67CB,坡道機械,1150000,30.75,地下二樓
RPVOMLLKKIGGFDC67CB,其他,0,3.86,地下一樓
RPVOMLLKKIGGFDC67CB,其他,0,3.86,地下一樓
RPUNMLLKKIGGFDC47CB,坡道平面,1250000,30.75,地下二樓
RPUNMLLKKIGGFDC47CB,其他,0,3.86,地下一樓
RPUOMLLKKIGGFDC57CB,坡道機械,1050000,30.75,地下二樓
RPUOMLLKKIGGFDC57CB,其他,0,3.86,地下一樓
RPXOMLLKKIGGFDC87CB,坡道機械,1050000,30.75,地下二樓
RPXOMLLKKIGGFDC87CB,其他,0,3.86,地下二樓
RPWOMLLKKIGGFDC77CB,坡道機械,1050000,30.75,地下二樓
RPWOMLLKKIGGFDC77CB,其他,0,3.86,地下一樓
RPWOMLLKKIGGFDC77CB,其他,0,3.86,地下一樓
RPQPMLLKKIGGFDC27CB,坡道機械,1150000,30.75,地下二樓
RPQPMLLKKIGGFDC27CB,其他,0,3.86,地下一樓
RPPPMLLKKIGGFDC17CB,坡道平面,1250000,30.75,地下二樓
RPOPMLLKKIGGFDC07CB,坡道機械,1050000,30.75,地下二樓
