編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLLKKIGGFDC27CC,代天府段,.00,都市：住,,,,08370000
RPPNMLLKKIGGFDC07CC,南新段,.00,都市：住,,,,03940000
RPVNMLLKKIGGFDC67CC,南新段,.00,都市：住,,,,11440000
RPRNMLLKKIGGFDC27CC,代天府段,.00,都市：其他:道路用地,,,,08370006
RPXNMLLKKIGGFDC87CC,湖海段,.00,都市：住,,,,06080000
RPUNMLLKKIGGFDC57CC,麥金段,.00,都市：住,,,,05350000
RPWNMLLKKIGGFDC77CC,保定段,.00,都市：其他:部份住宅區(住三)部份道路用地,,,,01110002
RPSNMLLKKIGGFDC37CC,源遠段,.00,都市：住,,,,13280010
RPPOMLLKKIGGFDC17CC,深澳段,.00,都市：住,,,,07640000
RPTNMLLKKIGGFDC47CC,工建段,.00,都市：住,,,,05120000
RPQNMLLKKIGGFDC17CC,光明段,.00,都市：住,,,,00730000
RPSOMLLKKIGGFDC47CC,調和段,.00,都市：住,,,,14130000
RPTOMLLKKIGGFDC57CC,南新段,.00,都市：住,,,,04780100
RPQOMLLKKIGGFDC27CC,新城段,.00,都市：住,,,,08380000
RPUOMLLKKIGGFDC67CC,調和段,.00,都市：其他:部份道路用地部份住宅區(住二),,,,14150000
RPXOMLLKKIGGFDC97CC,新會段,.00,都市：住,,,,02700000
RPPPMLLKKIGGFDC27CC,麥金段,.00,都市：住,,,,05250000
RPOPMLLKKIGGFDC17CC,德安段,.00,都市：住,,,,05380000
RPROMLLKKIGGFDC37CC,代天府段,.00,都市：其他:特別住宅區(特住二),,,,06430000
RPQPMLLKKIGGFDC37CC,德安段,.00,都市：住,,,,04740000
RPWOMLLKKIGGFDC87CC,德安段,.00,都市：住,,,,06430000
RPVOMLLKKIGGFDC77CC,安國段,.00,都市：住,,,,00360001
