編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQOMLSLIIGGFAD57DA,星鑽段,13.84,都市：其他:商業區,100000,1272,持分移轉,21860000
RPQOMLSLIIGGFAD57DA,星鑽段,10.02,都市：其他:商業區,100000,1272,持分移轉,21870000
RPPNMLTLJIGGFAD57DA,星鑽段,15.85,都市：其他:商業區,100000,1457,持分移轉,21860000
RPPPMLMLJIGGFAD07DA,新臨安段,157.61,都市：其他:主要計畫道路用地,54,9,持分移轉,00040000
RPPNMLTLJIGGFAD57DA,星鑽段,11.48,都市：其他:商業區,100000,1457,持分移轉,21870000
RPSPMLQKJIGGFAD67DA,公園段,8.19,都市：其他:商業區,10000,28,持分移轉,09390000
RPSPMLQKJIGGFAD67DA,公園段,1.22,都市：其他:商業區,10000,28,持分移轉,09390001
RPSPMLQKJIGGFAD67DA,公園段,.03,都市：其他:主要計畫道路用地,10000,28,持分移轉,09390002
RPSPMLQKJIGGFAD67DA,公園段,.01,都市：其他:細部計畫道路用地,10000,28,持分移轉,09390003
RPOPMLTLJIGGFAD67DA,立人段,1.45,都市：其他:住宅區,10000,2,持分移轉,00530000
RPROMLPJJIGGFAD27DA,金城段,23.89,都市：其他:商業區,20000,810,持分移轉,00460012
RPTPMLMJKIGGFAD37DA,開元段,.02,都市：其他:廣場兼停車場用地,100000,54,持分移轉,03610025
RPTPMLMJKIGGFAD37DA,開元段,5.79,都市：其他:商業區,100000,54,持分移轉,05970000
RPTPMLMJKIGGFAD37DA,開元段,.28,都市：其他:住宅區,100000,54,持分移轉,06180000
RPSOMLRJKIGGFAD67DA,觀音段,5.32,都市：其他:商業區,100000,303,持分移轉,03060000
RPWOMLRJKIGGFAD08DA,自強段,3.75,都市：其他:商業區,34900,392,持分移轉,04540001
RPPQMLRJKIGGFAD57DA,新南段,25.01,都市：其他:住宅區,10000,206,持分移轉,01180000
RPVOMLRJKIGGFAD97DA,開元段,.02,都市：其他:廣場兼停車場用地,200000,102,持分移轉,03610025
RPVOMLRJKIGGFAD97DA,開元段,5.47,都市：其他:商業區,200000,102,持分移轉,05970000
RPVOMLRJKIGGFAD97DA,開元段,.26,都市：其他:住宅區,200000,102,持分移轉,06180000
RPQNMLSJKIGGFAD47DA,仁愛段,17.50,都市：其他:細部計畫道路用地,10000,3812,持分移轉,10630012
RPQNMLSJKIGGFAD47DA,仁愛段,6.30,都市：其他:細部計畫道路用地,1,1,全筆移轉,10630013
RPSNMLSJKIGGFAD67DA,南門段,163.54,都市：其他:住宅區,1,1,全筆移轉,01930000
RPWQMLRJKIGGFAD28DA,金華段,4.44,都市：其他:商業區,10000,26,持分移轉,00640025
RPVQMLTJKIGGFAD38DA,北華段,16.84,都市：其他:商業區,100000,3546,持分移轉,10280000
RPOOMLTJKIGGFAD47DA,金華段,1.80,都市：其他:商業區,10000,43,持分移轉,00020006
RPSRMLTJKIGGFAD18DA,老古石段,2.97,都市：其他:商業區,10000,84,持分移轉,02000000
RPQPMLTJJIGGFBD77DA,安西段,20.56,都市：其他:住宅區,10000,100,持分移轉,19030000
RPOPMLRKJIGGFBD47DA,外塭段,78.00,都市：其他:住宅區,1,1,全筆移轉,08770018
