編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQOMLSLIIGGFAD57DA,坡道平面,1400000,31.99,地下三樓
RPPNMLTLJIGGFAD57DA,坡道平面,0,31.99,地下三樓
RPPNMLTLJIGGFAD57DA,坡道平面,0,31.99,地下三樓
RPOPMLTLJIGGFAD67DA,坡道機械,300000,,地下一樓
RPPQMLRJKIGGFAD57DA,坡道機械,0,,地下一樓
RPVQMLTJKIGGFAD38DA,其他,0,6.66,一樓
RPQPMLTJJIGGFBD77DA,坡道平面,1000000,28.11,地下二樓
RPWQMLTJJIGGFBD48DA,坡道平面,1000000,28.11,地下二樓
RPRPMLTJJIGGFBD87DA,坡道平面,1100000,28.11,地下一樓
RPXOMLKKJIGGFBD57DA,坡道平面,0,,地下一樓
RPXOMLKKJIGGFBD57DA,坡道平面,0,,地下一樓
RPSQMLTJJIGGFBD08DA,坡道平面,1000000,28.11,地下二樓
RPWPMLMJKIGGFCD87DA,坡道平面,2400000,43.98,地下二樓
RPSNMLSJKIGGFCD87DA,坡道平面,0,,地下一樓
RPTNMLSJKIGGFCD97DA,坡道機械,0,,地下三樓
RPXOMLPJKIGGFHD68DA,坡道平面,950000,27.88,地下一樓
RPTOMLPJIIGGFID18DA,一樓平面,920000,13.21,一樓
RPXNMLPJIIGGFID48DA,其他,580000,4.07,一樓
RPOOMLTLIIGGFID28DA,一樓平面,920000,13.21,一樓
RPVNMLRKJIGGFID68DA,坡道平面,0,17.45,地下二樓
RPPOMLTLIIGGFID38DA,一樓平面,920000,13.21,一樓
RPOPMLMJKIGGFID67DA,一樓平面,930000,13.21,一樓
RPXOMLMJKIGGFID48DA,其他,530000,4.07,一樓
RPQNMLOLJIGGFKD18DA,坡道平面,0,34.57,地下四樓
RPWNMLQJJIGGFKD78DA,坡道平面,0,,地下一樓
RPSOMLLJKIGGFKD08DA,坡道機械,0,,地下二樓
RPXNMLTJKIGGFKD66DA,一樓平面,0,,一樓
RPTPMLRJKIGGFKD88DA,坡道平面,0,,地下二樓
RPSOMLKKKIGGFHD77DA,坡道機械,0,,地下一樓
RPPPMLTJKIGGFHD38DA,坡道平面,0,23.03,地下三樓
RPTPMLLJKIGGFHD97DA,一樓平面,1300000,13.74,一樓
RPPOMLTKJIGGFHD28DA,一樓平面,0,19.42,一樓
RPQOMLTJKIGGFCD87DA,坡道平面,0,25.79,地下三樓
RPVNMLKKKIGGFCD47DA,坡道平面,0,,地下五樓含以下
RPUPMLSJKIGGFCD28DA,坡道平面,0,40.92,地下三樓
RPPNMLSJKIGGFCD57DA,升降平面,0,,地下二樓
RPSNMLKKKIGGFAD96DA,坡道平面,450000,,地下一樓
RPSNMLKKKIGGFAD96DA,坡道平面,450000,,地下一樓
RPRRMLTJKIGGFAD08DA,坡道平面,0,,地下一樓
RPPOMLKKKIGGFAD76DA,升降平面,0,,地下一樓
RPWPMLTJKIGGFAD38DA,坡道平面,0,16.61,地下二樓
RPVPMLTJKIGGFAD28DA,坡道平面,0,,地下一樓
RPTPMLSJKIGGFAD97DA,坡道機械,0,,地下四樓
RPTPMLSJKIGGFAD97DA,坡道機械,0,,地下四樓
RPVNMLSJKIGGFAD97DA,坡道平面,0,27.59,地下二樓
RPWNMLLJKIGGFAD37DA,坡道平面,0,,地下二樓
RPPPMLTLJIGGFAD77DA,坡道機械,250000,,地下一樓
RPOPMLMLJIGGFAD96DA,坡道機械,0,,地下四樓
RPVOMLNLJIGGFAD67DA,坡道平面,0,23.57,地下三樓
RPVOMLNLJIGGFAD67DA,坡道平面,0,36.05,地下四樓
RPVOMLNLJIGGFAD67DA,坡道平面,0,36.05,地下四樓
RPWOMLNLJIGGFAD77DA,坡道平面,0,30.37,地下一樓
RPPOMLTLJIGGFAD67DA,坡道平面,0,,地下一樓
RPWOMLKKJIGGFAD37DA,坡道平面,0,,地下二樓
RPRNMLPJKIGGFAD27DA,坡道平面,0,,地下一樓
RPXPMLTJKIGGFAD48DA,坡道平面,0,35.13,地下三樓
RPXPMLTJKIGGFAD48DA,坡道平面,0,35.13,地下三樓
RPQOMLKKKIGGFAD86DA,坡道平面,0,47.03,地下一樓
RPOPMLPJKIGGFHD87DA,坡道平面,950000,27.88,地下一樓
RPQPMLPJKIGGFHD08DA,坡道平面,900000,27.88,地下二樓
RPQPMLPJKIGGFHD08DA,坡道平面,900000,27.88,地下二樓
RPPPMLPJKIGGFHD97DA,坡道平面,900000,27.88,地下二樓
RPSPMLPJKIGGFHD28DA,坡道平面,900000,27.88,地下二樓
RPTPMLPJKIGGFHD38DA,坡道平面,850000,27.88,地下二樓
RPUPMLPJKIGGFHD48DA,坡道平面,900000,27.88,地下二樓
RPWPMLPJKIGGFHD68DA,坡道平面,900000,27.88,地下二樓
RPVPMLPJKIGGFHD58DA,坡道平面,900000,27.88,地下一樓
RPOQMLPJKIGGFHD97DA,坡道平面,950000,27.88,地下一樓
RPXPMLPJKIGGFHD78DA,坡道平面,950000,27.88,地下二樓
RPXPMLPJKIGGFHD78DA,坡道平面,950000,27.88,地下一樓
RPQQMLPJKIGGFHD18DA,坡道平面,900000,27.88,地下二樓
RPPQMLPJKIGGFHD08DA,坡道平面,900000,27.88,地下二樓
RPSQMLPJKIGGFHD38DA,坡道平面,950000,27.88,地下一樓
RPTQMLPJKIGGFHD48DA,坡道平面,900000,27.88,地下二樓
RPSPMLNKKIGGFHD18DA,坡道平面,0,33.21,地下一樓
RPUNMLTJKIGGFHD68DA,坡道平面,0,11.11,一樓
RPVOMLTJJIGGFID88DA,坡道平面,1200000,41.97,地下一樓
RPVNMLQJKIGGFID58DA,坡道平面,0,,地下一樓
RPTNMLQLJIGGFKD68DA,坡道機械,0,,地下一樓
RPSNMLRLJIGGFKD68DA,坡道平面,0,,地下一樓
RPUNMLKKKIGGFKD18DA,坡道平面,0,,地下二樓
RPWNMLLKKIGGFKD48DA,坡道平面,1400000,36.71,地下二樓
RPWNMLLKKIGGFKD48DA,坡道平面,1400000,36.71,地下二樓
RPRNMLLKKIGGFKD97DA,坡道平面,1300000,36.71,地下三樓
RPSNMLLKKIGGFKD08DA,坡道平面,1500000,36.71,地下一樓
RPTNMLLKKIGGFKD18DA,坡道平面,1500000,36.71,地下一樓
RPQNMLLKKIGGFKD87DA,坡道平面,1300000,36.71,地下三樓
RPUNMLLKKIGGFKD28DA,坡道平面,1400000,36.71,地下二樓
RPVNMLLKKIGGFKD38DA,坡道平面,1300000,36.71,地下三樓
RPXNMLLKKIGGFKD58DA,坡道平面,1300000,36.71,地下三樓
RPXNMLLKKIGGFKD58DA,坡道平面,1300000,36.71,地下三樓
RPOOMLLKKIGGFKD77DA,坡道平面,1400000,36.71,地下二樓
RPXOMLOKKIGGFAD08EA,坡道機械,0,,地下一樓
RPPQMLNKKIGGFKD28DA,坡道平面,0,,地下一樓
RPOOMLNKKIGGFKD97DA,坡道平面,0,18.65,地下一樓
RPPNMLOKKIGGFKD08DA,坡道機械,0,,地下二樓
RPQOMLMLJIGGFKD08DA,坡道平面,0,26.25,地下三樓
RPXOMLTJKIGGFID56DA,一樓平面,0,19.58,一樓
RPROMLTKJIGGFID58DA,一樓平面,517500,,一樓
RPTOMLTKJIGGFID78DA,一樓平面,517500,,一樓
RPUOMLOJJIGGFID28DA,坡道平面,0,17.45,地下二樓
RPTNMLNLJIGGFID18DA,一樓平面,517500,,一樓
RPSNMLNLJIGGFID08DA,一樓平面,517500,,一樓
RPXNMLNLJIGGFID58DA,一樓平面,517500,,一樓
RPROMLRJKIGGFHD28DA,坡道平面,0,33.21,地下一樓
RPSNMLNKKIGGFHD97DA,一樓平面,1230000,13.74,一樓
RPRNMLMKKIGGFGD67DA,一樓平面,550000,20.06,一樓
RPOPMLNKKIGGFCD27DA,坡道平面,0,,一樓
RPVNMLNKKIGGFCD77DA,升降平面,0,,地下一樓
RPSRMLOKKIGGFCD97DA,坡道平面,0,25.32,地下二樓
RPWOMLKKKIGGFCD67DA,坡道平面,0,,地下二樓
RPXOMLOLJIGGFCD18DA,坡道平面,0,25.79,地下三樓
RPWNMLTLIIGGFCD38DA,坡道平面,0,25.24,地下二樓
RPVPMLNKKIGGFBD87DA,坡道平面,1100000,28.11,地下一樓
RPSNMLKKKIGGFBD07DA,一樓平面,650000,15.10,一樓
RPTNMLKKKIGGFBD17DA,一樓平面,700000,15.10,一樓
RPWNMLNLIIGGFAD57DA,坡道平面,1000000,,地下一樓
RPQPMLNKKIGGFAD27DA,坡道平面,0,24.22,地下二樓
RPTPMLOKKIGGFAD67DA,坡道平面,0,,地下一樓
RPQPMLOKKIGGFAD37DA,坡道平面,0,,地下二樓
RPVNMLMLRHGGFAD18DA,坡道平面,0,,地下二樓
RPQOMLQJKIGGFAD37DA,坡道平面,0,20.91,地下二樓
RPWNMLKKKIGGFAD37DA,坡道機械,0,,地下一樓
RPPNMLOKKIGGFAD07DA,坡道平面,0,,地下一樓
RPTRMLOKKIGGFAD87DA,坡道平面,0,47.44,地下三樓
RPRPMLMJKIGGFAD17DA,坡道平面,1450000,34.19,地下一樓
RPRPMLMJKIGGFAD17DA,坡道平面,1500000,34.19,一樓
RPSPMLLKJIGGFAD17DA,坡道平面,1200000,30.37,地下二樓
RPUNMLOJKIGGFAD47DA,坡道機械,0,13.17,地下一樓
RPVPMLKMJIGGFAD57DA,坡道平面,0,49.18,地下二樓
RPOPMLQJKIGGFAD27DA,坡道機械,1130000,29.39,地下四樓
RPOPMLKKKIGGFBD86DA,坡道平面,0,25.60,地下三樓
RPRPMLNKKIGGFBD47DA,坡道平面,0,25.60,地下一樓
RPOTMLOKKIGGFCD77DA,坡道平面,0,25.33,地下二樓
RPQOMLPKKIGGFCD57DA,坡道平面,0,26.80,地下三樓
RPQOMLPKKIGGFCD57DA,坡道平面,0,26.80,地下三樓
RPOPMLSJKIGGFCD67DA,坡道平面,1300000,33.33,地下一樓
RPSPMLSJKIGGFCD08DA,坡道平面,0,32.07,地下一樓
RPPOMLSJKIGGFDD77DA,坡道平面,0,,地下一樓
RPRPMLPKKIGGFGD18DA,一樓平面,0,21.91,一樓
RPXNMLOKKIGGFGD48DA,坡道機械,0,,一樓
RPOPMLLKJIGGFHD47DA,坡道平面,0,,地下一樓
RPRNMLLKKIGGFHD67DA,坡道平面,0,33.04,地下一樓
RPWNMLMKJIGGFKD48DA,坡道平面,0,25.59,地下一樓
RPROMLPLIIGGFKD38DA,坡道平面,0,,地下一樓
RPRQMLNKKIGGFKD48DA,坡道機械,0,9.85,地下二樓
RPTPMLNKKIGGFKD58DA,坡道平面,0,38.58,地下三樓
RPXOMLTJKIGGFAD48EA,坡道平面,1500000,25.46,地下一樓
RPXOMLTJKIGGFAD48EA,坡道平面,1500000,25.46,地下二樓
RPOPMLQKKIGGFKD38DA,一樓平面,600000,,一樓
RPOOMLOKKIGGFKD08DA,坡道平面,0,34.57,地下四樓
RPSOMLNJKIGGFKD28DA,坡道平面,0,34.57,地下二樓
RPSPMLQKKIGGFKD78DA,一樓平面,1000000,13.75,一樓
RPQPMLQKKIGGFKD58DA,一樓平面,600000,,一樓
RPRPMLQKKIGGFKD68DA,一樓平面,600000,,一樓
RPWNMLOKKIGGFID58DA,坡道平面,0,34.56,地下一樓
RPWNMLOKKIGGFID58DA,坡道平面,0,34.56,地下一樓
