編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLLKKIGGFGD47CB,成功段,99.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05850003
RPQNMLLKKIGGFGD47CB,成功段,17.55,非都市：鄉村區 ; 非都市編定：乙種建築用地,18,1,持分移轉,05850000
RPQNMLLKKIGGFCD07CB,大山段,34.60,都市：住,10000,45,持分移轉,04660000
RPPNMLLKKIGGFDD07CB,代天段,84.46,都市：農,1,1,全筆移轉,00610056
RPPNMLLKKIGGFDD07CB,代天段,30.98,都市：農,63,1,持分移轉,00610079
RPPNMLLKKIGGFDD07CB,代天段,.23,都市：農,45,1,持分移轉,00610076
RPQNMLLKKIGGFID67CB,二仁段,21.19,都市：住,100000,648,持分移轉,07070000
RPQNMLLKKIGGFID67CB,二仁段,.31,都市：住,100000,648,持分移轉,07370003
RPQNMLLKKIGGFID67CB,二仁段,.00,都市：住,100000,648,持分移轉,07370006
RPPNMLLKKIGGFID57CB,二仁段,16.26,都市：住,100000,497,持分移轉,07070000
RPPNMLLKKIGGFID57CB,二仁段,.24,都市：住,100000,497,持分移轉,07370003
RPPNMLLKKIGGFID57CB,二仁段,.00,都市：住,100000,497,持分移轉,07370006
RPRNMLLKKIGGFDD27CB,新營段,56.00,都市：住,1,1,全筆移轉,09090275
RPRNMLLKKIGGFDD27CB,新營段,21.18,都市：住,17,1,持分移轉,09090272
RPRNMLLKKIGGFDD27CB,新營段,.41,都市：住,17,1,持分移轉,09090273
RPPNMLLKKIGGFGD37CB,成功段,98.07,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05850002
RPSNMLLKKIGGFID87CB,二仁段,23.26,都市：住,100000,711,持分移轉,07070000
RPSNMLLKKIGGFID87CB,二仁段,.34,都市：住,100000,711,持分移轉,07370003
