鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
安平區,房地(土地+建物),臺南市安平區永華五街１０號,8.65,商,,,1101210,土地1建物1車位0,四層,29,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1070921,149.14,3,2,2,有,有,有,43236,290,,0.0,0,,RPWNMLNKKIGGFAD77CC
中西區,建物,臺南市中西區康樂街１５６號８樓之２,0.0,商,,,1101120,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0781002,73.64,1,1,1,有,有,有,12500,170,,0.0,0,參加臺南市社會住宅包租代管第3期計畫，租金為市價9折,RPOOMLNKKIGGFAD07CC
北區,建物,臺南市北區南園街１０６巷１２之２號,0.0,住,,,1101120,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660429,71.73,3,2,1,有,無,有,9000,125,,0.0,0,參加臺南市社會住宅包租代管第3期計畫，租金為市價9折,RPROMLNKKIGGFAD37CC
安平區,建物,臺南市安平區建平八街７２號６樓之９,0.0,商,,,1101210,土地0建物1車位0,見其他登記事項,14,辦公商業大樓,一般事務所,鋼筋混凝土造,0880816,123.43,3,2,2,有,有,有,14000,113,,0.0,0,參加臺南市社會住宅包租代管第3期計畫，租金為市價9折,RPSOMLNKKIGGFAD47CC
中西區,建物,臺南市中西區民權路二段６４巷３３號,0.0,商,,,1101128,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0550101,77.03,3,3,1,有,無,無,26000,338,,0.0,0,,RPPPMLNKKIGGFAD27CC
安平區,建物,臺南市安平區健康路三段３３５號十二樓之２,0.0,商,,,1101125,土地0建物1車位2,十二層,20,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1060124,112.92,2,1,1,有,有,有,16000,142,坡道平面,26.54,0,,RPRPMLNKKIGGFAD47CC
安平區,建物,臺南市安平區建平十二街１４８巷１６號四樓之２,0.0,住,,,1101127,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821220,106.9,2,2,1,有,有,有,18000,168,,0.0,0,,RPTPMLNKKIGGFAD67CC
東區,建物,臺南市東區崇善十五街３３巷８號,0.0,住,,,1101201,土地0建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0830415,180.73,6,2,4,有,有,有,20200,112,,0.0,0,參加臺南市社會住宅包租代管第2期計畫，租金為市價9折,RPSNMLNKKIGGFCD57CC
南區,建物,臺南市南區金華路二段２１巷６之３號,0.0,住,,,1101201,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670509,75.67,3,2,2,有,無,有,10800,143,,0.0,0,參加臺南市社會住宅包租代管第3期計畫，租金為市價9折,RPWNMLNKKIGGFCD97CC
東區,建物,臺南市東區崇善五街１８號４樓,0.0,住,,,1101201,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831206,126.01,4,2,2,有,有,有,15000,119,,0.0,0,參加臺南市社會住宅包租代管第3期計畫，租金為市價9折,RPOOMLNKKIGGFCD27CC
南區,建物,臺南市南區國民路１６５巷３６弄５號,0.0,住,,,1101201,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0690423,88.2,3,2,2,有,無,有,8600,98,,0.0,0,參加臺南市社會住宅包租代管第3期計畫，租金為市價8折,RPSOMLNKKIGGFCD67CC
東區,建物,臺南市東區長榮路６３-４號５樓,0.0,住,,,1101209,土地0建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691106,21.0,1,0,1,有,無,有,5500,262,,0.0,0,部分承租，且共有部分無分算面積,RPTOMLNKKIGGFCD77CC
東區,建物,臺南市東區富農街二段１１０號,0.0,住,,,1101126,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0781108,40.0,1,0,1,有,無,有,8000,200,,0.0,0,1.租賃契約書無填寫土地租賃面積2.由所有權人提供租屋資訊3.為透天分租套房，承租人承租其中一間房,RPVOMLNKKIGGFCD97CC
南區,建物,臺南市南區體育路４３巷３３之４號,0.0,住,,,1101128,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700911,102.77,2,2,2,有,無,有,10000,97,,0.0,0,,RPWOMLNKKIGGFCD08CC
安南區,建物,臺南市安南區長溪路三段３８０巷１２５弄２２號,0.0,住,,,1101201,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0840901,137.55,3,2,3,有,無,有,15000,109,,0.0,0,參加臺南市社會住宅包租代管第3期計畫，租金為市價9折,RPVNMLNKKIGGFBD77CC
安南區,建物,臺南市安南區長溪路三段３８０巷１２５弄２２號,0.0,住,,,1101201,土地0建物1車位0,全,3,透天厝,住家、停車空間,鋼筋混凝土造,0820421,146.05,4,2,2,有,無,有,10800,74,,0.0,0,參加臺南市社會住宅包租代管第3期計畫，租金為市價9折,RPXNMLNKKIGGFBD97CC
仁德區,建物,臺南市仁德區文心路７２號十二樓之９,0.0,商,,,1101128,土地0建物1車位0,十二層,24,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1100315,105.52,2,1,1,有,無,有,18000,171,坡道平面,17.45,0,1.租賃契約書無填寫土地租賃面積2.由所有權人提供租屋資訊,RPQOMLNKKIGGFID08CC
永康區,建物,臺南市永康區崑山街１７８巷１３號,0.0,住,,,1101210,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土構造，鋼骨構造,1100420,30.5,1,0,1,有,無,有,12000,393,,0.0,0,,RPROMLNKKIGGFKD38CC
永康區,建物,臺南市永康區崑山街１７８巷１３號,0.0,住,,,1101210,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土構造，鋼骨構造,1100420,29.6,1,0,1,有,無,有,10500,355,,0.0,0,,RPTOMLNKKIGGFKD58CC
永康區,建物,臺南市永康區崑山街１７８巷１３號,0.0,住,,,1101211,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土構造，鋼骨構造,1100420,29.6,1,0,1,有,無,有,11000,372,,0.0,0,,RPUOMLNKKIGGFKD68CC
永康區,建物,臺南市永康區崑山街１７８巷１３號,0.0,住,,,1101210,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土構造，鋼骨構造,1100420,29.9,1,0,1,有,無,有,10000,334,,0.0,0,,RPVOMLNKKIGGFKD78CC
永康區,建物,臺南市永康區崑山街１７８巷１３號,0.0,住,,,1101210,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土構造，鋼骨構造,1100420,26.7,1,0,1,有,無,有,10000,375,,0.0,0,,RPWOMLNKKIGGFKD88CC
永康區,建物,臺南市永康區崑山街１７８巷１３號,0.0,住,,,1101210,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土構造，鋼骨構造,1100420,26.7,1,0,1,有,無,有,10000,375,,0.0,0,,RPXOMLNKKIGGFKD98CC
永康區,建物,臺南市永康區崑山街１７８巷１３號,0.0,住,,,1101210,土地0建物0車位0,全,4,透天厝,住家用,鋼筋混凝土構造，鋼骨構造,1100420,25.1,1,0,1,有,無,有,8500,339,,0.0,0,,RPOPMLNKKIGGFKD18CC
永康區,建物,臺南市永康區仁愛街４６之７號５樓,0.0,住,,,1101201,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820428,103.52,2,2,2,有,有,有,13000,126,,0.0,0,,RPQPMLNKKIGGFKD38CC
永康區,建物,臺南市永康區二王里中山南路４２０號之５,0.0,工,,,1101203,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),一般事務所,鋼筋混凝土造,0960523,690.87,1,0,2,有,無,有,78750,114,,0.0,0,,RPSOMLOKKIGGFKD58CC
仁德區,建物,臺南市仁德區文心路７８號２樓之５,0.0,商,,,1101212,土地0建物1車位0,二層,24,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1100315,82.84,2,1,1,有,有,有,16000,193,,0.0,0,1.租賃契約書無填寫土地租賃面積。2.由所有權人提供租屋資訊。,RPRNMLOKKIGGFID18CC
仁德區,建物,臺南市仁德區文心路７２號十三樓之７,0.0,商,,,1101203,土地0建物1車位1,十三層,24,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1100315,139.1,3,1,2,有,有,有,22000,158,坡道平面,17.45,0,1.租賃契約書無填寫土地租賃面積2.由所有權人提供租屋資訊,RPUOMLOKKIGGFID58CC
安南區,建物,臺南市安南區安和路一段１２３巷１６號,0.0,住,,,1101129,土地0建物1車位0,全,4,透天厝,停車空間、住宅,鋼筋混凝土造,1011227,208.99,4,2,4,有,無,有,35000,167,,0.0,0,,RPVPMLOKKIGGFBD08CC
善化區,房地(土地+建物),臺南市善化區中山路３６３號,79.2,其他,,,1101214,土地1建物1車位0,一層,3,店面(店鋪),住商用,加強磚造,0630722,45.32,0,0,0,無,無,有,30000,662,,0.0,0,租一樓店面 111年1月1日承租起算,RPSOMLOKKIGGFHD28CC
善化區,房地(土地+建物),臺南市善化區陽光大道３５８巷２０號,115.44,其他,,,1101210,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住宅，停車空間,鋼筋混凝土造,1020709,185.71,4,2,4,有,無,有,30000,162,,0.0,0,,RPXOMLOKKIGGFHD78CC
南區,建物,臺南市南區中華南路一段１４號,0.0,住,,,1101116,土地0建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0730514,292.62,6,3,3,有,無,有,25000,85,,0.0,0,,RPWOMLOKKIGGFCD18CC
東區,建物,臺南市東區自由路三段２２９號１０樓之１,0.0,住,,,1101117,土地0建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831024,81.4,3,1,2,有,有,有,15000,184,坡道平面,0.0,0,,RPQPMLOKKIGGFCD67CC
東區,建物,臺南市東區東成街２８巷１０號３樓之２,0.0,住,,,1101118,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770423,82.47,3,1,2,有,無,有,13000,158,,0.0,0,,RPVPMLOKKIGGFCD18CC
東區,建物,臺南市東區中華東路二段１８５巷８號,0.0,住,,,1101121,土地0建物1車位0,見其他登記事項,20,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0841106,94.02,1,2,2,有,有,無,22000,234,,0.0,0,,RPRRMLOKKIGGFCD97CC
