編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRPMLNKKIGGFAD47CC,坡道平面,0,26.54,地下三樓
RPRPMLNKKIGGFAD47CC,其他,0,,地下一樓
RPQOMLNKKIGGFID08CC,坡道平面,0,17.45,地下三樓
RPUOMLOKKIGGFID58CC,坡道平面,0,17.45,地下三樓
RPQPMLOKKIGGFCD67CC,坡道平面,0,,地下二樓
RPVSMLOKKIGGFCD48CC,坡道平面,0,25.24,地下二樓
RPSOMLQKKIGGFAD77CC,坡道平面,0,31.99,地下一樓
RPPPMLQKKIGGFAD57CC,坡道平面,0,33.38,地下二樓
RPXPMLKLKIGGFKD88CC,一樓平面,0,,一樓
RPSPMLLLKIGGFKD48CC,坡道平面,0,22.04,地下三樓
RPSPMLMLKIGGFAD57CC,坡道平面,0,33.38,地下二樓
RPXOMLNLKIGGFAD08CC,升降機械,0,28.37,地下五樓含以下
RPOPMLNLKIGGFKD28CC,一樓平面,0,,一樓
RPWOMLSLKIGGFKD86CC,升降機械,0,13.13,地下二樓
RPWOMLSLKIGGFCD68CC,坡道平面,0,,地下一樓
RPOOMLTLKIGGFAD77CC,坡道平面,0,29.03,地下三樓
RPUOMLTLKIGGFCD58CC,坡道平面,0,11.46,地下一樓
RPTNMLTLKIGGFBD28CC,坡道平面,0,25.60,地下二樓
RPQPMLTLKIGGFKD09CC,坡道機械,0,,地下一樓
RPXQMLKMKIGGFKD09CC,坡道平面,0,,地下二樓
RPUOMLKMKIGGFCD77CC,坡道機械,0,,地下一樓
RPSNMLLMKIGGFBD47CC,坡道平面,0,23.35,地下二樓
RPPPMLPJJHHGFKD28CC,坡道平面,0,8.97,地下一樓
RPVNMLQJJHHGFCD97CC,坡道平面,0,29.18,地下二樓
RPOOMLKKJHHGFAD66CC,坡道平面,0,36.31,地下四樓
RPOQMLLKJHHGFAD96CC,坡道平面,0,,地下一樓
RPOPMLLKJHHGFCD07CC,坡道平面,0,38.95,地下一樓
RPROMLLKJHHGFID87CC,坡道平面,0,,地下一樓
RPROMLLKJHHGFID87CC,坡道平面,0,,地下一樓
RPSOMLLKJHHGFID97CC,坡道平面,0,,地下四樓
RPVNMLMKJHHGFAD47CC,坡道平面,0,,地下一樓
RPPOMLNKJHHGFID87CC,坡道平面,0,17.45,地下四樓
RPXNMLOKJHHGFAD87CC,坡道平面,0,,地下三樓
RPSOMLOKJHHGFAD47CC,坡道平面,0,,地下一樓
RPWNMLRKJHHGFCD28CC,一樓平面,0,,一樓
RPSOMLSKJHHGFAD87CC,坡道平面,0,,地下一樓
RPRPMLSKJHHGFBD97CC,坡道平面,0,,地下二樓
RPSOMLSKJHHGFCD08CC,坡道平面,0,37.81,地下二樓
RPUOMLKLJHHGFCD57CC,坡道平面,0,28.66,地下三樓
RPXNMLKLJHHGFAD57CC,坡道平面,0,29.73,地下一樓
RPVPMLLLJHHGFCD87CC,坡道平面,0,32.74,地下一樓
RPWNMLMLJHHGFKD78DC,一樓平面,500,,一樓
RPTNMLOLJHHGFAD57CC,坡道平面,0,28.19,地下一樓
RPSNMLOLJHHGFID28CC,一樓平面,0,16.05,一樓
RPUOMLOLJHHGFKD78CC,坡道平面,0,16.51,一樓
RPQOMLPLJHHGFKD48CC,坡道平面,0,35.70,地下二樓
RPVOMLPLJHHGFKD98CC,一樓平面,500,,一樓
RPTNMLPLJHHGFCD87CC,其他,0,,一樓
RPUNMLQLJHHGFKD88CC,坡道平面,0,,地下二樓
RPPOMLRLJHHGFAD57CC,坡道機械,0,29.39,地下五樓含以下
RPUNMLRLJHHGFCD28DC,坡道平面,0,29.78,地下二樓
RPUOMLSLJHHGFAD18CC,坡道平面,0,32.55,地下四樓
RPWNMLSLJHHGFBD38CC,一樓平面,0,,一樓
RPOPMLSJKHHGFKD58CC,坡道平面,0,22.05,地下二樓
RPTNMLLKKHHGFBD37CC,升降機械,0,,一樓
RPVOMLLKKHHGFBD67CC,其他,0,,一樓
RPPNMLOKKHHGFKD18CC,一樓平面,0,,一樓
RPUNMLOKKHHGFKD68CC,升降機械,0,9.38,一樓
RPPOMLPKKHHGFKD38CC,坡道平面,0,,地下二樓
RPWOMLQKKHHGFID98CC,坡道平面,0,17.45,地下四樓
RPOPMLQKKHHGFAD47CC,坡道機械,0,28.37,地下四樓
RPPPMLRKKHHGFAD67CC,坡道平面,0,,地下三樓
RPROMLRKKHHGFID58CC,一樓平面,0,,一樓
RPXNMLRKKHHGFHD98CC,一樓平面,0,,一樓
RPOPMLRKKHHGFKD58CC,坡道平面,150,29.75,無固定樓層
