鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鼓山區,房地(土地+建物),高雄市鼓山區裕誠路２０３０號,151.9,住,,,1101203,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0940526,315.55,2,4,5,有,無,無,68000,215,,0.0,0,,RPPNMLLKKIGGFAE96CC
苓雅區,房地(土地+建物)+車位,高雄市苓雅區新光路３８號３１樓之４,16.44,商,,,1101207,土地1建物1車位1,三十一層,42,辦公商業大樓,商業用,鋼骨鋼筋混凝土造,0810725,392.54,0,0,0,無,有,無,63000,160,坡道平面,0.0,0,,RPPNMLLKKIGGFBE07CC
前鎮區,房地(土地+建物),高雄市前鎮區正勤路３５號,95.94,住,,,1101116,土地1建物1車位0,見其他登記事項,14,店面(店鋪),住商用,鋼筋混凝土造,0910619,565.49,9,3,4,有,有,無,55000,97,,0.0,0,,RPPNMLLKKIGGFCE17CC
左營區,房地(土地+建物),高雄市左營區文學路６９０號１７樓~１,7.0,住,,,1101122,土地1建物1車位0,十七層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870814,87.77,2,1,1,有,有,無,10000,114,,0.0,0,續租。；,RPQNMLLKKIGGFEE47CC
楠梓區,建物,高雄市楠梓區清平街５１巷２１號三樓,0.0,住,,,1101115,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830112,153.19,3,2,2,有,有,有,13000,85,,0.0,0,,RPVNMLNKKIGGFEE18CC
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學五十街６２號１１樓,20.0,住,,,1101203,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1051115,101.63999999999999,2,1,1,有,有,有,20000,197,坡道機械,15.17,0,,RPSPMLNKKIGGFEE08CC
小港區,建物,高雄市小港區立群路３７之５號六樓,0.0,住,,,1101115,土地0建物1車位0,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840214,143.56,3,1,1,有,無,有,14000,98,,0.0,0,,RPQNMLNKKIGGFCE47CC
前鎮區,房地(土地+建物),高雄市前鎮區鎮海路５０號１１樓,14.32,商,,,1101209,土地1建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821211,113.88,3,2,2,有,有,有,13000,114,,0.0,0,,RPSNMLNKKIGGFCE67CC
前鎮區,房地(土地+建物),高雄市前鎮區擴建路１之３１號６樓,24.5,工,,,1101126,土地1建物1車位0,六層,14,辦公商業大樓,工業用,鋼筋混凝土造,0840727,344.06,0,0,0,無,有,有,58000,169,,0.0,0,,RPUOMLNKKIGGFCE97CC
三民區,建物,高雄市三民區十全二路２號４樓之２,0.0,商,,,1101202,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831122,64.21,2,1,1,有,有,有,9500,148,,0.0,0,,RPXPMLNKKIGGFDE48CC
三民區,房地(土地+建物),高雄市三民區民族一路７９４巷２１號,19.2,住,,,1101130,土地1建物1車位0,見其它登記事項,24,店面(店鋪),住商用,鋼筋混凝土造,0850719,253.34,4,0,3,有,無,有,38685,153,,0.0,0,,RPXRMLNKKIGGFDE68CC
三民區,房地(土地+建物),高雄市三民區建元路７號,48.38,住,,,1101203,土地2建物1車位0,見其它登記事項,7,店面(店鋪),商業用,鋼筋混凝土造,0830104,236.3,3,2,3,有,無,有,50575,214,,0.0,0,,RPPSMLNKKIGGFDE97CC
苓雅區,建物,高雄市苓雅區四維四路１９２，１９４號及苓中路４１號２樓,13.92,商,,,1101206,土地0建物3車位0,見其他登記事項,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0770923,480.62,0,0,0,無,有,無,60000,125,,0.0,0,,RPXNMLNKKIGGFBE08CC
新興區,建物,高雄市新興區六合一路１８６號６樓,0.0,商,,,1101118,土地0建物1車位0,六層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820409,66.35000000000001,1,1,1,有,無,無,8000,121,,0.0,0,,RPPOMLNKKIGGFBE37CC
前金區,建物,高雄市前金區七賢二路３５８號１２樓之１,0.0,商,,,1101118,土地0建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1051017,74.87,2,1,1,有,有,有,17000,227,坡道平面,14.65,0,,RPTNMLNKKIGGFAE57CC
鼓山區,建物,高雄市鼓山區民利街７６號４樓之１,0.0,商,,,1101201,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0711129,87.89,3,2,2,有,無,有,16000,182,,0.0,0,,RPUNMLNKKIGGFAE67CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍勝路３９１號２樓,16.18,商,,,1101125,土地1建物1車位1,二層,15,辦公商業大樓,商業用,鋼筋混凝土造,0940804,155.03,4,2,2,有,有,有,21000,135,坡道機械,6.3,0,,RPXPMLNKKIGGFAE18CC
鼓山區,房地(土地+建物),高雄市鼓山區臨海二路２０之４號,101.0,商,,,1101206,土地1建物1車位0,全,3,透天厝,,加強磚造,0491202,251.43,0,0,0,無,無,無,38000,151,,0.0,0,第4年租金4萬第5年租4.2萬,RPRNMLOKKIGGFAE47CC
前金區,房地(土地+建物),高雄市前金區自強三路２０３巷４９號５樓,29.4,商,,,1101201,土地2建物1車位0,五層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0700810,118.75,3,2,2,有,無,無,12000,101,,0.0,0,,RPTNMLOKKIGGFAE67CC
鼓山區,建物,高雄市鼓山區鼓山三路１０２號５樓,0.0,住,,,1101120,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0771114,93.19,3,2,2,有,無,有,15000,161,,0.0,0,,RPVNMLOKKIGGFAE87CC
新興區,房地(土地+建物),高雄市新興區五福二路１２９之４號,60.0,商,,,1101214,土地1建物1車位0,全,3,透天厝,住商用,加強磚造,0550920,144.86,0,0,0,無,無,無,36000,249,,0.0,0,,RPVOMLOKKIGGFBE08CC
苓雅區,房地(土地+建物),高雄市苓雅區允文街１２０號６樓之２,17.07,商,,,1101119,土地1建物1車位0,六層,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1090901,92.1,2,2,1,有,有,有,27655,300,,0.0,0,,RPXOMLOKKIGGFBE28CC
苓雅區,房地(土地+建物),高雄市苓雅區廣州一街１２３之１號２樓,168.59,住,,,1101209,土地1建物1車位0,二層,7,華廈(10層含以下有電梯),,鋼筋混凝土造,0730315,129.81,0,0,2,有,有,無,16000,123,,0.0,0,含管理費、稅金或水電等費用。；租金含管理費,RPPPMLOKKIGGFBE57CC
苓雅區,房地(土地+建物),高雄市苓雅區四維二路１６５號,64.0,其他,,,1101213,土地1建物1車位0,全,3,透天厝,,加強磚造,0620913,120.68,6,2,2,有,無,無,32000,265,,0.0,0,,RPRPMLOKKIGGFBE77CC
苓雅區,建物,高雄市苓雅區成功一路９４號８樓之３,0.0,商,,,1101210,土地0建物1車位0,八層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830906,31.5,1,0,1,有,有,有,9300,295,,0.0,0,,RPTPMLOKKIGGFBE97CC
三民區,建物,高雄市三民區明誠一路３３６號,0.0,住,,,1101208,土地0建物1車位0,五層,5,套房(1房1廳1衛),住商用,鋼筋混凝土造,0921219,36.36,1,1,1,有,無,有,6000,165,,0.0,0,,RPUNMLOKKIGGFDE08CC
三民區,建物,高雄市三民區北平二街５巷１６號４樓之３,0.0,商,,,1101205,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0690119,69.27,3,2,1,有,無,有,9000,130,,0.0,0,,RPVNMLOKKIGGFDE18CC
三民區,房地(土地+建物),高雄市三民區市中一路４６０巷２４之３號,27.08,住,,,1101210,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680417,79.79,3,2,1,有,無,有,11000,138,,0.0,0,,RPTOMLOKKIGGFDE08CC
三民區,房地(土地+建物),高雄市三民區民族一路３３５巷５７號,255.06,工,,,1101213,土地1建物1車位0,全,2,透天厝,,鋼筋混凝土造,0680915,307.46,4,2,2,有,無,無,50000,163,,0.0,0,,RPXOMLOKKIGGFDE48CC
前鎮區,建物,高雄市前鎮區精忠街１４５巷６之４號４樓,0.0,住,,,1101125,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0660712,86.35,3,1,1,有,無,有,9500,110,,0.0,0,,RPUNMLOKKIGGFCE97CC
前鎮區,房地(土地+建物),高雄市前鎮區中山二路１８２號７樓之１,4.34,商,,,1101118,土地1建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000125,52.56999999999999,1,1,1,有,有,有,18000,342,,0.0,0,,RPTPMLOKKIGGFCE08CC
