編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLLKKIGGFBE07CC,坡道平面,0,,地下四樓
RPSPMLNKKIGGFEE08CC,坡道機械,0,15.17,地下二樓
RPTNMLNKKIGGFAE57CC,坡道平面,0,14.65,地下三樓
RPXPMLNKKIGGFAE18CC,坡道機械,0,6.30,地下二樓
RPPPMLOKKIGGFEE87CC,坡道平面,0,16.11,地下三樓
RPTQMLPKKIGGFEE48CC,坡道平面,0,29.63,地下三樓
RPTQMLPKKIGGFEE48CC,坡道平面,0,29.63,地下三樓
RPTQMLPKKIGGFDE38CC,坡道平面,0,23.18,地下一樓
RPXOMLPKKIGGFCE48CC,坡道平面,0,26.31,地下五樓含以下
RPXOMLPKKIGGFBE38CC,坡道平面,0,35.73,地下二樓
RPPNMLQKKIGGFAE47CC,坡道平面,0,6.02,地下二樓
RPWNMLQKKIGGFBE28CC,坡道平面,0,,地下二樓
RPSOMLQKKIGGFCE08CC,坡道機械,0,22.09,地下二樓
RPUPMLQKKIGGFCE38CC,坡道平面,0,,地下二樓
RPUPMLQKKIGGFCE38CC,坡道平面,0,,地下二樓
RPUPMLQKKIGGFCE38CC,坡道平面,0,,地下二樓
RPRNMLRKKIGGFEE18CC,坡道平面,0,20.02,地下三樓
RPRNMLRKKIGGFEE18CC,坡道平面,0,20.02,地下三樓
RPQQMLRKKIGGFEE38CC,坡道平面,0,20.67,地下一樓
RPROMLRKKIGGFCE08CC,坡道平面,0,23.20,地下三樓
RPRQMLRKKIGGFEE48CC,坡道平面,0,17.81,地下二樓
RPUOMLRKKIGGFCE38CC,坡道機械,0,8.68,地下三樓
RPWOMLRKKIGGFCE58CC,坡道平面,0,29.92,地下二樓
RPQNMLRKKIGGFDE97CC,升降平面,0,,地下二樓
RPRPMLRKKIGGFDE28CC,坡道平面,0,24.62,地下二樓
RPRPMLRKKIGGFDE28CC,坡道平面,0,22.87,地下二樓
RPVNMLKLKIGGFBE67CC,坡道平面,0,,地下二樓
RPQNMLKLKIGGFAE07CC,坡道平面,0,33.85,地下三樓
RPUNMLKLKIGGFAE47CC,坡道平面,0,22.82,地下一樓
RPVPMLKLKIGGFAE77CC,坡道平面,0,31.95,地下一樓
RPQOMLKLKIGGFDE47CC,坡道平面,0,22.68,地下二樓
RPXNMLKLKIGGFCE97CC,坡道平面,0,,地下一樓
RPWQMLKLKIGGFEE38CC,坡道平面,0,23.25,地下一樓
RPWQMLKLKIGGFEE38CC,坡道平面,0,23.25,地下一樓
RPWNMLKLKIGGFFE18CC,坡道平面,0,22.84,地下二樓
RPQNMLLLKIGGFIE97CC,坡道平面,0,,地下一樓
RPUPMLKLKIGGFEE08CC,坡道平面,0,29.27,地下一樓
RPROMLLLKIGGFBE47CC,坡道機械,0,,地下二樓
RPPOMLLLKIGGFBE27CC,坡道平面,2000,12.65,地下四樓
RPQNMLMLKIGGFAE27CC,坡道平面,0,,地下一樓
RPQOMLMLKIGGFDE67CC,升降平面,0,27.65,地下二樓
RPPPMLMLKIGGFDE67CC,坡道平面,0,17.42,地下一樓
RPVNMLOLKIGGFBE08CC,坡道平面,0,22.10,地下一樓
RPWOMLOLKIGGFAE18CC,坡道平面,0,30.81,地下四樓
RPOOMLOLKIGGFGE97CC,坡道平面,0,24.32,地下二樓
RPVOMLRLKIGGFIE56CC,坡道平面,0,,一樓
RPUOMLRLKIGGFGE88CC,坡道平面,1000,17.17,地下一樓
RPPRMLRLKIGGFEE48CC,坡道平面,0,40.25,地下二樓
RPOOMLSLKIGGFBE87CC,塔式車位,0,19.87,地下三樓
RPRNMLTLKIGGFBE18CC,坡道平面,0,27.52,地下三樓
RPXPMLTLKIGGFCE09CC,坡道平面,0,41.03,地下二樓
RPQOMLTLKIGGFDE38CC,坡道平面,0,,地下二樓
RPWNMLKMKIGGFEE18CC,坡道平面,0,24.70,地下二樓
RPUOMLKMKIGGFEE08CC,坡道平面,0,42.93,地下一樓
RPSOMLKMKIGGFGE08CC,坡道平面,0,25.32,地下三樓
RPWPMLKMKIGGFDE28CC,坡道機械,0,21.95,地下五樓含以下
RPQNMLKMKIGGFCE37CC,坡道平面,0,36.68,地下三樓
RPWOMLKMKIGGFBE97CC,坡道平面,3500,,地下一樓
