編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLMLRHGGFAF28DA,府中段,9.66,都市：其他:商業區,10000,33,持分移轉,16660002
RPUNMLSJIIGGFAF87DA,府中段,9.66,都市：其他:商業區,10000,33,持分移轉,16660002
RPXSNLMKIIGGFAF28DA,福華段,29.10,都市：其他:商業區,200000,404,持分移轉,00020000
RPOOMLPJJIGGFAF17DA,福華段,24.85,都市：其他:商業區,200000,345,持分移轉,00020000
RPSRMLKKJIGGFAF47DA,中華段,35.85,都市：其他:乙種工業區,100000,848,持分移轉,04640000
RPXTMLPLIIGGFAF68DA,福華段,21.83,都市：其他:商業區,200000,303,持分移轉,00020000
RPWNMLNJJIGGFAF67DA,光仁段,21.79,都市：其他:住宅區,100000,887,持分移轉,16920000
RPPUMLTJJIGGFAF28DA,福華段,18.59,都市：其他:商業區,200000,258,持分移轉,00020000
RPTQMLSJJIGGFAF18DA,福華段,28.67,都市：其他:商業區,200000,398,持分移轉,00020000
RPOSMLKKJIGGFAF17DA,新雅段,5.74,都市：其他:住宅區,10000,38,持分移轉,06280000
RPVQMLTLJIGGFAF68DA,板院段,23.09,都市：其他:第二種住宅區,20000,72,持分移轉,06100000
RPVPMLKKJIGGFAF57DA,中華段,32.56,都市：其他:乙種工業區,100000,670,持分移轉,03780000
RPTNOLPKJIGGFAF87DA,福華段,15.20,都市：其他:商業區,200000,211,持分移轉,00020000
RPXRMLTLJIGGFAF98DA,柑林段,.04,都市：其他:公園用地,49000,100,持分移轉,06810000
RPXRMLTLJIGGFAF98DA,柑林段,.36,都市：其他:公園用地,49000,100,持分移轉,06870000
RPXRMLTLJIGGFAF98DA,柑林段,.64,都市：其他:公園用地,49000,100,持分移轉,06890000
RPURMLLJKIGGFAF77DA,新都段,66.82,都市：其他:第二種住宅區,200000,3069,持分移轉,01060000
RPTQMLMLJIGGFAF77DA,頂新段,10.96,都市：其他:住宅區,10000,83,持分移轉,05450000
RPUOMLMJKIGGFAF57DA,江翠段,13.21,都市：其他:商業區,100000,235,持分移轉,01720000
RPXPMLMJKIGGFAF97DA,江子翠段溪頭小段,10.15,都市：其他:住宅區,100000,511,持分移轉,01380000
RPXPMLMJKIGGFAF97DA,江子翠段第二崁小段,.64,都市：其他:住宅區,100000,511,持分移轉,02170025
RPRQMLNJKIGGFAF57DA,清水段,24.67,都市：其他:第二種住宅區,10000,146,持分移轉,02390000
RPRPMLMJKIGGFAF37DA,學成段,33.27,都市：其他:第二種住宅區,5000,92,持分移轉,06870000
RPTSMLQJKIGGFAF28DA,江子翠段溪頭小段,8.17,都市：其他:住宅區,100000,411,持分移轉,01380000
RPTSMLQJKIGGFAF28DA,江子翠段第二崁小段,.52,都市：其他:住宅區,100000,411,持分移轉,02170025
RPUQMLNJKIGGFAF87DA,員福段,9.07,都市：其他:第一種住宅區,10000,441,持分移轉,06490000
RPVSMLQJKIGGFAF48DA,頂新段,27.57,都市：其他:住宅區,100000,543,持分移轉,02490000
RPSNMLRJKIGGFAF77DA,明德段,29.39,都市：其他:第二種住宅區,100000,672,持分移轉,00600000
RPOOMLRJKIGGFAF47DA,明德段,28.95,都市：其他:第二種住宅區,100000,662,持分移轉,00600000
RPVOMLRJKIGGFAF18DA,明德段,21.52,都市：其他:第二種住宅區,100000,492,持分移轉,00600000
RPPPMLRJKIGGFAF67DA,明德段,21.96,都市：其他:第二種住宅區,100000,502,持分移轉,00600000
RPVNMLRJKIGGFAF08DA,明德段,28.95,都市：其他:第二種住宅區,100000,662,持分移轉,00600000
RPRPMLRJKIGGFAF87DA,明德段,21.96,都市：其他:第二種住宅區,100000,502,持分移轉,00600000
RPSQMLRJKIGGFAF08DA,明德段,26.33,都市：其他:第二種住宅區,100000,602,持分移轉,00600000
RPQQMLRJKIGGFAF87DA,明德段,29.92,都市：其他:第二種住宅區,100000,684,持分移轉,00600000
RPTQMLRJKIGGFAF18DA,安和段,2.01,都市：其他:第一種住宅區,35000,22,持分移轉,05650000
RPTQMLRJKIGGFAF18DA,安和段,14.19,都市：其他:第一種住宅區,14,2,持分移轉,05660000
RPVQMLRJKIGGFAF38DA,明德段,26.33,都市：其他:第二種住宅區,100000,602,持分移轉,00600000
RPXQMLRJKIGGFAF58DA,明德段,17.45,都市：其他:第二種住宅區,100000,399,持分移轉,00600000
RPQRMLRJKIGGFAF97DA,明德段,17.45,都市：其他:第二種住宅區,100000,399,持分移轉,00600000
RPRRMLRJKIGGFAF08DA,江子翠段第三崁小段,18.25,都市：其他:住宅區,100000,997,持分移轉,01940000
RPSRMLRJKIGGFAF18DA,明德段,17.45,都市：其他:第二種住宅區,100000,399,持分移轉,00600000
RPTRMLRJKIGGFAF28DA,明德段,17.01,都市：其他:第二種住宅區,100000,389,持分移轉,00600000
RPWPMLSJKIGGFAF48DA,新雅段,22.20,都市：其他:住宅區,5,1,持分移轉,07860000
RPVPMLRJKIGGFAF28DA,明德段,21.96,都市：其他:第二種住宅區,200000,1004,持分移轉,00600000
RPXPMLSJKIGGFAF58DA,安和段,32.10,都市：其他:第一種住宅區,100000,5757,持分移轉,06130000
RPRUMLRJKIGGFAF38DA,文化段,6.42,都市：其他:住宅區,200000,153,持分移轉,11980000
RPPRMLSJKIGGFAF97DA,江子翠段第二崁小段,27.80,都市：其他:住宅區,5,1,持分移轉,00400022
RPOOMLTJKIGGFAF67DA,府中段,50.00,都市：其他:道路用地,1,1,全筆移轉,08920000
RPOOMLTJKIGGFAF67DA,府中段,3.00,都市：其他:道路用地,1,1,全筆移轉,08930001
RPOOMLTJKIGGFAF67DA,府中段,94.00,都市：其他:道路用地,1,1,全筆移轉,10770000
RPOOMLTJKIGGFAF67DA,府中段,2.00,都市：其他:道路用地,1,1,全筆移轉,12960001
RPOOMLTJKIGGFAF67DA,府中段,1.00,都市：其他:道路用地,1,1,全筆移轉,12960002
RPOOMLTJKIGGFAF67DA,府中段,9.00,都市：其他:道路用地,1,1,全筆移轉,16660001
RPOOMLTJKIGGFAF67DA,府中段,213.00,都市：其他:道路用地,1,1,全筆移轉,16670000
RPOOMLTJKIGGFAF67DA,府中段,7.00,都市：其他:道路用地,1,1,全筆移轉,16670001
RPOOMLTJKIGGFAF67DA,府中段,7.00,都市：其他:道路用地,1,1,全筆移轉,16860001
RPOOMLTJKIGGFAF67DA,府中段,29.00,都市：其他:道路用地,1,1,全筆移轉,16970001
RPOOMLTJKIGGFAF67DA,府中段,3.00,都市：其他:道路用地,1,1,全筆移轉,17010001
RPOOMLTJKIGGFAF67DA,府中段,15.00,都市：其他:道路用地,1,1,全筆移轉,17040000
RPOOMLTJKIGGFAF67DA,府中段,109.00,都市：其他:道路用地,1,1,全筆移轉,17050000
RPOOMLTJKIGGFAF67DA,府中段,32.00,都市：其他:道路用地,1,1,全筆移轉,17060000
RPOOMLTJKIGGFAF67DA,府中段,122.00,都市：其他:道路用地,1,1,全筆移轉,17130000
RPUOMLTJKIGGFAF28DA,土城段,2.49,都市：其他:道路用地,1,1,全筆移轉,10040000
