鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
林口區,房地(土地+建物)+車位,新北市林口區文化二路一段,71.62,商,,,1101112,土地1建物1車位8,十六層,30,辦公商業大樓,商業用,鋼造,,967.37,0,0,0,無,無,120390000,143740,坡道平面,238.0,15550000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLKKIGGFBF07CB,福樺中央大樓,A棟16F號
林口區,房地(土地+建物)+車位,新北市林口區文化二路一段,42.96,商,,,1101112,土地1建物1車位4,十六層,30,辦公商業大樓,商業用,鋼造,,555.7,0,0,0,無,無,70180000,143760,坡道平面,119.0,7400000,交易總價含下列非屬預售屋價格之費用:親友、員工、共有人或其他特殊關係間之交易；,RPQNMLLKKIGGFBF17CB,福樺中央大樓,B棟16F號
林口區,房地(土地+建物),新北市林口區中華路,20.76,住,,,1101201,土地1建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,73.27,2,1,1,有,無,7170000,97857,,0.0,0,,RPSNMLLKKIGGFBF37CB,三發嵐海,A棟8號
林口區,房地(土地+建物)+車位,新北市林口區中華路,25.47,住,,,1101128,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,100.41,2,1,1,有,無,9550000,92750,坡道機械,12.0,1350000,,RPTNMLLKKIGGFBF47CB,三發嵐海,A棟5號
林口區,房地(土地+建物)+車位,新北市林口區中華路,17.7,住,,,1101128,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,73.11,2,1,1,有,無,6900000,90820,坡道機械,12.0,1350000,,RPUNMLLKKIGGFBF57CB,三發嵐海,A棟7號
林口區,房地(土地+建物)+車位,新北市林口區中華路,25.84,住,,,1101113,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.41,3,1,1,有,無,10100000,93315,坡道平面,24.0,1850000,,RPVNMLLKKIGGFBF67CB,三發嵐海,A棟5號
林口區,房地(土地+建物)+車位,新北市林口區中華路,25.84,住,,,1101116,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.41,3,1,1,有,無,9990000,92071,坡道平面,24.0,1850000,,RPWNMLLKKIGGFBF77CB,三發嵐海,A棟5號
林口區,房地(土地+建物)+車位,新北市林口區中華路,17.59,住,,,1090913,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,72.73,2,1,1,有,無,5320000,70311,坡道機械,12.0,1050000,,RPXNMLLKKIGGFBF87CB,三發嵐海,A棟6號
林口區,房地(土地+建物)+車位,新北市林口區中華路,17.59,住,,,1091106,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,72.73,2,1,1,有,無,5800000,76568,坡道機械,12.0,1150000,,RPOOMLLKKIGGFBF07CB,三發嵐海,A棟6號
