編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSOMLLKKIGGFBF57CC,46,85.49,住家用,加強磚造,64年12月22日,四層,
RPQNMLLKKIGGFBF27CC,3,91.78,集合住宅,鋼筋混凝土造,108年1月7日,十四層,
RPQNMLLKKIGGFBF27CC,3,72.36,本共有部分之項目有門廳，梯間，排煙室，管理委員會使用空間，廁所，管理員室，陽台，梯廳，機房，機械室，水箱，停車空間，無障礙樓梯，發電機房，電信機房，垃圾資源回收空間，台電配電場所，樓梯間，蓄水池，污水機房，無障礙停車位，消防機房，等２２項,鋼筋混凝土造,108年1月7日,十四層,
RPUNMLLKKIGGFBF67CC,6,70.96,集合住宅,鋼筋混凝土造,104年9月3日,十九層,
RPUNMLLKKIGGFBF67CC,6,47.69,本共有部分之項目有公共服務空間、車道、樓電梯間、電信機房、台電配電場所、資源回收處、垃圾集中場、發電機室、防災中心、自行車停放區、停車空間、水箱、雨水機房、消防機房、行動不便者車位等１５項,鋼筋混凝土造,104年9月3日,十九層,
RPUNMLLKKIGGFBF67CC,6,16.74,本共有部分之項目有樓電梯間、消防機房、消防水箱、梯間、機械室、水箱等６項,鋼筋混凝土造,104年9月3日,十九層,
RPTNMLLKKIGGFBF57CC,31,136.07,住家用,鋼筋混凝土造,79年12月17日,五層,
RPTOMLLKKIGGFBF67CC,28,76.23,住家用,鋼筋混凝土造,82年11月8日,八層,
RPTOMLLKKIGGFBF67CC,28,1.24,共有部份,鋼筋混凝土造,82年11月8日,八層,
RPTOMLLKKIGGFBF67CC,28,13.53,共有部份,鋼筋混凝土造,82年11月8日,八層,
RPWOMLLKKIGGFBF97CC,21,77.04,住家用,鋼筋混凝土造,90年5月18日,十三層,
RPWOMLLKKIGGFBF97CC,21,27.31,共有部份,鋼筋混凝土造,90年5月18日,十三層,
RPPPMLLKKIGGFBF37CC,35,97.22,住家用,鋼筋混凝土造,76年1月21日,五層,
RPRNMLLKKIGGFEF67CC,4,60.16,住家用,鋼筋混凝土造,106年12月29日,二十七層,
