編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLLKKIGGFBF27CC,坡道平面,0,29.28,地下三樓
RPUNMLLKKIGGFBF67CC,坡道平面,3000,33.01,地下三樓
RPRNMLLKKIGGFEF67CC,坡道機械,0,15.42,地下五樓含以下
RPSPMLNKKIGGFCF97CC,坡道平面,0,,地下一樓
RPTPMLNKKIGGFCF08CC,坡道機械,0,,地下二樓
RPTPMLNKKIGGFCF08CC,坡道機械,0,,地下二樓
RPTPMLNKKIGGFCF08CC,坡道機械,0,,地下二樓
RPTPMLNKKIGGFCF08CC,坡道機械,0,,地下二樓
RPTPMLNKKIGGFCF08CC,坡道機械,0,,地下二樓
RPVPMLNKKIGGFCF28CC,坡道平面,0,,地下一樓
RPPOMLNKKIGGFBF47CC,坡道平面,0,,地下二樓
RPPOMLNKKIGGFBF47CC,坡道平面,0,,地下二樓
RPVNMLNKKIGGFBF97CC,坡道平面,3200,27.79,地下五樓含以下
RPSOMLNKKIGGFBF77CC,坡道平面,0,,地下一樓
RPPQMLNKKIGGFBF67CC,坡道平面,0,17.81,地下一樓
RPOPMLOKKIGGFAF47CC,坡道平面,0,24.02,地下三樓
RPROMLOKKIGGFEF08CC,坡道平面,0,30.46,地下三樓
RPVQMLOKKIGGFEF68CC,坡道平面,0,31.87,地下一樓
RPQRMLOKKIGGFEF28CC,坡道平面,0,30.10,地下三樓
RPQRMLOKKIGGFHF58CC,升降機械,2500,11.86,地下二樓
RPXVMLOKKIGGFGF96CC,坡道平面,5000,31.25,地下三樓
RPTQMLPKKIGGFCF38CC,坡道平面,0,,無固定樓層
RPTQMLPKKIGGFCF38CC,坡道平面,0,,無固定樓層
RPVQMLPKKIGGFHF09CC,坡道平面,0,35.09,地下二樓
RPVQMLPKKIGGFHF09CC,坡道平面,0,35.09,地下二樓
RPVNMLPKKIGGFAF28EC,升降機械,0,10.68,地下一樓
RPTRMLPKKIGGFEF68CC,坡道平面,0,,地下三樓
RPXRMLPKKIGGFBF78CC,坡道平面,0,45.23,地下五樓含以下
RPXRMLPKKIGGFBF78CC,坡道平面,0,45.23,地下五樓含以下
RPWRMLQKKIGGFBF78CC,坡道平面,3000,25.20,地下三樓
RPOSMLQKKIGGFBF08CC,坡道平面,2500,39.13,地下三樓
RPTQMLQKKIGGFEF68CC,坡道平面,0,30.10,地下二樓
RPTOMLQKKIGGFGF88EC,坡道平面,0,39.78,地下二樓
RPXQMLQKKIGGFEF09CC,坡道機械,0,15.42,地下五樓含以下
RPVSMLQKKIGGFIF86CC,坡道平面,2400,36.37,地下三樓
RPORMLQKKIGGFCF08CC,坡道機械,0,17.64,地下二樓
RPRQMLRKKIGGFBF28CC,坡道機械,0,8.54,地下一樓
RPSOMLRKKIGGFEF48CC,坡道平面,0,21.65,地下一樓
RPVNMLRKKIGGFAF28CC,坡道平面,0,39.63,地下三樓
