編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLMKKIGGFAG37CB,義成一段,38.36,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,376,持分移轉,03640000
RPRNMLMKKIGGFAG37CB,義成一段,4.16,非都市：特定農業區 ; 非都市編定：農牧用地,43282,416,持分移轉,03630000
RPQNMLNKKIGGFAG37CB,義成六段,106.58,非都市：特定農業區 ; 非都市編定：甲種建築用地,1000000,35627,持分移轉,12660000
RPTNMLNKKIGGFAG77DB,大隱三段,17.77,非都市：特定農業區 ; 非都市編定：農牧用地,10000,510,持分移轉,01790000
RPTNMLNKKIGGFAG77DB,大隱三段,18.71,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01700014
RPTNMLNKKIGGFAG77DB,大隱三段,66.29,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01700034
RPPNMLMKKIGGFAG17CB,義成一段,39.38,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,386,持分移轉,03640000
RPPNMLMKKIGGFAG17CB,義成一段,4.16,非都市：特定農業區 ; 非都市編定：農牧用地,43282,416,持分移轉,03630000
RPSTMLOKKIGGFBG38CB,凱旋一段,39.99,非都市：特定農業區 ; 非都市編定：甲種建築用地,162,12,持分移轉,06290000
RPQNMLMKKIGGFAG27CB,義成一段,39.38,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,386,持分移轉,03640000
RPQNMLMKKIGGFAG27CB,義成一段,4.16,非都市：特定農業區 ; 非都市編定：農牧用地,43282,416,持分移轉,03630000
RPTNMLNKKIGGFBG77CB,大福一段,89.67,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07890007
RPTNMLNKKIGGFBG77CB,大福一段,14.70,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07890010
RPUNMLNKKIGGFBG87CB,新生段,64.78,都市：住,1,1,全筆移轉,06850003
RPUNMLNKKIGGFBG87CB,新生段,20.25,都市：住,1,1,全筆移轉,06850039
RPRTMLOKKIGGFBG28CB,凱旋一段,39.99,非都市：特定農業區 ; 非都市編定：甲種建築用地,162,12,持分移轉,06290000
RPTTMLOKKIGGFBG48CB,凱旋一段,39.99,非都市：特定農業區 ; 非都市編定：甲種建築用地,162,12,持分移轉,06290000
RPQUMLOKKIGGFBG28CB,凱旋一段,39.99,非都市：特定農業區 ; 非都市編定：甲種建築用地,162,12,持分移轉,06290000
RPOUMLOKKIGGFBG08CB,凱旋一段,39.99,非都市：特定農業區 ; 非都市編定：甲種建築用地,162,12,持分移轉,06290000
RPVTMLOKKIGGFBG68CB,凱旋一段,39.99,非都市：特定農業區 ; 非都市編定：甲種建築用地,162,12,持分移轉,06290000
RPXTMLOKKIGGFBG88CB,凱旋一段,39.99,非都市：特定農業區 ; 非都市編定：甲種建築用地,162,12,持分移轉,06290000
RPPUMLOKKIGGFBG18CB,凱旋一段,39.99,非都市：特定農業區 ; 非都市編定：甲種建築用地,162,12,持分移轉,06290000
RPSNMLOKKIGGFAG67CB,義成一段,27.75,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,272,持分移轉,03640000
RPSNMLOKKIGGFAG67CB,義成一段,4.16,非都市：特定農業區 ; 非都市編定：農牧用地,43282,416,持分移轉,03630000
RPXNMLOKKIGGFAG18CB,義成一段,37.64,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,369,持分移轉,03640000
RPXNMLOKKIGGFAG18CB,義成一段,4.16,非都市：特定農業區 ; 非都市編定：農牧用地,43282,416,持分移轉,03630000
RPSNMLPKKIGGFAG77CB,義成六段,99.90,非都市：特定農業區 ; 非都市編定：甲種建築用地,1000000,33394,持分移轉,12660000
RPVNMLPKKIGGFAG08CB,保安段,14.55,都市：住,10000,24,持分移轉,08800000
RPWNMLPKKIGGFAG18CB,保安段,14.55,都市：住,10000,24,持分移轉,08800000
RPQNMLOKKIGGFAG47CB,隆昌段,84.19,都市：住,1,1,全筆移轉,00530000
RPQNMLOKKIGGFAG47CB,隆昌段,1.83,都市：住,100000,6243,持分移轉,00530014
RPQNMLOKKIGGFAG47CB,隆昌段,.39,都市：住,100000,6243,持分移轉,00530015
RPQNMLOKKIGGFAG47CB,隆昌段,2.61,都市：住,100000,6243,持分移轉,00530007
RPQNMLOKKIGGFAG47CB,隆昌段,9.14,都市：住,100000,6243,持分移轉,00530002
RPQNMLOKKIGGFAG47CB,隆昌段,30.84,都市：其他:道路用地,100000,6139,持分移轉,00540000
RPQNMLOKKIGGFAG47CB,隆昌段,1.04,都市：農,100000,6139,持分移轉,00540001
RPQOMLPKKIGGFAG67CB,保安段,14.55,都市：住,10000,24,持分移轉,08800000
RPXNMLPKKIGGFAG28CB,保安段,14.55,都市：住,10000,24,持分移轉,08800000
RPPOMLPKKIGGFAG57CB,保安段,14.55,都市：住,10000,24,持分移轉,08800000
RPOOMLPKKIGGFAG47CB,保安段,14.55,都市：住,10000,24,持分移轉,08800000
RPROMLPKKIGGFAG77CB,保安段,23.64,都市：住,10000,39,持分移轉,08800000
RPSOMLPKKIGGFAG87CB,保安段,23.64,都市：住,10000,39,持分移轉,08800000
RPUOMLPKKIGGFAG08CB,保安段,24.85,都市：住,10000,41,持分移轉,08800000
RPTOMLPKKIGGFAG97CB,保安段,24.85,都市：住,10000,41,持分移轉,08800000
RPPPMLPKKIGGFAG67CB,保安段,16.97,都市：住,10000,28,持分移轉,08800000
RPRPMLPKKIGGFAG87CB,保安段,16.97,都市：住,10000,28,持分移轉,08800000
RPVOMLPKKIGGFAG18CB,保安段,24.85,都市：住,10000,41,持分移轉,08800000
RPXOMLPKKIGGFAG38CB,保安段,16.97,都市：住,10000,28,持分移轉,08800000
RPQOMLPKKIGGFBG77CB,新洲子段,74.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01060013
RPQOMLPKKIGGFBG77CB,新洲子段,19.80,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01060018
RPWOMLPKKIGGFAG28CB,保安段,24.85,都市：住,10000,41,持分移轉,08800000
RPRNMLPKKIGGFBG77CB,乾門一段,2.03,都市：住,100000,1341,持分移轉,10820000
RPRNMLPKKIGGFBG77CB,乾門一段,.06,都市：住,100000,1341,持分移轉,10830000
RPRNMLPKKIGGFBG77CB,乾門一段,11.54,都市：住,100000,1341,持分移轉,10840000
RPRNMLPKKIGGFBG77CB,乾門一段,.21,都市：住,100000,1341,持分移轉,10840001
RPRNMLPKKIGGFBG77CB,乾門一段,9.79,都市：住,100000,1341,持分移轉,10850000
RPRNMLPKKIGGFBG77CB,乾門一段,3.14,都市：住,100000,1341,持分移轉,10910000
RPRNMLPKKIGGFBG77CB,乾門一段,1.31,都市：住,100000,1341,持分移轉,10950000
RPRNMLPKKIGGFBG77CB,乾門一段,.01,都市：住,100000,1341,持分移轉,10960004
RPRNMLPKKIGGFBG77CB,乾門一段,.21,都市：住,100000,1341,持分移轉,10960003
RPQPMLPKKIGGFAG77CB,保安段,16.97,都市：住,10000,28,持分移轉,08800000
RPRNMLPKKIGGFBG77CB,乾門一段,.51,都市：住,100000,1341,持分移轉,10970000
RPRNMLPKKIGGFBG77CB,乾門一段,.53,都市：住,100000,1341,持分移轉,11200000
RPSOMLPKKIGGFBG97CB,新洲子段,74.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01060011
RPSOMLPKKIGGFBG97CB,新洲子段,19.80,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01060020
RPPNMLQKKIGGFBG77DB,深賢段,62.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08240021
RPPNMLQKKIGGFBG77DB,深賢段,23.70,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08240026
RPPNMLQKKIGGFAG57CB,保安段,16.97,都市：住,10000,28,持分移轉,08800000
RPQNMLQKKIGGFAG67CB,八仙段,28.17,非都市：特定農業區 ; 非都市編定：甲種建築用地,1000000,15156,持分移轉,06870000
RPTOMLPKKIGGFBG08CB,協天段,21.21,都市：住,10000,346,持分移轉,08240000
RPSNMLQKKIGGFAG87CB,保安段,16.97,都市：住,10000,28,持分移轉,08800000
RPQNMLQKKIGGFBG87DB,深賢段,60.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08240023
RPQNMLQKKIGGFBG87DB,深賢段,23.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08240028
RPTNMLQKKIGGFAG97CB,保安段,16.97,都市：住,10000,28,持分移轉,08800000
RPRNMLQKKIGGFAG77CB,保安段,16.97,都市：住,10000,28,持分移轉,08800000
RPUNMLQKKIGGFAG08CB,保安段,16.97,都市：住,10000,28,持分移轉,08800000
RPVNMLQKKIGGFAG18CB,保安段,16.97,都市：住,10000,28,持分移轉,08800000
RPXNMLQKKIGGFAG38CB,保安段,16.97,都市：住,10000,28,持分移轉,08800000
RPWNMLQKKIGGFAG28CB,保安段,16.97,都市：住,10000,28,持分移轉,08800000
RPROMLQKKIGGFAG87CB,保安段,24.85,都市：住,10000,41,持分移轉,08800000
RPOOMLQKKIGGFAG57CB,保安段,16.97,都市：住,10000,28,持分移轉,08800000
RPUOMLQKKIGGFAG18CB,保安段,23.64,都市：住,10000,39,持分移轉,08800000
RPQOMLQKKIGGFAG77CB,保安段,24.85,都市：住,10000,41,持分移轉,08800000
RPPOMLQKKIGGFAG67CB,保安段,16.97,都市：住,10000,28,持分移轉,08800000
RPSOMLQKKIGGFAG97CB,保安段,24.85,都市：住,10000,41,持分移轉,08800000
