編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLMKKIGGFAG37CB,一樓平面,0,11.32,一樓
RPPNMLMKKIGGFAG17CB,一樓平面,0,11.32,一樓
RPSTMLOKKIGGFBG38CB,一樓平面,550000,13.88,一樓
RPQNMLMKKIGGFAG27CB,一樓平面,0,11.32,一樓
RPRTMLOKKIGGFBG28CB,一樓平面,550000,13.88,一樓
RPTTMLOKKIGGFBG48CB,一樓平面,550000,13.88,一樓
RPQUMLOKKIGGFBG28CB,一樓平面,550000,13.88,一樓
RPVTMLOKKIGGFBG68CB,一樓平面,550000,13.88,一樓
RPOUMLOKKIGGFBG08CB,一樓平面,550000,13.88,一樓
RPXTMLOKKIGGFBG88CB,一樓平面,550000,13.88,一樓
RPPUMLOKKIGGFBG18CB,一樓平面,550000,13.88,一樓
RPSNMLOKKIGGFAG67CB,一樓平面,0,11.32,一樓
RPQNMLOKKIGGFAG47CB,一樓平面,530000,16.50,一樓
RPQNMLOKKIGGFAG47CB,一樓平面,530000,14.21,一樓
RPROMLPKKIGGFAG77CB,坡道平面,600000,31.58,地下一樓
RPSOMLPKKIGGFAG87CB,坡道平面,600000,31.58,地下一樓
RPUOMLPKKIGGFAG08CB,坡道平面,600000,31.58,地下一樓
RPTOMLPKKIGGFAG97CB,坡道平面,600000,31.58,地下一樓
RPRPMLPKKIGGFAG87CB,坡道平面,600000,31.58,地下一樓
RPVOMLPKKIGGFAG18CB,坡道平面,600000,31.58,地下一樓
RPWOMLPKKIGGFAG28CB,坡道平面,600000,31.58,地下一樓
RPQPMLPKKIGGFAG77CB,坡道平面,600000,31.58,地下一樓
RPRNMLPKKIGGFBG77CB,坡道平面,1200000,32.68,地下一樓
RPPNMLQKKIGGFAG57CB,坡道平面,600000,31.58,地下一樓
RPQNMLQKKIGGFAG67CB,坡道平面,1050000,9.05,地下一樓
RPSNMLQKKIGGFAG87CB,坡道平面,600000,31.58,地下一樓
RPTNMLQKKIGGFAG97CB,坡道平面,600000,31.58,地下一樓
RPRNMLQKKIGGFAG77CB,坡道平面,600000,31.58,地下一樓
RPUNMLQKKIGGFAG08CB,坡道平面,600000,31.58,地下一樓
RPVNMLQKKIGGFAG18CB,坡道平面,600000,31.58,地下一樓
RPXNMLQKKIGGFAG38CB,坡道平面,600000,31.58,地下一樓
RPWNMLQKKIGGFAG28CB,坡道平面,600000,31.58,地下一樓
RPROMLQKKIGGFAG87CB,坡道平面,600000,31.58,地下一樓
RPOOMLQKKIGGFAG57CB,坡道平面,600000,31.58,地下一樓
RPUOMLQKKIGGFAG18CB,坡道平面,600000,31.58,地下一樓
RPQOMLQKKIGGFAG77CB,坡道平面,600000,31.58,地下一樓
RPPOMLQKKIGGFAG67CB,坡道平面,600000,31.58,地下一樓
RPSOMLQKKIGGFAG97CB,坡道平面,600000,31.58,地下一樓
RPVOMLQKKIGGFAG28CB,坡道平面,600000,31.58,地下一樓
