編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTQMLOKKIGGFAG18CC,信義段,.00,都市：住,,,,01870000
RPROMLPKKIGGFBG97CC,烏石港段,.00,都市：住,,,,01790000
RPPNMLOKKIGGFAG47CC,興東段,.00,都市：住,,,,09860000
RPSOMLPKKIGGFBG08CC,珍子滿力段擺厘小段,.00,都市：住,,,,01320002
RPXOMLPKKIGGFBG58CC,黎明段,.00,都市：住,,,,02890000
RPUOMLOKKIGGFAG08CC,北成段,.00,都市：住,,,,05290000
RPSQMLOKKIGGFAG08CC,國華段,.00,都市：住,,,,05160000
RPTNMLOKKIGGFBG97CC,中興段,.00,都市：住,,,,06500000
RPSOMLQKKIGGFBG18CC,五峰段,.00,都市：住,,,,01720000
RPWNMLPKKIGGFAG28CC,東光段,.00,都市：住,,,,11460000
RPTPMLKLKIGGFAG77CC,東安段,.00,都市：住,,,,04940000
RPRPMLKLKIGGFBG67CC,珍子滿力段擺厘小段,.00,都市：住,,,,01350004
RPTPMLLLKIGGFAG87CC,羅莊段,.00,都市：住,,,,00390015
RPVPMLKLKIGGFAG97CC,南昌段,.00,都市：住,,,,11060008
RPVPMLKLKIGGFAG97CC,南昌段,.00,都市：住,,,,11060009
RPQOMLLLKIGGFBG57CC,農權段,.00,都市：住,,,,11910000
RPWPMLKLKIGGFAG08CC,興東段,.00,都市：商,,,,09190000
RPSOMLNLKIGGFBG97CC,烏石港段,171.84,都市：住,,,,03110000
RPUOMLRKKIGGFBG48CC,五峰段,.00,都市：住,,,,01910000
RPPOMLNLKIGGFBG67CC,玉石段,.00,都市：住,,,,12750003
RPUOMLNLKIGGFBG18CC,農權段,.00,都市：住,,,,11910000
RPRNMLOLKIGGFBG87CC,乾門三段,.00,都市：商,,,,00380000
RPSNMLOLKIGGFBG97CC,泰山段,.00,都市：住,,,,06180000
RPTNMLSLKIGGFBG48CC,金七結段,.00,都市：住,,,,06090000
RPXNMLSLKIGGFBG88CC,大福二段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00300000
RPVNMLSLKIGGFBG68CC,乾門二段,.00,都市：商,,,,04010000
RPRPMLRLKIGGFBG38CC,公園段,23.77,都市：其他:第三種住宅區。,,,,00930000
RPWNMLSLKIGGFBG78CC,珍子滿力段擺厘小段,.00,都市：住,,,,00370012
RPUNMLSLKIGGFBG58CC,嵐峰段,.00,都市：住,,,,02720000
RPTNMLSLKIGGFAG38CC,仁愛一段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10570000
RPTNMLSLKIGGFAG38CC,仁愛一段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10580000
RPOOMLSLKIGGFAG97CC,北成一段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,02440000
RPROMLSLKIGGFAG28CC,中福段,.00,都市：住,,,,04550000
RPTNMLNJJHHGFBG67CC,東村段,.00,都市：工,,,,06420007
RPUNMLNJJHHGFBG77CC,協天段,.00,都市：住,,,,07320000
RPVOMLNJJHHGFAG87CC,南昌段,.00,都市：住,,,,07700000
RPPOMLOJJHHGFAG37CC,信義段,.00,都市：住,,,,03720000
RPSPMLOJJHHGFBG87CC,嵐峰段,.00,都市：住,,,,08620000
RPVNMLKMKIGGFBG97CC,金六結段七結小段,.00,都市：商,,,,00220000
RPUNMLQJJHHGFBG08CC,坤門三段,.00,都市：住,,,,07070000
RPTOMLOJJHHGFBG87CC,坤門五段,.00,都市：住,,,,11680000
RPSNMLNJJHHGFBG57CC,五峰段,.00,都市：住,,,,11570000
RPVNMLQJJHHGFBG18CC,珍子滿力段擺厘小段,.00,都市：住,,,,01320005
RPTOMLQJJHHGFAG97CC,南昌段,.00,都市：住,,,,00600000
RPWOMLQJJHHGFAG38DC,興東段,.00,都市：住,,,,15830000
RPOOMLQJJHHGFAG47CC,五結段,.00,都市：住,,,,10280000
RPOOMLQJJHHGFAG47CC,東安段,.00,都市：住,,,,03520001
RPOPMLQJJHHGFAG67DC,信義段,.00,都市：商,,,,01420000
RPTRMLLKJHHGFBG97CC,和睦段,.00,都市：住,,,,02700000
RPTOMLNKJHHGFBG87CC,過港段,.00,都市：住,,,,08870000
RPOOMLMKJHHGFBG27CC,延平段,.00,都市：農,,,,03600000
RPWNMLMKJHHGFBG97CC,延平段,.00,都市：農,,,,03600000
RPVNMLKKJHHGFAG57CC,南昌段,.00,都市：住,,,,07600000
RPVOMLNKJHHGFBG08CC,湯仔城段,.00,都市：商,,,,00800000
RPVOMLNKJHHGFBG08CC,湯仔城段,.00,都市：商,,,,00840000
