鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路,16.65,住,,,1101113,土地1建物1車位1,四層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,149.98,3,2,2,有,無,11640000,78367,坡道平面,24.8,1830000,,RPPNMLLKKIGGFHH87CB,文華天際,A棟1號
龜山區,房地(土地+建物)+車位,桃園市龜山區樂善二路VS.牛角坡路口,7.7,商,,,1101123,土地1建物1車位1,十五層,25,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,109.53,0,0,1,有,無,8290000,81398,坡道平面,28.57,1700000,,RPRNMLLKKIGGFHH08CB,玄泰T1,C1棟15號
龜山區,房地(土地+建物)+車位,桃園市龜山區樂善二路VS.牛角坡路口,7.27,商,,,1101124,土地1建物1車位1,十三層,25,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,105.29,0,0,1,有,無,7900000,80813,坡道平面,28.57,1700000,,RPSNMLLKKIGGFHH18CB,玄泰T1,C8棟13號
龜山區,房地(土地+建物),桃園市龜山區樂善二路VS.牛角坡路口,6.17,商,,,1101123,土地1建物1車位0,五層,25,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,64.98,0,0,1,有,無,5020000,77255,,0.0,0,,RPTNMLLKKIGGFHH28CB,玄泰T1,C9棟5號
龜山區,房地(土地+建物),桃園市龜山區樂善二路VS.牛角坡路口,6.17,商,,,1101123,土地1建物1車位0,六層,25,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,64.98,0,0,1,有,無,5020000,77255,,0.0,0,,RPUNMLLKKIGGFHH38CB,玄泰T1,C9棟6號
龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路39巷66號12樓,10.96,住,,,1101111,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,116.35,2,1,1,有,無,9110000,83908,坡道平面,32.21,2050000,,RPWNMLLKKIGGFHH58CB,水悅青青,B棟9號
龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路39巷40號9樓,19.35,住,,,1101111,土地1建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,183.65,4,2,2,有,無,14700000,83754,坡道平面,33.21,2100000,,RPXNMLLKKIGGFHH68CB,水悅青青,A棟3號
龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路39巷46號3樓,12.31,住,,,1101118,土地1建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.98,2,1,1,有,無,9890000,82727,坡道平面,33.21,2050000,,RPOOMLLKKIGGFHH87CB,水悅青青,A棟1號
龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路39巷66號10樓,10.96,住,,,1101118,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.35,2,1,1,有,無,9360000,86285,坡道平面,33.21,2100000,,RPPOMLLKKIGGFHH97CB,水悅青青,B棟9號
