編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLLKKIGGFHH87CB,善捷段,16.65,都市：住,100000,252,持分移轉,02000000
RPWNMLLKKIGGFHH58CB,善捷段,10.96,都市：住,100000,364,持分移轉,00280000
RPXNMLLKKIGGFHH68CB,善捷段,19.35,都市：住,100000,643,持分移轉,00280000
RPUNMLLKKIGGFHH38CB,善捷段,6.17,都市：商,100000,101,持分移轉,00620000
RPRNMLLKKIGGFHH08CB,善捷段,7.70,都市：商,100000,126,持分移轉,00620000
RPSNMLLKKIGGFHH18CB,善捷段,7.27,都市：商,100000,119,持分移轉,00620000
RPPOMLLKKIGGFHH97CB,善捷段,10.96,都市：住,100000,364,持分移轉,00280000
RPOOMLLKKIGGFHH87CB,善捷段,12.31,都市：住,100000,409,持分移轉,00280000
RPUOMLLKKIGGFHH48CB,善捷段,14.72,都市：商,100000,241,持分移轉,00620000
RPTNMLLKKIGGFHH28CB,善捷段,6.17,都市：商,100000,101,持分移轉,00620000
RPVOMLLKKIGGFHH58CB,善捷段,15.95,都市：商,100000,261,持分移轉,00620000
RPQPMLLKKIGGFHH18CB,善捷段,10.56,都市：住,100000,217,持分移轉,02870000
RPXOMLLKKIGGFHH78CB,善捷段,12.77,都市：商,100000,209,持分移轉,00620000
RPPPMLLKKIGGFHH08CB,善捷段,10.56,都市：住,100000,217,持分移轉,02870000
RPRPMLLKKIGGFHH28CB,善捷段,10.56,都市：住,100000,217,持分移轉,02870000
RPTPMLLKKIGGFHH48CB,善捷段,13.38,都市：商,100000,219,持分移轉,00620000
RPWOMLLKKIGGFHH68CB,善捷段,14.79,都市：商,100000,242,持分移轉,00620000
RPUPMLLKKIGGFHH58CB,善捷段,10.56,都市：住,100000,217,持分移轉,02870000
RPOPMLLKKIGGFHH97CB,善捷段,10.56,都市：住,100000,217,持分移轉,02870000
RPOQMLLKKIGGFHH08CB,善捷段,10.56,都市：住,100000,217,持分移轉,02870000
RPSPMLLKKIGGFHH38CB,善捷段,10.56,都市：住,100000,217,持分移轉,02870000
RPWPMLLKKIGGFHH78CB,善捷段,10.56,都市：住,100000,217,持分移轉,02870000
RPQQMLLKKIGGFHH28CB,善捷段,16.65,都市：住,100000,252,持分移轉,02000000
RPXPMLLKKIGGFHH88CB,善捷段,16.65,都市：住,100000,252,持分移轉,02000000
RPRQMLLKKIGGFHH38CB,善捷段,16.51,都市：住,100000,250,持分移轉,02000000
RPSQMLLKKIGGFHH48CB,善捷段,16.51,都市：住,100000,250,持分移轉,02000000
RPPQMLLKKIGGFHH18CB,善捷段,13.26,都市：商,100000,217,持分移轉,00620000
RPVPMLLKKIGGFHH68CB,善捷段,10.56,都市：住,100000,217,持分移轉,02870000
RPTQMLLKKIGGFHH58CB,善捷段,16.51,都市：住,100000,250,持分移轉,02000000
RPWQMLLKKIGGFHH88CB,善捷段,7.27,都市：商,100000,119,持分移轉,00620000
RPXQMLLKKIGGFHH98CB,善捷段,15.27,都市：商,100000,250,持分移轉,00620000
RPORMLLKKIGGFHH18CB,善捷段,16.51,都市：住,100000,250,持分移轉,02000000
RPPRMLLKKIGGFHH28CB,善捷段,16.65,都市：住,100000,252,持分移轉,02000000
RPVQMLLKKIGGFHH78CB,善捷段,14.66,都市：商,100000,240,持分移轉,00620000
RPRRMLLKKIGGFHH48CB,善捷段,12.42,都市：住,100000,188,持分移轉,02000000
RPSRMLLKKIGGFHH58CB,善捷段,16.45,都市：住,100000,380,持分移轉,01720000
RPQRMLLKKIGGFHH38CB,樂捷段,20.21,都市：住,100000,467,持分移轉,01720000
RPUQMLLKKIGGFHH68CB,善捷段,14.30,都市：商,100000,234,持分移轉,00620000
RPTRMLLKKIGGFHH68CB,樂捷段,12.51,都市：住,100000,289,持分移轉,01720000
RPVRMLLKKIGGFHH88CB,善捷段,6.17,都市：商,100000,101,持分移轉,00620000
