編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWOMLNKKIGGFGH88CC,3,75.36,住家用,鋼筋混凝土造,107年10月23日,十四層,
RPWOMLNKKIGGFGH88CC,3,58.83,共有部份,鋼筋混凝土造,107年10月23日,十四層,
RPWOMLNKKIGGFGH88CC,3,19.08,共有部份,鋼筋混凝土造,107年10月23日,十四層,
RPWNMLNKKIGGFGH78CC,45,98.46,住家用,加強磚造,65年9月11日,二層,
RPPNMLNKKIGGFGH08CC,1,92.11,集合住宅,鋼筋混凝土造,109年11月24日,七層,
RPPNMLNKKIGGFCH67CC,20,128.38,集合住宅,鋼筋混凝土造,91年3月20日,十一層,
RPPNMLNKKIGGFGH08CC,1,47.98,共有部份,鋼筋混凝土造,109年11月24日,七層,
RPPNMLNKKIGGFGH08CC,1,22.22,共有部份,鋼筋混凝土造,109年11月24日,七層,
RPPNMLNKKIGGFCH67CC,20,71.56,共有部份,鋼筋混凝土造,91年3月20日,十一層,
RPQQMLNKKIGGFFH38CC,27,21.99,車庫，住宅,鋼筋混凝土造,83年6月18日,四層,
RPPNMLLKKIGGFGH87CC,42,49.58,住家用,鋼筋混凝土造,68年8月6日,三層,
RPVOMLNKKIGGFGH78CC,5,83.63,住家用,鋼筋混凝土造,105年7月1日,十五層,
RPVOMLNKKIGGFGH78CC,5,38.68,共有部份,鋼筋混凝土造,105年7月1日,十五層,
RPQNMLNKKIGGFFH08CC,7,54.09,住家用,鋼筋混凝土造,104年4月20日,十五層,
RPQNMLNKKIGGFFH08CC,7,25.45,本共有部分之項目有：停車空間、防空避難室兼停車空間、管理室管委會使用空間、門廳、排煙室、機房、水箱等共七項,鋼筋混凝土造,104年4月20日,十五層,
RPWPMLNKKIGGFFH88CC,29,98.99,住家用,鋼筋混凝土造,81年5月29日,九層,
RPWPMLNKKIGGFFH88CC,29,8.38,共有部份,鋼筋混凝土造,81年5月29日,九層,
RPWPMLNKKIGGFFH88CC,29,9.19,共有部份,鋼筋混凝土造,81年5月29日,九層,
RPPQMLNKKIGGFFH28CC,42,25.55,店舖，住宅，人行道,鋼筋混凝土，加強磚造,68年7月1日,三層,
RPRQMLNKKIGGFFH48CC,27,21.99,車庫，住宅,鋼筋混凝土造,83年6月18日,四層,
RPQNMLNKKIGGFDH87CC,16,74.16,住家用,鋼筋混凝土造,95年3月5日,九層,
RPRTMLNKKIGGFAH28CC,2,73.52,住家用,鋼筋混凝土造,109年5月7日,十二層,
RPRTMLNKKIGGFAH28CC,2,39.24,本共有部分之項目有：停車空間、防空避難室兼停車空間、供管委會使用空間、梯間、機房、水箱等六項。,鋼筋混凝土造,109年5月7日,十二層,
RPUPMLNKKIGGFDH48CC,27,25.98,住家用,鋼筋混凝土造,84年3月24日,十五層,
RPUPMLNKKIGGFDH48CC,27,10.27,共有部份,鋼筋混凝土造,84年3月24日,十五層,
RPUPMLNKKIGGFDH48CC,27,5.54,共有部份,鋼筋混凝土造,84年3月24日,十五層,
RPSQMLNKKIGGFFH58CC,42,22.34,住商用,鋼筋混凝土造,68年12月15日,四層,
RPTNMLNKKIGGFAH87CC,25,31.95,辦公室,鋼筋混凝土造,86年3月22日,二十一層,
RPTNMLNKKIGGFAH87CC,25,8.68,共有部份,鋼筋混凝土造,86年3月22日,二十一層,
