鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市盧厝里2鄰,37.13,農,,,1101212,土地1建物1車位1,二層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,101.32,2,2,1,有,無,5960000,62179,一樓平面,21.55,1000000,,RPPNMLMKKIGGFAI37CB,百富北歐巧寓,2FB2號
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康11街,34.03,住,,,1101124,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,見其他登記事項,,100.46,2,2,2,有,無,6500000,64644,坡道機械,6.87,450000,房屋面積以地政機關登記完竣之面積為準,RPQNMLNKKIGGFAI57CB,御安13期AB棟,6B5棟0號
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市東區五福街,40.53,住,,,1101119,土地2建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,153.53,3,2,2,有,無,9530000,70600,坡道平面,32.0,950000,,RPRNMLNKKIGGFAI67CB,森擎集合住宅,5I號
嘉義市,房地(土地+建物),嘉義市嘉義市環湖一街,93.21,其他,,,1101211,土地2建物1車位0,全,3,店面(店鋪),住商用,鋼筋混凝土造,,152.57,3,2,4,有,無,9800000,64233,,0.0,0,,RPSNMLNKKIGGFAI77CB,湖美豪棧,B棟12號
嘉義市,房地(土地+建物),嘉義市嘉義市順興三街,125.2,住,,,1101128,土地1建物1車位0,全,3,透天厝,住家用,見其他登記事項,,242.79,4,3,4,有,無,14700000,60546,,0.0,0,房屋面積以地政機關登記完竣之面積為準,RPQNMLOKKIGGFAI67CB,御安16期,A5棟0號
嘉義市,房地(土地+建物),嘉義市嘉義市東區五福街,111.52,住,,,1101122,土地2建物1車位0,一至四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,236.44,5,2,5,有,無,18000000,76129,,0.0,0,,RPRNMLOKKIGGFAI77CB,森擎集合住宅,A16號
嘉義市,房地(土地+建物),嘉義市嘉義市東區五福街,31.81,住,,,1101123,土地2建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.86,2,2,1,有,無,6280000,72300,,0.0,0,,RPSNMLOKKIGGFAI87CB,森擎集合住宅,4C號
嘉義市,房地(土地+建物),嘉義市嘉義市東區五福街,31.07,住,,,1101123,土地2建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,83.83,2,2,1,有,無,6380000,76106,,0.0,0,,RPTNMLOKKIGGFAI97CB,森擎集合住宅,6D號
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市東區五福街,41.95,住,,,1101123,土地2建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,159.27,3,2,2,有,無,9850000,68751,坡道平面,32.0,1100000,,RPUNMLOKKIGGFAI08CB,森擎集合住宅,5J號
