編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVOMLOKKIGGFAI38CC,26,127.84,住家用,鋼筋混凝土造,84年10月4日,十一層,
RPORMLPKKIGGFAI08CC,62,22.89,商業用,磚造,49年1月1日,一層,
RPUOMLOKKIGGFAI28CC,30,121.65,住家用,鋼筋混凝土造,81年5月8日,十二層,
RPRNMLLKKIGGFAI57CC,24,89.09,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPRNMLLKKIGGFAI57CC,24,16.26,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPRNMLLKKIGGFAI57CC,24,19.39,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPUNMLQKKIGGFAI38CC,29,78.43,住家用,鋼筋混凝土造,81年9月14日,九層,
RPWOMLOKKIGGFAI48CC,30,51.82,住家用,鋼筋混凝土造,80年11月2日,八層,
RPVNMLQKKIGGFAI48CC,29,31.51,住家用,鋼筋混凝土造,82年4月26日,六層,
RPWNMLQKKIGGFAI58CC,33,43.22,住家用,鋼筋混凝土造,78年1月17日,七層,
RPXNMLQKKIGGFAI68CC,17,187.93,住家用,鋼筋混凝土造,93年10月28日,十二層,
RPSOMLRKKIGGFAI38CC,30,174.87,住商用,鋼筋混凝土造,80年6月27日,十五層,
RPROMLRKKIGGFAI28CC,32,149.66,住家用,鋼筋混凝土造,79年1月12日,七層,
RPPNMLLLKIGGFAI47CC,44,99.22,住商用,鋼筋混凝土造,67年6月8日,三層,
RPVOMLRKKIGGFAI68CC,37,41.66,住家用,鋼筋混凝土造,73年11月29日,六層,
RPRNMLMLKIGGFAI77CC,36,98.36,住家用,鋼筋混凝土造,75年4月23日,五層,
RPUNMLLLKIGGFAI97CC,19,247.53,辦公室,鋼筋混凝土造,92年5月12日,十層,
RPUNMLMLKIGGFAI08CC,29,121.48,住家用,鋼筋混凝土造,81年8月24日,七層,
RPSNMLMLKIGGFAI87CC,29,39.51,住家用,鋼筋混凝土造,82年6月9日,十六層,
RPQNMLLLKIGGFAI57CC,1,93.67,辦公室,鋼筋混凝土構造,110年3月12日,九層,
RPVNMLMLKIGGFAI18CC,17,213.98,住家用,鋼筋混凝土造,93年10月29日,十四層,
RPVNMLNLKIGGFAI28CC,29,59.16,住家用,鋼筋混凝土造,82年6月9日,十六層,
RPXNMLMLKIGGFAI38CC,47,74.77,住商用,木造,63年12月4日,二層,
RPQNMLNLKIGGFAI77CC,30,68.45,住家用,鋼筋混凝土造,80年11月2日,八層,
RPRNMLKMKIGGFAI67CC,24,59.51,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPRNMLKMKIGGFAI67CC,24,11.52,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPRNMLKMKIGGFAI67CC,24,12.92,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPWNMLOLKIGGFAI48CC,29,140.48,住商用,鋼筋混凝土造,81年11月17日,七層,
RPQOMLNJJHHGFAI57CC,54,77.77,住家用,木造,57年2月17日,二層,
RPVNMLSLKIGGFAI78CC,41,87.84,集合住宅,鋼筋混凝土加強磚造,69年9月17日,四層,
RPOOMLTLKIGGFAI28CC,6,19.80,店舖、住宅,鋼筋混凝土構造,105年3月3日,五層,
RPROMLNJJHHGFAI67CC,53,65.87,住家用,鋼筋補強磚木造,57年7月18日,一層,
RPXOMLQJJHHGFAI58CC,27,32.77,住商用,鋼筋混凝土造,83年7月8日,五層,
RPWNMLLKJHHGFAI97CC,19,285.08,辦公室,鋼筋混凝土造,92年5月12日,十層,
RPWNMLLKJHHGFAI97CC,19,247.53,辦公室,鋼筋混凝土造,92年5月12日,十層,
RPOPMLQJJHHGFAI77CC,27,32.77,住商用,鋼筋混凝土造,83年7月8日,五層,
RPOOMLLKJHHGFAI27CC,2,26.33,住家用,鋼筋混凝土構造,108年11月25日,五層,
RPXNMLLKJHHGFAI08CC,2,30.55,住家用,鋼筋混凝土構造,108年11月25日,五層,
RPVOMLLKJHHGFAI97CC,50,69.98,住家用,木造,61年6月2日,二層,
