編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVOMLOKKIGGFAI38CC,遠東段,.00,都市：住,,,,00680007
RPORMLPKKIGGFAI08CC,黑金段,30.00,都市：住,,,,00260010
RPUOMLOKKIGGFAI28CC,彌陀段,.00,都市：住,,,,05820000
RPORMLPKKIGGFAI08CC,黑金段,5.00,都市：住,,,,00250008
RPRNMLLKKIGGFAI57CC,新太平段,15.40,都市：住,,,,05410000
RPUNMLQKKIGGFAI38CC,車店段,.00,都市：住,,,,03280001
RPWOMLOKKIGGFAI48CC,北門段七小段,.00,都市：商,,,,00040000
RPVNMLQKKIGGFAI48CC,西門段四小段,.00,都市：商,,,,00800000
RPWNMLQKKIGGFAI58CC,車店段車店小段,.00,都市：住,,,,00450000
RPXNMLQKKIGGFAI68CC,白川段,.00,都市：住,,,,00140001
RPSOMLRKKIGGFAI38CC,興村段,.00,都市：商,,,,01490001
RPROMLRKKIGGFAI28CC,新太平段,.00,都市：住,,,,06450000
RPPNMLLLKIGGFAI47CC,竹圍子段,66.00,都市：住,,,,02500090
RPVOMLRKKIGGFAI68CC,盧厝段,.00,都市：住,,,,02550000
RPRNMLMLKIGGFAI77CC,宣信段,.00,都市：住,,,,02200000
RPUNMLLLKIGGFAI97CC,竹圍子段,.00,非都市： ; 非都市編定：,,,,00900003
RPUNMLLLKIGGFAI97CC,竹圍子段,.00,非都市： ; 非都市編定：,,,,00900014
RPUNMLMLKIGGFAI08CC,竹圍子段三小段,.00,都市：住,,,,01030000
RPSNMLMLKIGGFAI87CC,短竹段,.00,都市：住,,,,09120071
RPQNMLLLKIGGFAI57CC,湖子內段興安小段,18.02,都市：住,,,,01080000
RPQNMLLLKIGGFAI57CC,湖子內段興安小段,.59,都市：住,,,,01080001
RPQNMLLLKIGGFAI57CC,湖子內段興安小段,.06,都市：住,,,,01080002
RPQNMLLLKIGGFAI57CC,湖子內段興安小段,1.10,都市：住,,,,01080003
RPQNMLLLKIGGFAI57CC,湖子內段興安小段,.08,都市：住,,,,01080004
