編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLMKKIGGFDJ97CB,坡道平面,1250000,24.90,地下一樓
RPQNMLMKKIGGFDJ87CB,坡道平面,1250000,24.90,地下一樓
RPQNMLNKKIGGFDJ97CB,坡道平面,730000,22.43,地下二樓
RPUNMLNKKIGGFDJ38CB,坡道平面,730000,22.43,地下二樓
RPPNMLNKKIGGFDJ87CB,坡道平面,770000,22.43,地下一樓
RPPNMLMKKIGGFDJ77CB,坡道平面,1200000,23.78,地下一樓
RPRNMLNKKIGGFDJ08CB,坡道平面,730000,22.43,地下二樓
RPPNMLNKKIGGFBJ67CB,坡道平面,2100000,32.07,地下二樓
RPPNMLOKKIGGFDJ97CB,坡道平面,840000,26.72,地下一樓
RPQNMLOKKIGGFDJ08CB,坡道平面,890000,29.49,地下一樓
RPRNMLOKKIGGFDJ18CB,坡道平面,1000000,33.05,地下一樓
RPSNMLOKKIGGFDJ28CB,坡道平面,1000000,31.78,地下一樓
RPTNMLOKKIGGFDJ38CB,坡道平面,1000000,31.78,地下一樓
RPXOMLOKKIGGFDJ88CB,坡道平面,1000000,31.78,地下一樓
RPUNMLOKKIGGFDJ48CB,坡道平面,1000000,31.78,地下一樓
RPXNMLOKKIGGFDJ78CB,坡道平面,1000000,31.78,地下一樓
RPTPMLOKKIGGFDJ58CB,坡道平面,1000000,33.05,地下一樓
RPUPMLOKKIGGFDJ68CB,坡道平面,1000000,31.78,地下一樓
RPQNMLOKKIGGFCJ97CB,坡道平面,1250000,29.28,地下一樓
RPVPMLOKKIGGFDJ78CB,坡道平面,1000000,31.78,地下一樓
RPRNMLOKKIGGFCJ08CB,坡道平面,1000000,28.21,地下二樓
RPPNMLOKKIGGFCJ87CB,坡道平面,1100000,29.28,地下二樓
RPTNMLOKKIGGFCJ28CB,坡道平面,1150000,29.28,地下二樓
RPSNMLOKKIGGFCJ18CB,坡道平面,1100000,29.28,地下二樓
RPWNMLOKKIGGFCJ58CB,坡道平面,1150000,29.28,地下二樓
RPUNMLOKKIGGFCJ38CB,坡道平面,1000000,28.21,地下二樓
RPPOMLOKKIGGFCJ97CB,坡道平面,1100000,29.28,地下二樓
RPVNMLOKKIGGFCJ48CB,坡道平面,1100000,29.28,地下二樓
RPXNMLOKKIGGFCJ68CB,坡道平面,1000000,28.21,地下二樓
RPOOMLOKKIGGFCJ87CB,坡道平面,1100000,29.28,地下二樓
RPQOMLOKKIGGFCJ08CB,坡道平面,1250000,29.28,地下一樓
RPROMLOKKIGGFCJ18CB,坡道平面,1100000,29.28,地下二樓
RPSOMLOKKIGGFCJ28CB,坡道平面,1150000,29.28,地下二樓
RPTOMLOKKIGGFCJ38CB,坡道平面,1100000,29.28,地下二樓
RPXOMLOKKIGGFCJ78CB,坡道平面,1150000,29.28,地下二樓
RPUOMLOKKIGGFCJ48CB,坡道平面,1100000,29.28,地下二樓
RPPPMLOKKIGGFCJ08CB,坡道平面,1100000,29.28,地下二樓
RPWOMLOKKIGGFCJ68CB,坡道平面,1100000,29.28,地下二樓
RPOPMLOKKIGGFCJ97CB,坡道平面,1100000,29.28,地下二樓
RPVOMLOKKIGGFCJ58CB,坡道平面,1000000,28.21,地下二樓
RPQPMLOKKIGGFCJ18CB,坡道平面,1100000,29.28,地下二樓
RPSPMLOKKIGGFCJ38CB,坡道平面,1200000,29.28,地下一樓
RPTPMLOKKIGGFCJ48CB,坡道平面,1250000,29.28,地下一樓
RPVPMLOKKIGGFCJ68CB,坡道平面,1100000,29.28,地下二樓
RPRPMLOKKIGGFCJ28CB,坡道平面,1150000,29.28,地下二樓
RPPQMLOKKIGGFCJ18CB,坡道平面,1150000,29.28,地下二樓
RPUPMLOKKIGGFCJ58CB,坡道平面,1150000,29.28,地下二樓
RPXPMLOKKIGGFCJ88CB,坡道平面,1250000,29.28,地下一樓
RPWPMLOKKIGGFCJ78CB,坡道平面,1200000,29.28,地下一樓
RPOQMLOKKIGGFCJ08CB,坡道平面,1200000,29.28,地下一樓
RPRQMLOKKIGGFCJ38CB,坡道平面,1100000,29.28,地下二樓
RPQQMLOKKIGGFCJ28CB,坡道平面,1250000,29.28,地下一樓
RPUQMLOKKIGGFCJ68CB,坡道平面,1200000,29.28,地下一樓
RPTQMLOKKIGGFCJ58CB,坡道平面,1100000,29.28,地下二樓
RPSQMLOKKIGGFCJ48CB,坡道平面,1200000,29.28,地下一樓
RPPRMLOKKIGGFCJ28CB,坡道平面,1100000,29.28,地下二樓
RPQRMLOKKIGGFCJ38CB,坡道平面,1250000,29.28,地下一樓
RPXQMLOKKIGGFCJ98CB,坡道平面,1100000,29.28,地下二樓
RPVQMLOKKIGGFCJ78CB,坡道平面,1200000,29.28,地下一樓
RPRRMLOKKIGGFCJ48CB,一樓平面,0,,一樓
RPWQMLOKKIGGFCJ88CB,坡道平面,1100000,29.28,地下二樓
RPORMLOKKIGGFCJ18CB,坡道平面,1100000,29.28,地下二樓
RPSRMLOKKIGGFCJ58CB,坡道平面,1200000,29.28,地下一樓
RPTRMLOKKIGGFCJ68CB,坡道平面,1100000,29.28,地下二樓
RPPSMLOKKIGGFCJ38CB,坡道平面,1250000,29.28,地下一樓
RPVRMLOKKIGGFCJ88CB,坡道平面,1200000,29.28,地下一樓
RPXRMLOKKIGGFCJ09CB,坡道平面,1150000,29.28,地下二樓
RPURMLOKKIGGFCJ78CB,坡道平面,1250000,29.28,地下一樓
RPOSMLOKKIGGFCJ28CB,坡道平面,1250000,29.28,地下一樓
RPWRMLOKKIGGFCJ98CB,坡道平面,1150000,29.28,地下二樓
RPQSMLOKKIGGFCJ48CB,坡道平面,1150000,29.28,地下二樓
RPPNMLPKKIGGFDJ08CB,坡道平面,840000,26.72,地下一樓
RPPNMLPKKIGGFDJ08CB,坡道平面,840000,26.72,地下一樓
RPQNMLPKKIGGFDJ18CB,坡道平面,780000,26.72,地下二樓
RPQNMLPKKIGGFBJ97CB,坡道平面,1450000,31.66,地下一樓
RPPNMLPKKIGGFBJ87CB,坡道平面,1250000,30.59,地下三樓
RPRNMLPKKIGGFDJ28CB,坡道平面,780000,26.72,地下二樓
RPTNMLPKKIGGFBJ28CB,坡道平面,1400000,31.66,地下二樓
RPRNMLPKKIGGFBJ08CB,坡道平面,1250000,30.59,地下三樓
RPUNMLPKKIGGFBJ38CB,坡道平面,1300000,32.88,地下三樓
RPVNMLPKKIGGFBJ48CB,坡道平面,1450000,31.66,地下一樓
RPSNMLPKKIGGFBJ18CB,坡道平面,1250000,31.66,地下三樓
RPXNMLPKKIGGFBJ68CB,坡道平面,1300000,31.66,地下二樓
RPWNMLPKKIGGFBJ58CB,坡道平面,1400000,31.66,地下二樓
RPWNMLPKKIGGFBJ58CB,坡道平面,1400000,31.66,地下二樓
RPPOMLPKKIGGFBJ97CB,坡道平面,1400000,31.66,地下二樓
RPPOMLPKKIGGFBJ97CB,坡道平面,1350000,31.66,地下二樓
RPROMLPKKIGGFBJ18CB,坡道平面,1150000,34.25,地下二樓
RPROMLPKKIGGFBJ18CB,坡道平面,1150000,34.25,地下二樓
RPQOMLPKKIGGFBJ08CB,坡道平面,1400000,31.66,地下二樓
RPSOMLPKKIGGFBJ28CB,坡道平面,1400000,31.66,地下二樓
RPUOMLPKKIGGFBJ48CB,坡道平面,1250000,31.66,地下三樓
