編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPPMLNKKIGGFCJ08CC,,80.06,住家用,鋼筋混凝土造,,五層,
RPUOMLNKKIGGFBJ38CC,13,84.49,住家用,鋼筋混凝土造,97年6月27日,14,
RPUOMLNKKIGGFBJ38CC,13,19.67,共用部分,鋼筋混凝土造,97年6月27日,十四層,
RPUOMLNKKIGGFBJ38CC,13,17.08,共用部分,鋼筋混凝土造,97年6月27日,14,
RPUNMLOKKIGGFCJ48CC,24,69.70,住家用,鋼筋混凝土造,86年9月15日,五層,
RPSPMLOKKIGGFDJ58CC,29,70.76,住家用,鋼筋混凝土造,81年10月13日,五層,
RPSPMLOKKIGGFDJ58CC,29,7.97,共用部分,鋼筋混凝土造,81年11月21日,五層,
RPUNMLOKKIGGFCJ48CC,24,12.60,共用部分,鋼筋混凝土造,86年9月15日,五層,
RPUNMLOKKIGGFCJ48CC,24,12.74,共用部分,鋼筋混凝土造,86年9月15日,五層,
RPUOMLOKKIGGFBJ48CC,29,106.24,住家用,鋼筋混凝土造,82年5月1日,七層,
RPUOMLOKKIGGFBJ48CC,29,13.14,共用部分,鋼筋混凝土造,82年5月1日,七層,
RPQPMLNKKIGGFBJ08CC,20,170.56,住家用,鋼筋混凝土造,91年2月5日,三層,
RPROMLPKKIGGFCJ38CC,29,78.96,住家用,鋼筋混凝土造,82年1月6日,六層,
RPOQMLOKKIGGFBJ08CC,10,117.97,住家用,鋼筋混凝土造,100年11月28日,十九層,
RPROMLPKKIGGFCJ38CC,29,25.50,共用部分,鋼筋混凝土造,82年1月6日,六層,
RPOQMLOKKIGGFBJ08CC,10,28.47,本共有部分之項目有樓梯間、水箱、機房等３項,鋼筋混凝土造,100年11月28日,十九層,
RPOQMLOKKIGGFBJ08CC,10,80.34,本共有部份之項目有防空避難室兼停車空間、樓梯間、水箱、機房、停車空間及供公眾停車空間、管理員室、頂蓋型廣場式開放空間、健身娛樂室等８項,鋼筋混凝土造,100年11月28日,十九層,
RPPQMLOKKIGGFBJ18CC,3,81.17,住家用,鋼筋混凝土造,107年10月26日,十五層,
RPSOMLQKKIGGFBJ48CC,11,158.28,住商用,鋼筋混凝土造,99年11月18日,四層,
RPSOMLQKKIGGFBJ48CC,11,158.28,住商用,鋼筋混凝土造,99年11月18日,四層,
