編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPPMLNKKIGGFCJ08CC,仁愛段,.00,都市：住,,,,05070020
RPUOMLNKKIGGFBJ38CC,站前段,.00,都市：商,,,,01880000
RPUNMLOKKIGGFCJ48CC,四重段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,09140000
RPSPMLOKKIGGFDJ58CC,中興段復興小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,06090000
RPUOMLOKKIGGFBJ48CC,縣福段,.00,都市：商,,,,01750000
RPQPMLNKKIGGFBJ08CC,台元段,72.42,都市：住,,,,05820043
RPROMLPKKIGGFCJ38CC,志學段,.00,都市：住,,,,06510000
RPOQMLOKKIGGFBJ08CC,自強段,.00,都市：住,,,,02940000
RPROMLPKKIGGFCJ38CC,志學段,.00,都市：住,,,,06510001
RPPQMLOKKIGGFBJ18CC,台科段,16.10,都市：住,,,,00240000
RPSOMLQKKIGGFBJ48CC,大學段,156.76,都市：住,,,,00760000
RPSOMLQKKIGGFBJ48CC,大學段,157.51,都市：住,,,,00770000
RPTOMLRKKIGGFBJ68CC,莊敬段,.00,都市：住,,,,00800000
RPSNMLRKKIGGFBJ48CC,莊敬段,.00,都市：住,,,,05460000
RPQPMLKLKIGGFBJ87CC,大學段,.00,都市：商,,,,00390000
RPUNMLRKKIGGFCJ78CC,東寧段,.00,都市：住,,,,16590000
RPXOMLRKKIGGFBJ09CC,大學段,.00,都市：商,,,,02180000
RPXNMLLLKIGGFDJ68CC,振興段,.00,都市：住,,,,09200000
RPRPMLKLKIGGFBJ97CC,家興段,.00,都市：住,,,,03440000
RPPOMLMLKIGGFDJ08CC,光華段,.00,都市：住,,,,08280000
RPUOMLMLKIGGFCJ48CC,旭光段,26.02,都市：其他:謄本標示空白,,,,01900002
RPUPMLOLKIGGFCJ78CC,重光段,.00,都市：住,,,,01570000
RPUOMLOLKIGGFBJ58CC,台元段,.00,都市：工,,,,06350000
RPVPMLOLKIGGFDJ98CC,永安段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,05230000
RPSOMLOLKIGGFBJ38CC,台元段,.00,都市：工,,,,06350000
RPXOMLOLKIGGFBJ88CC,縣福段,84.63,都市：住,,,,06070001
RPQNMLPLKIGGFBJ18CC,公園段,.00,都市：住,,,,03290000
RPQNMLPLKIGGFBJ18CC,公園段,.00,都市：住,,,,03300000
RPQNMLPLKIGGFBJ18CC,公園段,.00,都市：住,,,,03310000
RPQNMLPLKIGGFBJ18CC,公園段,.00,都市：住,,,,03320000
RPQNMLPLKIGGFBJ18CC,公園段,.00,都市：住,,,,03330000
RPVOMLOLKIGGFBJ68CC,台元段,.00,都市：工,,,,06610000
RPSNMLRLKIGGFBJ58CC,大學段,.00,都市：商,,,,02140000
RPQOMLSLKIGGFBJ58CC,台元段,.00,都市：工,,,,06110000
RPROMLSLKIGGFBJ68CC,台元段,.00,都市：工,,,,06350000
RPRPMLSLKIGGFBJ78CC,隘興段,.00,都市：住,,,,03280000
RPSPMLSLKIGGFBJ88CC,公園段,15.00,都市：住,,,,03290000
RPUNMLKMKIGGFBJ18CC,站前段,.00,都市：商,,,,07610000
RPUNMLKMKIGGFBJ18CC,站前段,.00,都市：其他:道路用地,,,,07610001
RPUOMLTLKIGGFBJ09CC,隘興段,.00,都市：住,,,,04410000
RPWNMLKMKIGGFBJ38CC,隘興段,.00,非都市： ; 非都市編定：,,,,04410000
RPROMLKMKIGGFBJ97CC,站後段,.00,都市：商,,,,04840000
RPTPMLSLKIGGFBJ98CC,站後段,469.40,都市：住,,,,11610000
RPPOMLKMKIGGFBJ77CC,隘興段,.00,都市：商,,,,04080000
RPRQMLKMKIGGFDJ38CC,長嶺段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,16250000
RPPSMLKMKIGGFDJ38CC,中興段中興小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01120000
RPTPMLKMKIGGFDJ48CC,中興段中興小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,01350006
RPQSMLKMKIGGFDJ48CC,明新段,.00,都市：住,,,,07180000
RPWOMLNJJHHGFBJ38CC,自強段,.00,都市：住,,,,02230002
RPQOMLKMKIGGFCJ97CC,重光段,.00,都市：住,,,,01570000
RPUNMLOJJHHGFBJ18CC,莊敬段,.00,都市：商,,,,07160000
RPUOMLPJJHHGFBJ38CC,大學段,.00,都市：商,,,,02200000
RPXOMLQJJHHGFBJ78CC,永興段,.00,都市：商,,,,05060000
RPVOMLQJJHHGFBJ58CC,自強段,.00,都市：住,,,,03730000
RPWOMLQJJHHGFBJ68CC,大學段,.00,都市：商,,,,00250000
