編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLNKKIGGFBK87CB,坡道平面,0,22.09,地下一樓
RPPNMLMKKIGGFCK87DB,一樓平面,600000,13.75,一樓
RPSNMLNKKIGGFBK08CB,坡道平面,800000,13.75,地下一樓
RPPNMLNKKIGGFBK77CB,一樓平面,0,23.34,一樓
RPRNMLNKKIGGFBK97CB,一樓平面,800000,13.75,一樓
RPTNMLNKKIGGFBK18CB,坡道平面,800000,13.75,地下一樓
RPUNMLNKKIGGFBK28CB,坡道平面,550000,13.75,地下一樓
RPUNMLNKKIGGFBK28CB,坡道平面,550000,13.75,地下一樓
RPQNMLOKKIGGFBK08DB,坡道機械,400000,10.42,地下一樓
RPQNMLOKKIGGFBK97CB,一樓平面,0,22.09,一樓
RPROMLOKKIGGFFK58CB,坡道平面,1150000,31.60,地下一樓
RPPNMLOKKIGGFBK87CB,坡道平面,0,22.09,地下一樓
RPTOMLOKKIGGFFK78CB,坡道平面,1150000,31.60,地下一樓
RPSOMLOKKIGGFFK68CB,坡道平面,1150000,31.60,地下一樓
RPQOMLOKKIGGFFK48CB,坡道平面,1050000,31.60,地下二樓
RPPOMLOKKIGGFFK38CB,坡道平面,950000,31.60,地下三樓
RPPNMLPKKIGGFBK97CB,坡道平面,0,23.34,地下一樓
RPVOMLOKKIGGFFK98CB,坡道平面,1150000,31.60,地下一樓
RPUOMLOKKIGGFFK88CB,坡道平面,1150000,31.60,地下一樓
RPQNMLPKKIGGFDK28CB,其他,0,,一樓
RPQNMLPKKIGGFBK08CB,坡道平面,0,22.09,地下一樓
RPQNMLQKKIGGFDK38CB,一樓平面,800000,11.57,一樓
RPTNMLQKKIGGFDK68CB,一樓平面,800000,11.57,一樓
RPSNMLQKKIGGFDK58CB,一樓平面,850000,11.57,一樓
RPRNMLQKKIGGFDK48CB,一樓平面,800000,11.57,一樓
RPVNMLQKKIGGFDK88CB,一樓平面,850000,11.57,一樓
RPPNMLQKKIGGFCK18CB,升降機械,450000,7.44,地下一樓
RPQNMLQKKIGGFCK28CB,升降機械,700000,7.44,地下一樓
RPVNMLRKKIGGFCK88CB,一樓平面,0,,一樓
RPUNMLRKKIGGFCK78CB,一樓平面,0,,一樓
RPTNMLRKKIGGFCK68CB,一樓平面,0,,一樓
RPPNMLRKKIGGFBK18CB,一樓平面,0,,一樓
RPQNMLRKKIGGFBK28CB,一樓平面,0,,一樓
RPWNMLRKKIGGFCK98CB,一樓平面,0,,一樓
RPRNMLRKKIGGFBK38CB,一樓平面,0,,一樓
RPPNMLRKKIGGFFK58CB,一樓平面,0,,一樓
RPQNMLRKKIGGFFK68CB,一樓平面,0,,一樓
RPPNMLKLKIGGFDK77CB,一樓平面,0,15.00,一樓
RPPOMLKLKIGGFDK87CB,一樓平面,0,,一樓
RPQNMLLLKIGGFFK18CB,一樓平面,0,,一樓
RPPNMLLLKIGGFFK08CB,一樓平面,0,,一樓
RPPNMLLLKIGGFBK67CB,坡道平面,0,22.09,地下一樓
RPTNMLLLKIGGFFK48CB,一樓平面,0,,一樓
RPRNMLLLKIGGFFK28CB,一樓平面,0,,一樓
RPSNMLLLKIGGFFK38CB,一樓平面,0,,一樓
RPRNMLMLKIGGFBK97CB,升降機械,0,,地下一樓
RPTNMLMLKIGGFBK18CB,升降機械,0,,地下一樓
RPSNMLMLKIGGFBK08CB,升降機械,0,,地下一樓
RPPNMLMLKIGGFFK18CB,一樓平面,1100000,12.50,一樓
RPSNMLNLKIGGFFK58CB,一樓平面,1100000,12.50,一樓
RPQNMLNLKIGGFDK18CB,一樓平面,750000,14.38,一樓
RPTNMLNLKIGGFFK68CB,一樓平面,1100000,12.50,一樓
RPUNMLNLKIGGFFK78CB,一樓平面,1100000,12.50,一樓
RPRNMLNLKIGGFFK48CB,一樓平面,1300000,22.18,一樓
RPVNMLNLKIGGFFK88CB,一樓平面,1100000,12.50,一樓
RPWNMLNLKIGGFFK98CB,一樓平面,1100000,12.50,一樓
RPPOMLNLKIGGFFK38CB,一樓平面,1100000,12.50,一樓
RPXNMLNLKIGGFFK09CB,一樓平面,1100000,12.50,一樓
RPROMLNLKIGGFFK58CB,一樓平面,1100000,12.50,一樓
RPOOMLNLKIGGFFK28CB,一樓平面,1100000,12.50,一樓
RPSOMLNLKIGGFFK68CB,一樓平面,1100000,12.50,一樓
RPQOMLNLKIGGFFK48CB,一樓平面,1100000,12.50,一樓
RPTOMLNLKIGGFFK78CB,一樓平面,1100000,12.50,一樓
RPUOMLNLKIGGFFK88CB,一樓平面,1100000,12.50,一樓
RPVOMLNLKIGGFFK98CB,一樓平面,1100000,12.50,一樓
RPWOMLNLKIGGFFK09CB,一樓平面,1100000,12.50,一樓
RPQNMLOLKIGGFDK28CB,一樓平面,0,,一樓
RPRNMLOLKIGGFDK38CB,一樓平面,0,,一樓
RPPNMLOLKIGGFDK18CB,一樓平面,0,,一樓
RPSNMLOLKIGGFDK48CB,一樓平面,0,,一樓
RPTNMLOLKIGGFBK38CB,一樓平面,0,,一樓
RPSNMLOLKIGGFFK68CB,一樓平面,1200000,21.43,一樓
RPSNMLOLKIGGFFK68CB,一樓平面,1200000,21.43,一樓
RPVNMLOLKIGGFBK58CB,一樓平面,0,,一樓
RPSNMLOLKIGGFBK28CB,一樓平面,0,,一樓
RPPNMLRLKIGGFBK28CB,一樓平面,0,,一樓
RPPNMLRLKIGGFDK48CB,坡道平面,1400000,27.00,地下二樓
RPQNMLRLKIGGFBK38CB,一樓平面,0,13.75,一樓
RPUNMLOLKIGGFBK48CB,一樓平面,0,,一樓
RPSNMLRLKIGGFDK78CB,坡道平面,1450000,27.00,地下一樓
RPUNMLRLKIGGFDK98CB,坡道平面,1300000,25.90,地下三樓
RPQNMLRLKIGGFDK58CB,坡道平面,1450000,27.00,地下一樓
RPRNMLRLKIGGFDK68CB,坡道平面,1400000,27.00,地下二樓
RPVNMLRLKIGGFDK09CB,坡道平面,1400000,27.00,地下二樓
RPTNMLRLKIGGFDK88CB,坡道平面,1400000,27.00,地下二樓
RPOOMLRLKIGGFDK48CB,坡道平面,1350000,25.90,地下二樓
RPXNMLRLKIGGFDK66CB,坡道平面,1400000,27.00,地下二樓
