編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLPKKIGGFFK88CC,自強段,.00,都市：其他:集合住宅,,,,13930000
RPTOMLLLKIGGFFK68CC,自強段,.00,都市：其他:集合住宅,,,,13930000
RPROMLPKKIGGFDK58CC,龍椅段,.00,都市：其他:集合住宅,,,,05910002
RPUNMLMLKIGGFFK78CC,顯會段,.00,都市：住,,,,05610000
RPXNMLSLKIGGFDK86CC,公園段,120.20,非都市： ; 非都市編定：,,,,00710000
RPWOMLPKKIGGFDK09CC,龍椅段,.00,都市：其他:集合住宅,,,,05910002
RPSOMLSLKIGGFDK09CC,延平段,1132.74,都市：住,,,,05510000
RPXNMLTLKIGGFBK76CC,英才段,.00,都市：其他:單身宿舍員工休息室辦公室廠房,,,,06170000
RPPOMLTLKIGGFBK68CC,英才段,.00,都市：其他:單身宿舍員工休息室辦公室廠房,,,,06170000
RPOOMLTLKIGGFBK58CC,英才段,.00,都市：其他:單身宿舍員工休息室辦公室廠房,,,,06170000
RPQOMLTLKIGGFBK78CC,豐年段,.00,都市：住,,,,05710000
RPROMLNJJHHGFDK18CC,龍鳳東段,92.01,都市：住,,,,09470000
RPWNMLRJJHHGFBK78CC,苗栗段,81.00,都市：住,,,,07560338
RPTNMLOJJHHGFDK38CC,光復段,11.31,都市：住,,,,12150000
RPTNMLKMKIGGFDK38CC,大同段,.00,都市：住,,,,13390000
RPUNMLOJJHHGFBK28CC,恭敬段,98.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,20640000
RPUNMLNKJHHGFBK28CC,華清段,31.08,都市：住,,,,13300000
RPUNMLKKJHHGFBK97CC,文發段,14.05,都市：住,,,,08890000
RPVNMLSKJHHGFBK88CC,文發段,13.12,都市：住,,,,09790000
RPVNMLSKJHHGFBK88CC,文發段,.08,都市：住,,,,09850000
RPWNMLKKJHHGFDK38CC,大同段,40.76,都市：住,,,,11370000
RPUNMLTKJHHGFDK09CC,大同段,33.10,都市：商,,,,11860000
RPPNMLOLJHHGFBK97CC,英才段,613.50,都市：商,,,,05140000
RPSNMLLLJHHGFDK18CC,環市段,.00,都市：住,,,,14070000
RPUNMLKLJHHGFBK08CC,勝利段,.00,都市：住,,,,27470204
RPUNMLKLJHHGFBK08CC,勝利段,.00,都市：住,,,,27470205
RPXOMLKLJHHGFDK68CC,龍椅段,.00,都市：住,,,,05910002
RPSNMLTJKHHGFBK68CC,縣府段,.00,都市：住,,,,05530000
RPSNMLTJKHHGFDK88CC,大同段,17.08,都市：住,,,,07230000
RPRNMLOLJHHGFBK18CC,縣府段,.00,都市：住,,,,06220000
RPQNMLQLJHHGFBK28CC,文峰段,17.50,都市：住,,,,06780000
RPTNMLTJKHHGFFK56CC,光華段,288.01,都市：其他:商業建地,,,,17870000
RPTNMLTJKHHGFFK56CC,光華段,10.23,都市：其他:商業建地,,,,17880000
RPQOMLTJKHHGFDK78CC,環市段,.00,都市：住,,,,11140000
RPVOMLTJKHHGFFK86CC,仁愛段,25.75,都市：住,,,,00480000
RPTNMLKKKHHGFFK38CC,自強段,17.39,都市：住,,,,13930000
RPVPMLKKKHHGFBK38CC,英才段,133.03,都市：住,,,,07070000
RPTNMLLKKHHGFFK48CC,自強段,28.29,都市：住,,,,09260000
RPQNMLPKKHHGFBK18CC,縣府段,17.81,都市：住,,,,03500000
RPXNMLSKKHHGFBK56CC,建功段,291.00,都市：住,,,,06740000
RPXNMLSKKHHGFBK56CC,建功段,802.85,都市：住,,,,06780000
