編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLLKKIGGFBM87CB,新富功段,47.75,都市：住,100000,566,持分移轉,00650000
RPQNMLLKKIGGFBM87CB,新富功段,1.04,都市：住,100000,566,持分移轉,01110000
RPPNMLMKKIGGFBM87CB,新富功段,39.90,都市：住,100000,473,持分移轉,00650000
RPPNMLMKKIGGFBM87CB,新富功段,.87,都市：住,100000,473,持分移轉,01110000
RPPNMLLKKIGGFBM77CB,新富功段,26.24,都市：住,100000,311,持分移轉,00650000
RPPNMLLKKIGGFBM77CB,新富功段,.57,都市：住,100000,311,持分移轉,01110000
RPRNMLMKKIGGFBM08CB,新富功段,28.77,都市：住,100000,341,持分移轉,00650000
RPRNMLMKKIGGFBM08CB,新富功段,.62,都市：住,100000,341,持分移轉,01110000
RPSNMLMKKIGGFBM18CB,新富功段,28.77,都市：住,100000,341,持分移轉,00650000
RPSNMLMKKIGGFBM18CB,新富功段,.62,都市：住,100000,341,持分移轉,01110000
RPTNMLMKKIGGFBM28CB,新富功段,28.77,都市：住,100000,341,持分移轉,00650000
RPTNMLMKKIGGFBM28CB,新富功段,.62,都市：住,100000,341,持分移轉,01110000
RPPNMLOKKIGGFBM08CB,草屯段,22.50,都市：商,100000,512,持分移轉,07370001
RPVNMLMKKIGGFBM48CB,新御史段,51.23,都市：住,1,1,全筆移轉,00540065
RPVNMLMKKIGGFBM48CB,新御史段,1.13,都市：住,100000,915,持分移轉,00540080
RPVNMLMKKIGGFBM48CB,新御史段,5.14,都市：住,100000,1531,持分移轉,00540076
RPVNMLMKKIGGFBM48CB,新御史段,5.08,都市：住,100000,1531,持分移轉,00540069
RPVNMLMKKIGGFBM48CB,新御史段,5.03,都市：住,100000,1531,持分移轉,00540062
RPVNMLMKKIGGFBM48CB,新御史段,.86,都市：住,100000,915,持分移轉,00540060
RPUNMLMKKIGGFBM38CB,新富功段,28.77,都市：住,100000,341,持分移轉,00650000
RPUNMLMKKIGGFBM38CB,新富功段,.62,都市：住,100000,341,持分移轉,01110000
RPQNMLMKKIGGFBM97CB,新富功段,28.68,都市：住,100000,340,持分移轉,00650000
RPQNMLMKKIGGFBM97CB,新富功段,.62,都市：住,100000,340,持分移轉,01110000
RPQNMLOKKIGGFBM18CB,草屯段,22.50,都市：商,100000,512,持分移轉,07370001
RPRNMLOKKIGGFBM28CB,草屯段,22.50,都市：商,100000,512,持分移轉,07370001
RPSNMLOKKIGGFBM38CB,草屯段,22.50,都市：商,100000,512,持分移轉,07370001
RPTNMLOKKIGGFBM48CB,草屯段,22.50,都市：商,100000,512,持分移轉,07370001
RPVNMLOKKIGGFBM68CB,草屯段,22.50,都市：商,100000,512,持分移轉,07370001
RPWNMLOKKIGGFBM78CB,草屯段,22.50,都市：商,100000,512,持分移轉,07370001
RPXNMLOKKIGGFBM88CB,草屯段,22.50,都市：商,100000,512,持分移轉,07370001
RPOOMLOKKIGGFBM08CB,草屯段,23.34,都市：商,100000,531,持分移轉,07370001
RPUNMLOKKIGGFBM58CB,草屯段,22.50,都市：商,100000,512,持分移轉,07370001
RPSOMLOKKIGGFBM48CB,草屯段,22.24,都市：商,100000,506,持分移轉,07370001
RPQOMLOKKIGGFBM28CB,草屯段,22.24,都市：商,100000,506,持分移轉,07370001
RPPOMLOKKIGGFBM18CB,草屯段,23.34,都市：商,100000,531,持分移轉,07370001
RPTOMLOKKIGGFBM58CB,草屯段,22.24,都市：商,100000,506,持分移轉,07370001
RPUOMLOKKIGGFBM68CB,草屯段,22.24,都市：商,100000,506,持分移轉,07370001
RPVOMLOKKIGGFBM78CB,草屯段,22.24,都市：商,100000,506,持分移轉,07370001
RPROMLOKKIGGFBM38CB,草屯段,22.24,都市：商,100000,506,持分移轉,07370001
RPXOMLOKKIGGFBM98CB,草屯段,22.24,都市：商,100000,506,持分移轉,07370001
RPRPMLOKKIGGFBM48CB,草屯段,22.24,都市：商,100000,506,持分移轉,07370001
RPPPMLOKKIGGFBM28CB,草屯段,22.24,都市：商,100000,506,持分移轉,07370001
RPOPMLOKKIGGFBM18CB,草屯段,22.24,都市：商,100000,506,持分移轉,07370001
RPWOMLOKKIGGFBM88CB,草屯段,22.50,都市：商,100000,512,持分移轉,07370001
RPQPMLOKKIGGFBM38CB,草屯段,22.24,都市：商,100000,506,持分移轉,07370001
RPSPMLOKKIGGFBM58CB,草屯段,22.50,都市：商,100000,512,持分移轉,07370001
RPUPMLOKKIGGFBM78CB,草屯段,22.50,都市：商,100000,512,持分移轉,07370001
RPVPMLOKKIGGFBM88CB,草屯段,22.24,都市：商,100000,506,持分移轉,07370001
