鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
草屯鎮,建物,南投縣草屯鎮中興路６８號,0.0,住,,,1101130,土地0建物1車位0,一層,1,店面(店鋪),商業用,鋼骨造有牆,1010330,476.3,0,0,0,無,無,無,230000,483,,0.0,0,,RPQNMLPKKIGGFBM38CC
草屯鎮,房地(土地+建物),南投縣草屯鎮中興路３３９號,82.75,住,,,1101215,土地2建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0680728,108.4,4,2,2,有,無,無,13000,120,,0.0,0,,RPVNMLMLKIGGFBM78DC
埔里鎮,房地(土地+建物),南投縣埔里鎮中華路２０５號,88.0,住,,,1101220,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住家用,鋼筋混凝土造,0741213,160.16,5,3,2,有,無,無,38000,237,,0.0,0,,RPSNMLNLKIGGFCM68DC
草屯鎮,建物,南投縣草屯鎮富中路６９號四樓,0.0,住,,,1101201,土地0建物0車位0,四層,7,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,1040825,37.620000000000005,1,0,1,有,有,有,6100,162,,0.0,0,此為分租套房，第四層共分成4間，一間平均面積約為37.62平方公尺。大樓管理費＄300、水雜費＄100、機車車位＄100，由承租人負擔。,RPXNMLNLKIGGFBM98CC
草屯鎮,建物,南投縣草屯鎮富中路６５號七樓,0.0,住,,,1101208,土地0建物0車位0,七層,7,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,1040825,37.4,1,0,1,有,有,有,6600,176,,0.0,0,此為分租套房，第七層共分成4間，一間平均面積約為37.40平方公尺。大樓管理費＄300、水雜費＄200、機車車位租金＄100，由承租人負擔。,RPQNMLKMKIGGFBM08CC
草屯鎮,建物,南投縣草屯鎮富中路５３號７樓,0.0,住,,,1101220,土地0建物0車位0,七層,7,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,1040825,37.75,1,0,1,有,有,有,6600,175,,0.0,0,此為分租套房，第七層共分成4間，一間平均面積約為37.75平方公尺。水雜費100元，大樓管理費300元，機車車位租金100元，由承租人負擔。,RPUNMLQJJHHGFBM68CC
草屯鎮,建物,南投縣草屯鎮富中路５７號４樓,0.0,住,,,1101223,土地0建物0車位0,四層,7,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,1040825,37.980000000000004,1,0,1,有,有,有,6100,161,,0.0,0,此為分租套房，第四層共分成4間，一間平均面積約為37.98平方公尺。水雜費100元，大樓管理費300元，機車車位租金100元，由承租人負擔。,RPVNMLQJJHHGFBM78CC
南投市,房地(土地+建物),南投縣南投市軍功路１０６巷２弄６號,107.3,,鄉村區,乙種建築用地,1110107,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0781003,173.25,5,1,2,有,無,有,12000,69,,0.0,0,,RPROMLRJJHHGFAM48CC
南投市,房地(土地+建物),南投縣南投市同源路三街２４號,99.0,,工業區,丁種建築用地,1110109,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0811017,111.24,5,2,2,有,無,無,16000,144,,0.0,0,,RPUNMLKKJHHGFAM08CC
