編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLMLKIGGFBM78DC,42,108.40,住商用,鋼筋混凝土加強磚造,68年7月28日,二層,
RPXNMLNLKIGGFBM98CC,6,23.94,集合住宅,鋼筋混凝土造,104年8月25日,七層,
RPXNMLNLKIGGFBM98CC,6,13.68,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,
RPQNMLPKKIGGFBM38CC,10,476.30,商業用,鋼骨造有牆,101年3月30日,一層,
RPUNMLQJJHHGFBM68CC,6,23.72,集合住宅,鋼筋混凝土造,104年8月25日,七層,
RPUNMLQJJHHGFBM68CC,6,14.03,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,
RPSNMLNLKIGGFCM68DC,36,160.16,住家用,鋼筋混凝土造,74年12月13日,二層,
RPQNMLKMKIGGFBM08CC,6,23.72,集合住宅,鋼筋混凝土造,104年8月25日,七層,
RPQNMLKMKIGGFBM08CC,6,13.68,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,
RPROMLRJJHHGFAM48CC,32,173.25,住家用,鋼筋混凝土造,78年10月3日,三層,
RPUNMLNKJHHGFCM58CC,47,1191.17,工業用,鐵筋加強磚造及木造,63年8月10日,二層,
RPUNMLKKJHHGFAM08CC,29,111.24,住家用,鋼筋混凝土造,81年10月17日,二層,
RPVNMLQJJHHGFBM78CC,6,23.94,集合住宅,鋼筋混凝土造,104年8月25日,七層,
RPVNMLQJJHHGFBM78CC,6,14.04,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,
RPQNMLMLJHHGFBM08CC,6,23.94,集合住宅,鋼筋混凝土造,104年8月25日,七層,
RPQNMLMLJHHGFBM08CC,6,14.04,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,
RPRNMLOLJHHGFBM38CC,28,384.07,住商用,鋼筋混凝土造,82年10月20日,三層,
RPQNMLQLJHHGFBM48CC,6,25.76,集合住宅,鋼筋混凝土造,104年8月25日,七層,
RPQNMLQLJHHGFBM48CC,6,14.88,人行道、台電配電室、電信室、發電機室、梯間、機房、管委會空間、防空避難室兼停車空間、水箱,鋼筋混凝土造,104年8月25日,七層,
RPWNMLLKKHHGFBM58CC,27,16.53,住商用,鋼筋混凝土造,84年1月10日,四層,
RPTNMLOKKHHGFCM68CC,30,477.18,住商用,鋼筋混凝土造,81年3月23日,四層,
RPSNMLPKKHHGFAM48CC,41,161.52,住商用,鋼筋混凝土加強磚造,69年12月31日,二層,
