編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLMLKIGGFBM78DC,新屋段,68.92,都市：住,,,,00800000
RPVNMLMLKIGGFBM78DC,新屋段,13.83,都市：住,,,,00740000
RPXNMLNLKIGGFBM98CC,新富寮段,.00,都市：住,,,,00910052
RPQNMLPKKIGGFBM38CC,草鞋墩段,.00,都市：住,,,,00090000
RPQNMLPKKIGGFBM38CC,草鞋墩段,.00,都市：住,,,,00090001
RPUNMLQJJHHGFBM68CC,新富寮段,.00,都市：住,,,,00910052
RPSNMLNLKIGGFCM68DC,埔里段北門小段,88.00,都市：住,,,,00590004
RPQNMLKMKIGGFBM08CC,新富寮段,.00,都市：住,,,,00910052
RPROMLRJJHHGFAM48CC,福順段,107.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,02530000
RPUNMLNKJHHGFCM58CC,坪仔頂段,2860.03,非都市：山坡地保育區 ; 非都市編定：丁種建築用地,,,,04890000
RPUNMLKKJHHGFAM08CC,大崗段,99.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,,00380029
RPVNMLQJJHHGFBM78CC,新富寮段,.00,都市：住,,,,00910052
RPQNMLMLJHHGFBM08CC,新富寮段,.00,都市：住,,,,00910052
RPRNMLOLJHHGFBM38CC,新御史段,186.76,都市：住,,,,00080000
RPQNMLQLJHHGFBM48CC,新富寮段,.00,都市：住,,,,00910052
RPWNMLLKKHHGFBM58CC,新富仁段,.00,都市：住,,,,06130000
RPTNMLOKKHHGFCM68CC,和平段,30.35,都市：商,,,,07770003
RPTNMLOKKHHGFCM68CC,和平段,92.55,都市：商,,,,08110000
RPSNMLPKKHHGFAM48CC,茄苳腳段,2.00,都市：住,,,,04190002
RPSNMLPKKHHGFAM48CC,茄苳腳段,72.00,都市：住,,,,04200011
