編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLLKKIGGFDN08CB,橋愛段,23.39,都市：住,100000,1102,持分移轉,12350000
RPRNMLLKKIGGFDN28CB,橋愛段,18.19,都市：住,100000,857,持分移轉,12350000
RPSNMLLKKIGGFDN38CB,橋愛段,23.39,都市：住,100000,1102,持分移轉,12350000
RPQNMLLKKIGGFDN18CB,橋愛段,23.39,都市：住,100000,1102,持分移轉,12350000
RPTNMLLKKIGGFDN48CB,橋愛段,17.43,都市：住,100000,821,持分移轉,12350000
RPWNMLLKKIGGFDN78CB,橋愛段,17.43,都市：住,100000,821,持分移轉,12350000
RPVNMLLKKIGGFDN68CB,橋愛段,23.39,都市：住,100000,1102,持分移轉,12350000
RPXNMLLKKIGGFDN88CB,橋愛段,22.27,都市：住,100000,1049,持分移轉,12350000
RPQOMLLKKIGGFDN28CB,橋愛段,21.63,都市：住,100000,1019,持分移轉,12350000
RPPNMLMKKIGGFFN48DB,中圳段,23.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,481,持分移轉,03030000
RPQNMLLKKIGGFFN38CB,大安段,36.96,都市：住,10000,156,持分移轉,08920000
RPRNMLLKKIGGFFN48CB,大安段,29.14,都市：住,10000,123,持分移轉,08920000
RPPOMLLKKIGGFDN18CB,橋愛段,18.19,都市：住,100000,857,持分移轉,12350000
RPPNMLNKKIGGFFN48CB,光復段,39.51,都市：住,145700,3951,持分移轉,07160000
RPOOMLLKKIGGFDN08CB,橋愛段,20.19,都市：住,100000,951,持分移轉,12350000
RPQNMLNKKIGGFFN58CB,光復段,39.98,都市：住,80100,3998,持分移轉,07130000
RPPNMLNKKIGGFGN58CB,北挖仔段,68.33,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04150000
RPRNMLNKKIGGFFN68CB,光復段,39.51,都市：住,145700,3951,持分移轉,07160000
RPPNMLNKKIGGFHN68CB,中山段,86.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,17546,1000,持分移轉,00400000
RPPNMLNKKIGGFHN68CB,中山段,.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,2290,1,持分移轉,00410000
RPQNMLNKKIGGFGN68CB,竹圍子段,76.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00610051
RPPNMLNKKIGGFHN68CB,中山段,3.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,258,1,持分移轉,00420000
RPQNMLNKKIGGFGN68CB,竹圍子段,15.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,34,1,持分移轉,00610026
RPQNMLNKKIGGFGN68CB,竹圍子段,10.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,34,1,持分移轉,00610031
RPPNMLNKKIGGFEN48DB,高鐵社頭段,98.19,都市：住,1,1,全筆移轉,01230050
RPQNMLNKKIGGFEN58DB,高鐵社頭段,6.75,都市：住,1,1,全筆移轉,01230036
RPQNMLNKKIGGFEN58DB,高鐵社頭段,84.71,都市：住,1,1,全筆移轉,01230037
RPQNMLNKKIGGFEN58DB,高鐵社頭段,22.79,都市：住,1,1,全筆移轉,01230040
RPPNMLOKKIGGFEN48CB,東興段,106.05,都市：住,21767,10605,持分移轉,04580000
RPPNMLOKKIGGFAN08CB,西門口段,62.24,都市：住,78,1,持分移轉,04280000
RPPNMLOKKIGGFAN08CB,西門口段,11.57,都市：住,78,1,持分移轉,04280150
RPPNMLOKKIGGFAN08CB,西門口段,7.01,都市：住,78,1,持分移轉,04280151
